MaxN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Generated: Thursday 03 June 2021 21:41:46,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,MaxN,Has fed
Left (3).MP4,5749,38.4656,60min_start,5.9648,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Bathymasteridae,Ronquilus,jordani,170951,1,No
Left (2).MP4,27769,33.0769,60min_start,0.5761,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Bothidae,Citharichthys,stigmaeus,172717,1,No
Left (4).MP4,30732,69.9933,60min_start,37.4925,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Cottidae,Scorpaenichthys,marmoratus,692068,1,No
Left (3).MP4,27012,50.2902,60min_start,17.7894,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Embiotocidae,Cymatogaster,aggregata,169739,50,No
Left (3).MP4,29992,51.9475,60min_start,19.4466,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Embiotocidae,Embiotoca,lateralis,169744,1,No
Left (6).MP4,5243,91.0871,60min_start,58.5863,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Embiotocidae,Rhacochilus,vacca,169754,2,No
Left (4).MP4,16685,62.1816,60min_start,29.6808,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,9,No
Left (5).MP4,23954,83.8582,60min_start,51.3574,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,stelleri,167113,1,No
Left (6).MP4,6829,91.9691,60min_start,59.4683,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left (2).MP4,29501,34.0401,60min_start,1.5393,ansellpoint_1,Fiona Francis,19.1,,2019-10-17,11:13,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,10,No
Left_003.MP4,9190,40.5127,30min_start,16.6633,birdislet_1,Fiona Francis,21.8,,2019-09-06,11:26,rocky reef,,,,1035,1034,Embiotocidae,Rhacochilus,vacca,169754,2,No
Left_002.MP4,15173,26.1389,30min_start,2.2895,birdislet_1,Fiona Francis,21.8,,2019-09-06,11:26,rocky reef,,,,1035,1034,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left_003.MP4,901,35.9031,30min_start,12.0537,birdislet_1,Fiona Francis,21.8,,2019-09-06,11:26,rocky reef,,,,1035,1034,Scorpaenidae,Sebastes,maliger,166726,2,No
Left (2).MP4,5168,20.5083,60min,5.9654,birdislet_2,Fiona Francis,26.8,,2019-11-20,11:07,rocky reef,,,,1049,1048,Embiotocidae,Rhacochilus,vacca,169754,1,No
Left (4).MP4,21298,64.7469,60min,50.204,birdislet_2,Fiona Francis,26.8,,2019-11-20,11:07,rocky reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,1,No
Left (4).MP4,28123,68.5424,60min,53.9995,birdislet_2,Fiona Francis,26.8,,2019-11-20,11:07,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,2,No
Left (1).MP4,30061,16.7173,60min,2.1744,birdislet_2,Fiona Francis,26.8,,2019-11-20,11:07,rocky reef,,,,1049,1048,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left (2).MP4,18241,27.7783,60min,13.2354,birdislet_2,Fiona Francis,26.8,,2019-11-20,11:07,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,maliger,166726,2,No
Left (4).MP4,17035,62.3762,60min,34.5601,bootspongewall_1,Fiona Francis,17,,2019-10-11,12:49,rocky reef,,,,1049,1048,,,,,3,No
Left (2).MP4,19285,28.3589,60min,0.5428,bootspongewall_1,Fiona Francis,17,,2019-10-11,12:49,rocky reef,,,,1049,1048,Cottidae,Scorpaenichthys,marmoratus,692068,1,No
Left (3).MP4,7748,39.5773,60min,11.7612,bootspongewall_1,Fiona Francis,17,,2019-10-11,12:49,rocky reef,,,,1049,1048,Embiotocidae,Rhacochilus,vacca,169754,70,No
Left (2).MP4,24359,31.1806,60min,3.3645,bootspongewall_1,Fiona Francis,17,,2019-10-11,12:49,rocky reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,7,No
Left (4).MP4,15843,61.7133,60min,33.8972,bootspongewall_1,Fiona Francis,17,,2019-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,3,No
Left (3).MP4,22651,47.865,60min,20.0489,bootspongewall_1,Fiona Francis,17,,2019-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,stelleri,167113,1,No
Left (5).MP4,18456,80.8007,60min,52.9846,bootspongewall_1,Fiona Francis,17,,2019-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Oxylebius,pictus,167118,1,No
Left (3).MP4,23327,48.241,60min,15.3854,christiebuoy_1,Fiona Francis,20,,2019-10-01,11:29,rocky reef,,,,1047,1046,,,,,5,No
Left (3).MP4,1310,35.9971,60min,3.1415,christiebuoy_1,Fiona Francis,20,,2019-10-01,11:29,rocky reef,,,,1047,1046,Aulorhynchidae,Aulorhynchus,flavidus,166404,50,No
Left (5).MP4,16775,79.8659,60min,47.0103,christiebuoy_1,Fiona Francis,20,,2019-10-01,11:29,rocky reef,,,,1047,1046,Embiotocidae,Cymatogaster,aggregata,169739,300,No
