Filename,Frame,Time (mins),Period,Period time (mins),length.mm,Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,Number,Stage,Activity,Comment
Left (2).MP4,20248,28.8944,,,,1.344,0.472,1021.623,4.953,,,1.706,98.193,-1016.892,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape1_start
Left (2).MP4,20338,28.9445,,,,1.192,0.252,951.331,2.622,,,24.264,45.468,-949.934,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape1_end
Left (2).MP4,20580,29.079,,,,1.338,0.151,1017.997,5.447,,,14.668,105.477,-1012.411,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape2_start
Left (2).MP4,20670,29.1291,,,,1.196,0.14,944.338,10.92,,,39.642,183.559,-925.478,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape2_end
Left (2).MP4,20873,29.242,,,,1.351,0.341,1024.035,5.614,,,1.875,110.183,-1018.088,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape3_start
Left (2).MP4,20963,29.292,,,,1.216,0.32,960.738,5.668,,,75.722,66.586,-955.432,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape3_end
Left (2).MP4,26544,32.3957,,,257.956,0.92,1.102,816.416,13.503,11.858,2.53,2.916,-190.607,-793.848,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,26574,32.4124,,,218.643,1.029,0.249,783.24,24.987,2.606,2.864,308.736,-118.926,-709.932,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,27623,32.9957,60min_start,0.4949,257.111,3.284,0.375,1536.25,26.587,4.922,20.326,-638.99,253.81,-1373.803,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,27738,33.0597,60min_start,0.5589,224.895,2.729,0.414,1426.664,6.89,31.157,51.545,-134.162,106.267,-1416.361,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,27738,33.0597,60min_start,0.5589,244.862,9.739,0.693,2021.736,32.187,56.781,9.012,-1047.006,252.129,-1711.031,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,27863,33.1292,60min_start,0.6284,207.381,16.32,1.91,3097.247,23.385,23.863,5.632,-1151.171,431.283,-2842.84,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,5,AD,Passing,
Left (2).MP4,28036,33.2254,60min_start,0.7246,145.9,2.061,0.214,852.363,21.29,55.782,4.314,-16.562,-309.038,-794.194,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Bothidae,Citharichthys,stigmaeus,172717,1,AD,Passing,
Left (3).MP4,6926,39.1202,60min_start,6.6194,109.846,2.588,0.706,1242.107,14.495,26.418,9.362,-121.026,-286.364,-1202.572,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Bathymasteridae,Ronquilus,jordani,170951,1,AD,Passing,
Left (3).MP4,25037,49.1919,60min_start,16.6911,58.052,8.265,2.597,2194.281,23.333,26.514,11.304,-740.414,455.101,-2014.83,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Embiotocidae,Cymatogaster,aggregata,169739,50,AD,Passing,
Left (3).MP4,29983,51.9424,60min_start,19.4416,101.507,1.167,0.909,861.23,26.93,5.925,21.474,-373.807,111.381,-767.841,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Embiotocidae,Embiotoca,lateralis,169744,1,AD,Passing,
