Surface analysis

Generated: Wednesday 07 July 2021 13:56:19

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	68					
RMS plane fit (mm)	61.332					
X plane direction (unit vector)	[0.9755, -0.0000, 0.2200]					
Y plane direction (unit vector)	[0.0489, 0.9750, -0.2167]					
Z plane direction (unit vector)	[-0.2145, 0.2221, 0.9511]					
Plane shift (mm)	[-1146.3547, -158.8115, -1660.8026]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
208.529	38.798	159.302				
0.000	453.026	174.249				
747.749	1037.550	286.795				
946.057	50.665	139.553				
851.828	566.478	257.895				
1149.131	942.369	66.254				
1621.942	346.164	228.122				
1104.439	358.457	283.326				
1302.325	744.712	183.944				
1585.656	557.000	234.752				
504.583	293.809	197.476				
659.808	0.000	195.953				
810.030	183.517	203.141				
1335.594	111.060	232.498				
920.573	307.448	55.311				
555.418	830.859	201.864				
441.400	1034.814	201.702				
1364.369	402.018	261.127				
478.215	557.411	198.045				
608.429	611.436	256.686				
1273.154	1078.336	50.629				
1093.779	177.800	114.919				
120.760	768.655	181.792				
1063.435	640.070	249.134				
1271.723	4.065	247.410				
242.772	282.195	143.388				
879.210	916.983	234.870				
1040.195	1009.557	130.262				
705.891	842.573	209.665				
1343.105	605.353	0.000				
554.016	987.452	238.759				
473.676	669.481	196.750				
468.414	808.391	185.820				
805.577	721.820	258.811				
917.682	394.772	232.685				
708.871	172.112	204.171				
715.650	257.044	232.252				
763.013	366.890	240.295				
928.509	580.814	275.970				
962.836	119.760	137.682				
832.579	498.461	267.710				
595.192	490.410	201.528				
669.407	320.002	253.591				
367.719	430.938	194.568				
627.924	420.803	200.217				
924.728	648.070	306.810				
130.998	661.053	225.844				
1080.271	265.329	246.940				
396.214	354.864	191.016				
1094.494	819.400	128.575				
1211.662	333.573	271.374				
94.617	326.880	202.460				
674.402	664.447	240.954				
1164.040	138.005	230.427				
624.738	230.246	238.762				
948.431	223.279	113.774				
349.356	603.168	192.263				
422.321	186.640	173.895				
523.794	188.912	204.690				
283.338	354.824	169.753				
1182.026	408.760	272.785				
534.194	121.191	211.253				
309.342	109.036	176.445				
207.337	192.736	152.479				
1234.362	90.042	250.358				
782.320	68.913	208.185				
578.098	58.611	201.517				
446.874	48.198	208.174				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
519.722	76.000	206.981	7.317	152.267	4334.582	4370.172
392.845	114.625	186.172	14.574	329.618	8773.182	9064.842
467.796	118.676	197.774	16.583	314.896	6940.484	7241.703
561.593	35.603	201.881	3.251	112.546	4271.006	4277.892
438.404	28.999	187.810	45.037	189.549	6744.652	9544.493
321.582	65.344	181.307	12.073	284.417	7896.598	8075.199
607.054	117.305	205.647	7.259	145.955	6583.437	6636.634
648.926	76.908	200.547	3.572	153.255	8469.463	8485.952
767.074	141.514	205.165	2.465	7.159	5638.589	5643.812
717.000	80.342	202.770	5.137	255.199	8852.381	8888.084
851.729	124.063	183.003	22.264	97.594	9639.438	10415.952
897.071	79.779	161.807	22.658	100.036	5809.738	6295.612
796.062	39.859	181.230	40.001	156.594	6759.545	8824.129
1244.665	113.036	237.761	27.541	7.615	3166.761	3571.481
1280.560	68.389	243.422	9.803	77.000	4744.424	4814.725
1223.375	77.371	242.732	26.111	242.833	2127.038	2368.791
170.161	186.138	171.414	26.706	84.502	8595.929	9622.409
181.576	267.270	166.109	21.148	97.472	7418.599	7954.298
241.736	113.524	162.742	11.551	282.081	7801.312	7962.571
253.150	194.656	157.438	10.548	322.100	6045.593	6149.506
324.812	192.624	164.576	10.189	331.456	12364.643	12562.770
560.909	180.116	218.235	19.668	276.814	3632.965	3858.048
622.601	174.516	218.062	22.103	158.248	7219.413	7792.068
493.436	165.581	196.613	17.155	279.346	3447.780	3608.316
1252.686	381.450	268.429	3.691	84.189	6754.955	6768.997
1296.500	472.044	177.971	52.447	4.933	18466.701	30298.369
1166.042	366.930	275.829	6.905	76.776	3662.146	3688.902
1116.633	469.096	268.415	7.923	22.031	11956.078	12071.318
1196.188	551.394	173.973	48.609	58.257	30286.789	45806.409
206.909	321.300	171.867	29.207	153.719	6286.549	7202.230
333.471	462.977	185.528	15.630	266.640	7965.297	8271.158
254.564	539.682	195.954	9.793	135.386	29024.708	29453.856
125.985	378.243	182.154	18.900	21.625	13225.250	13978.923
138.112	489.635	189.949	12.378	195.199	35903.038	36757.531
349.090	380.209	185.113	12.508	238.099	4294.053	4398.446
307.442	330.628	168.053	17.707	216.138	4098.280	4302.091
483.566	223.120	192.021	16.912	272.476	5343.957	5585.516
551.038	237.656	213.643	18.790	271.089	5691.371	6011.781
353.769	274.566	169.433	15.715	240.236	13854.865	14392.842
441.040	278.438	187.463	10.021	226.489	8318.196	8447.066
312.843	726.738	186.625	2.516	338.290	33307.920	33340.060
430.482	693.680	191.611	6.147	314.725	8809.090	8860.024
433.749	610.020	195.686	2.435	283.429	7116.788	7123.219
200.371	677.625	199.967	27.091	31.742	11451.549	12862.759
398.430	530.506	194.959	2.442	282.099	10676.572	10686.273
983.092	265.352	138.675	49.253	286.306	6134.149	9397.820
1040.827	222.136	158.544	59.001	197.634	6053.938	11754.546
1001.682	173.613	122.125	14.013	15.650	7195.611	7416.321
907.099	175.519	151.532	32.488	61.025	7450.014	8832.259
893.011	238.081	124.075	42.741	26.159	6378.422	8684.860
599.576	281.353	229.943	18.840	270.769	6811.945	7197.570
669.932	269.097	241.535	15.343	149.081	3481.411	3610.076
683.086	219.801	225.062	21.083	153.315	3769.809	4040.256
1237.099	194.213	244.767	11.502	192.287	17416.841	17773.795
1151.991	245.636	249.580	11.729	205.201	11222.975	11462.293
1112.697	193.711	197.428	73.379	234.805	2806.151	9810.394
1127.273	64.245	205.797	21.169	245.986	19300.831	20697.559
