Surface analysis

Generated: Wednesday 07 July 2021 14:34:16

						
Left filename	Left3_2m.jpg					
Left frame number	      0					
Plane definition points	32					
RMS plane fit (mm)	47.025					
X plane direction (unit vector)	[0.9902, -0.0000, 0.1394]					
Y plane direction (unit vector)	[0.0390, 0.9602, -0.2767]					
Z plane direction (unit vector)	[-0.1339, 0.2795, 0.9508]					
Plane shift (mm)	[-1771.1263, -159.4772, -2225.3344]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
998.199	1065.788	84.064				
1317.661	1446.919	53.838				
1737.746	389.162	93.136				
1897.309	788.213	48.358				
1184.777	494.131	85.240				
125.980	1526.290	137.899				
252.535	137.888	112.335				
2061.589	1424.420	42.831				
2174.852	96.040	115.659				
1328.563	967.128	89.609				
2325.509	1386.217	112.787				
2498.204	656.714	215.556				
2068.357	736.808	0.000				
1584.150	1113.970	105.690				
1481.257	1344.594	31.043				
1398.467	214.192	62.566				
749.118	319.210	35.607				
526.510	1241.840	70.189				
1019.833	1798.422	141.746				
1747.867	1638.425	96.864				
1351.668	442.613	84.223				
1006.216	0.000	79.422				
341.440	618.966	16.257				
687.719	489.936	103.171				
706.145	1516.624	126.806				
1492.894	1796.733	10.767				
1541.149	651.264	123.275				
2294.986	1037.058	6.817				
2617.913	1351.132	90.277				
1693.526	119.288	92.283				
0.000	1147.917	68.438				
1545.567	457.375	60.716				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
1608.154	499.267	92.375	23.545	220.940	18480.003	20158.239
1479.461	517.084	89.404	19.338	155.498	18830.023	19955.912
1431.901	371.393	69.168	8.196	118.578	22490.699	22722.771
1658.946	321.942	82.045	9.210	278.203	27440.303	27798.685
1545.853	263.618	71.855	5.727	304.892	42856.878	43071.870
289.317	1002.908	51.628	5.216	171.941	155283.774	155929.472
217.497	1305.349	92.175	11.117	170.840	93692.282	95483.962
197.992	634.924	65.677	20.970	69.646	105642.968	113136.464
1868.708	201.497	100.359	2.781	275.622	65462.808	65539.975
1366.070	111.160	78.090	9.774	344.010	50212.626	50952.163
1624.865	71.776	95.788	8.025	342.640	36697.313	37060.227
1952.891	1595.430	65.969	51.411	18.602	32241.623	51692.080
2470.368	1014.968	104.217	30.422	297.405	93324.349	108224.928
2412.803	1258.135	69.960	17.204	172.550	51583.250	53999.239
2230.430	1458.591	99.976	19.299	19.450	26739.985	28332.081
2086.884	854.026	18.392	16.488	130.556	31503.490	32854.491
2084.628	1083.230	32.669	6.849	100.462	106062.215	106824.446
2227.361	1282.565	54.145	22.392	227.785	46658.054	50462.845
2287.182	810.193	74.124	28.462	305.130	73606.558	83726.039
1484.621	910.787	106.191	5.756	297.357	55973.511	56257.198
1674.203	851.149	92.441	11.524	84.614	79454.265	81088.872
1359.198	529.336	97.579	8.857	195.013	22291.926	22560.947
1351.497	704.174	99.375	6.929	282.739	72984.505	73521.543
1725.402	609.547	88.256	11.329	80.459	60137.027	61332.060
1276.796	1680.691	68.784	15.496	93.214	82889.763	86016.695
1574.006	1593.251	46.225	17.196	279.803	58562.930	61303.209
1430.604	1529.415	31.883	9.629	76.154	37579.432	38116.486
452.878	1428.251	111.631	12.229	175.894	80578.068	82449.040
617.319	1613.779	135.484	4.296	166.210	83260.689	83495.236
743.618	1274.751	93.686	9.803	209.645	80618.671	81813.294
1014.546	1587.322	107.464	10.932	148.636	97094.982	98889.370
1007.335	1343.110	88.236	6.768	99.166	127667.930	128563.934
518.557	783.581	63.206	14.319	267.572	119783.971	123624.574
737.476	932.521	85.808	2.475	340.849	163141.509	163293.793
563.124	315.678	83.705	21.818	138.685	47956.289	51656.653
427.232	415.596	77.255	15.822	324.340	89029.317	92534.998
956.898	683.285	90.825	2.206	69.012	142464.609	142570.226
873.872	434.426	74.673	20.989	174.121	42559.131	45583.498
980.037	271.114	66.756	7.535	285.066	92019.433	92821.010
1196.487	236.108	75.743	4.022	118.928	77788.557	77980.653
669.290	152.366	75.788	12.283	21.747	102566.092	104969.075
1311.638	383.645	77.343	5.875	193.909	17855.162	17949.431
2044.988	1483.021	84.161	41.965	205.197	22247.494	29920.645
1763.571	1469.146	56.913	13.236	177.076	74618.702	76654.902
1464.656	1141.897	75.447	17.097	319.905	37026.717	38738.631
1375.827	1252.880	58.163	11.556	67.319	38688.111	39488.525
1708.999	1294.328	59.855	16.838	348.356	71026.148	74207.795
1847.683	1108.868	65.626	8.781	101.356	126374.775	127873.429
2247.138	496.521	110.405	26.247	281.732	133451.259	148792.995
1993.652	407.337	69.598	11.790	22.014	124433.546	127115.080
1901.138	638.061	47.165	15.775	90.151	38229.550	39725.702
1214.808	1159.945	75.837	4.283	4.225	78715.182	78935.575
1170.513	842.349	86.304	1.049	258.058	85223.574	85237.864
						
Total plan area (mm^2)	3763102.026					
Total 3D area (mm^2)	3903008.826					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 215.556 (mm)			
