Surface analysis

Generated: Wednesday 07 July 2021 15:19:30

						
Left filename	Left1_2m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	182.738					
X plane direction (unit vector)	[0.9981, -0.0000, 0.0618]					
Y plane direction (unit vector)	[0.0109, 0.9842, -0.1767]					
Z plane direction (unit vector)	[-0.0609, 0.1771, 0.9823]					
Plane shift (mm)	[-1655.7366, -317.8503, -2352.9608]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
0.000	844.038	283.985				
1450.015	819.585	369.491				
1459.434	478.153	518.504				
665.187	120.159	960.880				
982.534	981.123	281.888				
2197.808	51.251	199.844				
1727.645	702.927	409.678				
1470.601	1315.229	493.974				
992.889	680.478	269.040				
1833.269	137.434	161.561				
2070.309	934.603	615.944				
1868.053	1291.854	535.591				
2137.965	193.554	255.263				
1631.514	438.247	418.672				
1004.564	77.983	364.293				
2509.510	632.712	259.072				
1251.735	748.107	218.150				
1126.223	438.548	177.371				
1476.933	266.555	126.243				
949.064	1186.599	350.522				
1429.066	96.468	227.744				
436.119	237.936	304.004				
668.278	923.629	286.686				
1348.064	933.221	462.912				
2256.072	1537.125	131.260				
197.804	1317.213	0.000				
2240.562	871.886	477.943				
1568.539	634.135	407.785				
1364.640	0.000	445.287				
730.865	262.017	446.680				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
611.754	474.527	345.790	28.212	291.261	98257.364	111503.730
797.344	622.041	334.135	20.167	43.638	99774.277	106290.800
953.884	259.516	329.448	32.174	57.311	60537.827	71521.302
800.206	153.386	590.618	73.519	38.155	25456.733	89733.587
949.992	460.348	297.697	34.311	90.236	59593.071	72147.578
610.724	206.704	570.521	76.233	348.541	20115.324	84529.489
1542.325	77.967	278.198	66.525	358.270	18176.729	45629.559
1798.572	62.895	268.898	53.632	8.985	45243.812	76300.284
1266.090	58.150	345.775	64.683	6.251	19880.034	46489.948
1011.464	66.047	590.154	87.390	11.646	5639.564	123826.973
1582.066	718.882	395.651	9.917	333.036	18829.891	19115.495
1426.569	620.132	381.479	43.302	343.083	30925.258	42494.197
1423.430	733.942	331.809	35.686	251.436	22621.457	27851.346
1553.162	516.845	448.320	34.689	67.794	15597.703	18969.458
1642.566	591.770	412.045	3.166	325.230	17749.701	17776.835
2188.981	1114.538	408.382	48.029	63.390	57115.995	85407.244
2335.381	1013.908	289.425	53.360	68.537	91312.263	153007.305
2035.391	589.456	380.961	18.023	184.630	165296.564	173825.836
2012.839	836.472	501.188	54.228	166.993	30467.162	52120.073
2296.012	566.050	330.760	31.307	130.856	103487.489	121123.775
605.048	1142.480	212.403	25.649	296.659	117116.645	129918.278
288.694	1028.293	190.224	32.553	352.848	150234.621	178235.761
872.489	1273.013	281.499	30.877	319.618	82377.411	95980.187
1864.909	1381.403	386.942	58.931	359.755	53276.881	103235.797
2064.811	1254.527	427.598	41.798	47.838	94113.645	126242.522
1194.111	887.484	320.983	49.643	212.129	36139.662	55809.590
1349.938	833.638	350.184	50.007	197.216	14909.549	23198.370
1255.909	1145.016	435.803	15.483	271.554	91734.573	95189.154
1093.220	1033.648	365.107	34.796	232.427	36752.110	44754.610
1422.893	1022.678	442.126	33.747	114.440	26435.397	31792.308
866.625	1030.450	306.365	18.282	167.027	33248.043	35015.545
881.234	861.743	279.205	2.737	151.325	47537.361	47591.654
368.132	668.534	291.558	1.644	345.170	219877.877	219968.407
1186.618	204.333	256.469	27.247	36.119	75406.009	84817.372
1344.074	267.191	177.119	31.882	38.271	33942.082	39972.501
1579.756	166.819	171.849	29.973	10.620	33394.358	38550.053
1354.197	394.419	274.039	64.301	202.512	35599.907	82095.256
1522.627	394.318	354.473	61.575	175.244	17856.696	37512.880
1647.239	280.745	235.492	53.091	203.932	40569.703	67554.190
1279.131	554.936	304.675	47.732	285.700	49088.791	72983.114
1123.616	622.378	221.520	19.305	132.467	35819.807	37953.833
1075.719	803.236	256.359	11.804	99.820	39260.526	40108.675
2281.761	292.505	238.060	21.774	131.182	39576.295	42616.853
1867.583	256.411	278.499	43.643	188.052	51489.444	71152.310
1832.375	444.909	361.204	16.542	103.787	78785.042	82186.693
2056.347	127.413	205.556	27.873	204.443	23358.744	26424.445
1596.223	1142.223	466.352	15.298	205.832	98738.053	102365.339
1681.905	938.122	438.254	15.023	232.610	89941.714	93124.337
1888.669	976.461	520.405	28.885	261.264	84637.199	96663.324
						
Total plan area (mm^2)	2837296.364					
Total 3D area (mm^2)	3742678.171					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 960.880 (mm)			
