Surface analysis

Generated: Tuesday 29 June 2021 10:56:03

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	156					
RMS plane fit (mm)	58.502					
X plane direction (unit vector)	[0.9979, -0.0000, 0.0655]					
Y plane direction (unit vector)	[-0.0020, 0.9995, 0.0301]					
Z plane direction (unit vector)	[-0.0655, -0.0302, 0.9974]					
Plane shift (mm)	[-1013.4652, -781.0390, -1975.4989]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
25.156	1534.087	104.772				
0.000	24.005	116.552				
1871.792	0.000	0.000				
915.763	720.385	207.568				
635.016	723.219	281.131				
801.269	956.250	205.972				
1744.741	1056.773	168.327				
1275.931	1130.140	190.649				
706.236	1208.082	273.112				
994.114	386.146	230.045				
1402.161	435.589	120.961				
667.591	250.309	229.913				
1391.637	786.668	199.311				
1221.036	331.538	180.424				
1031.149	895.500	201.485				
1520.681	1397.742	191.971				
1184.545	1228.566	200.786				
574.803	1072.172	159.917				
1600.677	551.457	105.612				
964.050	1147.635	228.953				
1517.750	197.460	63.385				
220.962	975.779	105.120				
219.050	747.121	185.659				
86.345	939.419	120.866				
1097.762	172.103	213.440				
1124.985	638.008	227.333				
895.670	1417.863	154.206				
1168.583	744.867	149.672				
671.350	842.959	228.894				
1762.828	658.745	105.533				
157.978	1508.223	125.931				
271.811	1493.069	121.548				
940.977	990.798	225.191				
60.867	1434.736	121.859				
1328.985	350.653	135.415				
446.394	1424.252	123.886				
726.738	1121.740	190.212				
1155.294	823.371	178.879				
589.232	405.678	329.496				
1179.251	906.059	184.719				
1549.346	832.770	146.617				
1098.997	1378.642	194.550				
59.670	1348.042	118.641				
219.680	1081.074	119.836				
1577.327	1130.788	185.913				
824.091	1312.401	201.872				
1185.661	1318.149	196.355				
598.689	1174.490	176.559				
902.234	1279.573	210.520				
1317.399	1301.364	190.485				
1049.152	1123.881	189.869				
1538.475	1307.452	185.856				
126.670	1265.941	117.350				
95.252	1074.587	113.791				
1476.751	506.180	181.509				
798.158	1213.675	216.828				
1259.489	1205.864	220.107				
1559.283	1217.068	204.755				
1243.730	621.167	180.274				
84.256	1181.742	120.001				
1380.599	1194.049	201.964				
1507.916	105.130	88.735				
1470.379	1197.783	193.594				
1039.325	792.911	190.753				
515.623	1161.090	199.434				
166.286	1167.732	114.095				
341.664	1155.617	119.786				
91.788	377.649	88.749				
420.010	726.401	307.558				
1505.059	712.946	156.381				
735.466	1311.304	205.036				
1097.945	537.270	198.763				
819.622	1082.571	239.837				
1133.216	323.953	198.050				
1353.098	1397.665	194.514				
354.389	1402.628	116.490				
868.751	444.438	252.658				
1395.868	529.167	142.475				
480.319	649.562	293.714				
1083.840	1032.060	231.015				
1178.388	1058.986	183.587				
1271.171	996.973	223.756				
1420.660	1007.607	179.164				
1726.475	477.048	77.679				
1558.481	1006.165	178.189				
627.721	967.666	218.973				
422.804	848.158	155.780				
527.975	1470.007	121.980				
1514.762	917.086	192.958				
1175.892	428.891	185.045				
1681.499	921.004	134.213				
717.953	556.884	297.245				
590.493	888.021	210.213				
929.701	893.572	218.305				
1381.007	684.159	154.099				
280.557	1260.248	121.719				
346.164	840.047	170.247				
176.276	235.344	97.220				
803.299	828.264	232.459				
1300.031	230.931	134.035				
915.884	216.971	239.614				
1728.653	829.506	160.042				
930.961	804.803	222.007				
1011.612	1336.859	189.058				
1658.906	782.951	113.744				
1261.841	773.968	211.613				
964.687	1067.193	245.336				
830.262	732.407	283.120				
260.596	335.963	89.986				
729.590	711.064	208.814				
1020.429	708.739	226.632				
1015.388	254.119	221.701				
212.671	878.800	170.401				
301.274	666.214	177.757				
1629.548	680.595	131.602				
828.687	368.589	278.311				
1103.595	1297.168	201.504				
1220.784	509.641	181.442				
873.158	1173.429	267.900				
1483.013	614.415	138.789				
386.034	599.812	199.961				
961.685	596.513	241.068				
197.115	1406.401	121.659				
1394.546	909.067	180.536				
374.629	1058.617	144.939				
379.256	452.292	173.773				
1656.201	154.634	65.171				
1038.807	629.383	257.032				
1436.738	1291.610	235.564				
988.426	512.560	258.747				
712.588	985.557	195.809				
674.179	479.641	303.304				
748.066	483.604	308.267				
835.462	545.335	303.715				
1077.993	443.996	200.127				
1296.988	852.161	230.500				
1358.796	1109.696	213.841				
1155.628	1140.951	216.761				
1638.780	388.570	75.709				
666.696	404.652	289.248				
349.577	963.692	159.107				
1026.307	1249.874	193.903				
837.518	617.345	211.512				
1475.686	317.148	112.455				
259.365	1172.810	130.923				
916.731	316.376	301.591				
222.962	123.781	113.450				
773.574	267.104	228.686				
478.883	721.422	172.802				
285.519	564.778	187.329				
628.733	1406.809	149.544				
352.638	176.371	149.896				
1412.046	156.809	106.084				
1478.076	1082.836	219.430				
688.815	638.714	284.915				
349.842	91.557	146.916				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
787.829	160.210	199.990	33.317	181.585	24103.704	28844.533
190.935	79.781	125.639	23.179	337.591	9922.139	10793.403
1243.183	65.562	78.550	32.888	174.873	63343.506	75432.486
740.545	38.521	87.822	35.973	175.814	67420.240	83307.694
985.173	122.930	149.697	55.441	177.346	41563.546	73271.656
456.690	172.745	175.575	13.993	263.785	13252.970	13658.251
644.439	186.279	205.481	19.842	193.807	25004.952	26583.211
308.481	130.569	136.754	15.200	264.460	5425.684	5622.366
