Surface analysis

Generated: Friday 25 June 2021 16:07:07

						
Left filename	Left3_5m.jpg					
Left frame number	      0					
Plane definition points	147					
RMS plane fit (mm)	103.661					
X plane direction (unit vector)	[0.9874, -0.0000, 0.1583]					
Y plane direction (unit vector)	[-0.0131, 0.9965, 0.0820]					
Z plane direction (unit vector)	[-0.1578, -0.0830, 0.9840]					
Plane shift (mm)	[-1406.0334, -1057.8655, -2057.7667]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
0.000	0.000	9.791				
48.130	1711.619	220.977				
1825.999	267.971	114.722				
1221.469	1403.009	157.027				
1602.461	1509.458	41.768				
627.030	1287.187	247.354				
1099.525	758.038	329.445				
1640.662	1053.085	224.208				
1548.309	445.265	183.416				
968.799	1248.836	233.617				
779.096	982.041	342.197				
375.853	1127.274	173.350				
307.609	1538.400	257.955				
286.025	1695.399	233.155				
179.202	1574.752	235.372				
1725.861	1388.813	78.387				
1256.604	1571.716	144.073				
805.929	1541.306	500.088				
1315.618	703.440	320.012				
1339.372	1240.218	186.201				
565.345	540.834	30.458				
973.861	525.850	293.489				
1436.730	1659.688	84.968				
345.406	671.392	267.121				
921.361	1512.228	116.077				
926.010	1108.954	434.072				
302.503	883.313	204.282				
1252.041	1042.701	294.383				
704.836	1101.137	328.802				
1168.012	1678.165	133.131				
679.464	1540.150	486.287				
767.083	486.585	183.223				
499.811	735.534	104.318				
1325.557	254.114	175.178				
1087.719	1539.508	472.186				
1348.498	1620.465	105.492				
516.213	1338.829	204.273				
1495.913	1557.458	104.015				
915.633	880.938	342.741				
1342.672	1523.837	114.371				
1137.032	1506.833	126.085				
802.316	1429.286	457.566				
1009.786	1469.446	131.832				
489.646	1434.010	187.081				
959.325	1006.237	332.157				
70.416	1136.513	0.000				
1323.715	1410.061	146.073				
1057.971	201.574	105.535				
224.871	941.068	276.287				
960.502	1366.299	235.224				
403.468	1372.308	199.605				
546.501	1200.003	224.165				
1048.874	1261.799	210.473				
1308.144	1319.972	199.426				
450.347	139.344	79.370				
1198.552	330.779	347.379				
726.170	236.730	270.290				
437.857	839.422	160.964				
1186.307	1241.289	219.501				
1590.064	1400.034	98.958				
1161.545	1013.528	325.579				
1718.950	291.513	155.945				
1440.444	882.338	278.260				
439.769	1535.014	205.025				
1460.219	1420.363	115.887				
1692.348	1174.210	249.252				
1096.579	1162.329	253.374				
1613.459	1246.699	158.520				
1202.933	1149.783	251.294				
1353.561	1144.897	223.670				
1122.305	1417.206	155.209				
987.206	799.782	352.600				
1059.391	527.839	356.818				
1577.311	678.148	258.560				
546.652	1071.154	256.072				
299.252	1127.214	241.526				
1436.208	799.803	291.744				
1335.684	1050.049	300.822				
1415.575	966.260	262.998				
1083.122	1040.904	333.171				
694.129	812.474	332.066				
1084.742	389.882	348.390				
380.337	1231.531	236.325				
1281.342	626.540	343.381				
838.574	1352.943	367.699				
1630.880	786.513	273.483				
1323.481	961.722	305.622				
783.285	1230.954	279.674				
1550.067	1117.906	190.710				
1036.291	901.904	333.676				
1583.445	917.248	255.881				
878.023	643.059	328.754				
804.646	1149.469	273.558				
508.015	264.880	59.821				
686.723	1452.938	469.788				
1445.035	1214.728	191.250				
1199.021	573.212	331.149				
828.896	888.938	346.579				
1126.191	841.630	326.975				
1338.780	459.571	233.233				
237.869	802.103	264.960				
630.246	967.773	304.981				
1355.545	883.567	321.800				
725.574	895.063	348.073				
312.346	1040.992	239.049				
1352.084	803.275	330.903				
1434.064	400.980	174.634				
300.063	494.160	220.039				
1543.668	275.583	179.444				
901.405	768.229	348.517				
1235.031	730.413	351.910				
1024.394	722.034	356.094				
660.087	675.437	222.830				
419.765	636.607	166.534				
1116.884	933.265	309.299				
817.792	797.783	353.683				
1749.987	367.087	109.996				
1476.189	1315.526	142.988				
980.289	382.109	331.419				
212.499	565.856	247.532				
1468.074	650.334	315.234				
1522.208	801.945	308.800				
1137.104	1327.368	187.997				
412.635	502.080	185.036				
1431.272	538.602	285.086				
1245.528	916.217	300.678				
686.599	1198.158	250.413				
1193.946	498.839	357.818				
555.205	367.045	71.244				
1553.835	596.594	288.408				
833.373	404.328	272.189				
1087.148	621.659	380.946				
1666.999	638.808	302.030				
1194.923	427.761	390.133				
1499.677	990.247	240.355				
865.888	1009.003	348.895				
166.482	219.997	71.378				
332.922	196.390	23.240				
1444.388	1073.675	228.335				
879.756	516.797	302.694				
858.654	312.984	298.930				
1011.452	1123.251	398.680				
887.053	1283.348	229.081				
431.505	739.664	167.912				
1707.703	1280.128	120.307				
1425.869	292.134	188.397				
178.017	111.103	124.281				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
225.807	175.830	72.966	32.540	34.738	8925.942	10588.155
114.833	110.367	68.483	44.136	293.816	10333.279	14397.956
320.429	148.946	75.630	47.513	2.720	9425.792	13955.524
209.455	83.482	71.147	57.777	168.145	12614.692	23657.586
1467.867	322.899	180.825	8.602	37.838	6478.840	6552.544
1431.698	273.944	181.006	21.824	177.164	3069.490	3306.464
1395.163	315.743	179.403	13.074	307.193	5303.530	5444.653
1671.170	1233.679	176.026	50.699	358.697	4734.418	7474.751
1742.017	907.436	161.427	77.992	83.401	14035.913	67465.179
1753.188	978.971	104.472	54.201	83.560	15617.633	26699.536
1637.075	1308.954	125.929	26.426	30.729	7616.488	8505.189
1674.543	1356.325	99.217	21.745	26.965	7481.398	8054.540
456.391	771.540	144.398	42.975	89.365	3420.141	4674.545
398.892	682.554	200.522	52.178	97.090	4035.843	6581.551
450.361	703.935	146.255	42.967	97.317	3543.981	4843.152
338.260	737.720	233.331	42.092	49.746	9297.955	12529.826
323.959	808.360	212.385	33.119	64.858	9880.369	11796.945
390.622	820.800	177.719	18.734	81.816	6890.632	7276.113
872.570	1180.590	312.237	54.144	313.412	9793.448	16719.395
927.287	1213.713	298.924	53.939	20.756	6455.794	10967.093
836.304	1289.082	292.151	58.743	137.893	4880.845	9406.613
824.994	1221.257	260.771	25.002	84.267	4787.357	5282.369
895.376	1334.196	277.335	59.073	133.427	4566.517	8885.259
938.785	1299.494	232.641	3.759	253.974	4657.897	4667.938
1063.718	1108.828	328.408	57.348	71.580	4905.348	9091.813
1017.966	1056.797	354.669	33.744	165.033	6339.512	7623.932
965.596	1079.481	388.303	44.490	145.925	4626.320	6485.120
968.754	1160.347	355.457	54.249	7.606	5670.007	9704.429
1009.709	1211.296	280.923	53.285	3.090	5304.579	8872.910
1052.302	1182.460	287.509	58.089	50.364	5165.912	9772.712
