Surface analysis

Generated: Monday 28 June 2021 14:25:07

						
Left filename	Left3_5m.jpg					
Left frame number	      0					
Plane definition points	144					
RMS plane fit (mm)	107.450					
X plane direction (unit vector)	[0.9884, -0.0000, 0.1522]					
Y plane direction (unit vector)	[-0.0117, 0.9971, 0.0757]					
Z plane direction (unit vector)	[-0.1517, -0.0766, 0.9854]					
Plane shift (mm)	[-1392.7534, -1045.4033, -2065.4724]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
0.000	0.000	2.081				
45.934	1710.255	224.510				
1825.174	268.164	120.057				
1219.807	1402.620	165.871				
1601.451	1509.986	53.662				
624.879	1285.939	251.764				
1097.129	756.500	333.398				
1638.755	1052.473	233.412				
1546.971	444.883	188.160				
966.746	1247.840	239.903				
776.512	980.264	345.594				
374.248	1126.383	175.180				
305.268	1536.926	261.989				
283.758	1694.070	238.060				
176.986	1573.361	238.842				
1724.684	1389.168	90.274				
1254.934	1571.423	154.215				
802.075	1538.520	507.224				
1313.304	702.067	324.957				
1337.611	1239.702	194.734				
564.927	540.961	29.717				
971.810	524.487	295.178				
1435.378	1659.858	96.793				
343.455	669.896	265.841				
919.903	1511.956	123.759				
922.787	1106.657	439.190				
300.834	882.194	204.094				
1249.712	1041.455	301.105				
702.274	1099.409	332.501				
1166.357	1677.898	143.405				
675.699	1537.392	492.631				
765.740	485.831	183.381				
498.835	735.152	104.414				
1324.374	253.682	177.315				
1442.862	872.531	319.492				
938.632	943.423	335.013				
1439.671	1433.889	141.077				
728.284	715.946	268.378				
741.379	1418.309	34.311				
1084.033	1537.035	481.060				
1347.041	1620.462	116.518				
1575.387	677.294	264.971				
1494.191	1557.354	117.411				
684.747	1196.875	255.694				
1340.470	1521.583	132.441				
1135.510	1506.600	135.071				
797.231	1429.239	456.726				
1542.688	274.797	181.841				
500.956	1425.714	229.249				
1232.952	726.636	346.642				
516.386	1337.332	214.448				
1465.814	649.065	320.786				
1021.896	720.075	359.905				
402.034	1371.052	204.335				
1322.089	1409.706	155.894				
828.196	396.093	253.425				
1308.419	1323.008	181.191				
1474.936	1315.814	151.175				
165.547	218.926	65.233				
1046.927	1261.241	216.741				
1337.687	1049.232	264.124				
1184.335	1240.376	227.378				
69.888	1136.586	0.000				
1427.781	412.261	213.188				
1123.756	840.062	331.023				
1443.389	1213.999	199.338				
545.246	1198.349	229.707				
683.031	1450.157	475.380				
1748.882	367.582	116.359				
1319.361	961.528	331.245				
292.949	1126.059	233.618				
1135.272	1326.940	194.154				
1352.007	1144.376	227.968				
1611.632	1246.339	169.762				
210.787	564.484	244.867				
1786.532	845.646	46.731				
298.282	492.147	216.922				
543.422	1070.465	255.124				
1442.709	1073.135	234.779				
1200.812	1148.746	258.597				
875.784	642.000	331.151				
438.495	838.931	166.812				
1084.568	1040.862	433.677				
1590.610	1402.032	101.619				
1159.008	1012.365	345.220				
862.145	1008.169	346.310				
1390.923	781.903	324.973				
627.835	966.129	307.138				
437.756	1533.942	209.859				
225.566	938.303	281.644				
1115.263	933.661	347.320				
1240.624	918.613	359.443				
1581.060	916.272	265.398				
958.379	1365.285	242.210				
235.522	800.518	263.156				
508.608	266.398	60.254				
1351.277	883.730	344.696				
1120.630	1416.492	163.119				
1008.260	1469.083	139.922				
906.664	861.779	354.280				
378.716	1230.051	239.881				
1424.595	291.618	191.319				
1547.999	1117.335	201.398				
1191.552	496.685	358.001				
1628.904	785.708	280.523				
1413.483	965.412	270.204				
418.455	635.790	165.497				
802.915	1148.736	280.786				
844.976	282.673	227.755				
408.966	500.107	177.072				
1035.318	903.154	360.260				
1490.162	990.132	289.090				
1094.352	1161.461	257.025				
1551.768	595.540	294.150				
1082.648	608.933	338.804				
1664.780	637.801	308.886				
877.140	514.343	300.403				
825.485	886.578	345.189				
966.059	1020.366	353.185				
1703.066	1278.585	143.002				
1195.642	582.989	380.875				
1429.467	537.319	288.248				
333.534	197.236	20.893				
884.030	1283.239	228.285				
430.480	739.110	168.524				
1337.151	458.670	236.564				
555.207	367.627	71.297				
1056.910	525.874	358.426				
1485.763	748.972	302.151				
1745.883	1183.980	67.872				
1192.998	414.859	360.623				
1009.180	1120.488	413.075				
978.329	381.496	334.750				
1082.412	388.447	349.863				
722.672	893.184	349.251				
692.075	810.936	335.294				
1717.343	292.061	162.553				
310.306	1038.789	239.824				
872.138	734.238	347.083				
771.412	1235.880	238.138				
1196.280	328.900	348.543				
448.164	137.036	70.541				
1282.500	613.123	296.874				
177.310	109.992	118.537				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
208.492	82.343	63.720	58.587	168.116	12498.263	23979.718
319.670	148.088	69.990	44.413	4.666	9702.795	13583.482
114.286	109.639	61.950	44.473	293.542	10304.488	14440.473
225.464	175.385	68.221	31.847	32.282	9022.158	10621.053
1392.594	599.836	301.970	15.483	196.431	9589.118	9950.212
1353.873	654.752	314.206	16.670	194.215	7598.722	7932.089
1237.032	640.916	341.464	44.190	90.834	5676.321	7916.431
1276.252	680.609	322.824	21.893	157.044	3951.832	4258.971
1349.706	536.371	273.895	25.863	201.107	9278.350	10311.104
1270.401	522.826	297.146	39.126	97.421	10205.379	13155.337
1223.231	564.266	345.250	48.296	106.359	3686.430	5541.125
430.102	200.224	50.562	21.170	305.765	9233.796	9902.064
600.583	228.703	119.516	31.160	301.887	21264.853	24850.103
872.505	224.464	158.537	49.562	178.326	40660.947	62687.590
590.846	130.239	83.312	11.533	208.715	33897.882	34596.374
1157.230	377.402	353.010	8.882	203.838	4796.282	4854.493
