Surface analysis

Generated: Tuesday 29 June 2021 13:04:46

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	31					
RMS plane fit (mm)	180.137					
X plane direction (unit vector)	[0.9997, 0.0000, -0.0245]					
Y plane direction (unit vector)	[0.0036, 0.9889, 0.1488]					
Z plane direction (unit vector)	[0.0242, -0.1489, 0.9886]					
Plane shift (mm)	[-1177.7944, -1551.5303, -2936.2725]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1134.395	938.630	208.091				
868.918	344.584	350.516				
702.497	537.130	164.190				
64.775	918.435	447.643				
2163.925	1490.396	381.504				
561.962	1800.541	544.678				
1215.192	1899.005	261.646				
1667.660	586.781	500.604				
687.000	1199.171	0.000				
1871.070	1210.739	286.981				
2426.016	1257.243	429.973				
2089.026	448.492	671.986				
1553.902	1223.905	223.275				
1608.257	890.881	363.390				
1848.445	2053.164	169.356				
955.006	581.981	259.482				
1106.651	1477.140	61.227				
2526.597	612.013	561.675				
1419.504	852.974	223.533				
1020.566	0.000	297.905				
1207.576	2025.733	449.846				
2002.248	1712.207	494.846				
329.613	786.502	299.330				
0.000	1214.701	713.686				
322.008	1257.237	452.656				
687.884	1894.836	678.543				
1205.617	342.741	354.802				
2212.821	1254.038	404.340				
1906.410	580.244	601.856				
380.223	1473.022	638.653				
447.146	1573.710	474.366				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
504.790	1415.301	371.007	65.810	85.992	24607.867	60054.594
275.790	1420.478	608.902	72.651	328.731	10498.060	35205.062
336.369	1529.651	577.577	58.687	126.532	30103.514	57924.100
705.253	1617.131	360.090	38.516	137.181	80342.009	102682.087
746.932	1416.674	178.531	46.983	152.997	111923.587	164060.409
234.077	1314.987	601.665	55.859	139.453	33504.075	59696.966
463.077	1309.810	363.770	57.346	137.328	41070.042	76117.464
1887.699	538.506	591.482	23.247	262.277	15131.051	16468.052
1727.442	685.969	488.617	29.050	311.818	36107.862	41303.944
1795.245	893.955	417.409	29.541	328.415	88502.987	101727.395
2215.276	815.432	522.624	15.362	10.690	204072.045	211633.489
2174.011	546.917	611.839	30.195	3.452	43756.119	50625.154
1996.767	1015.007	431.059	31.997	319.737	108501.472	127938.712
2267.587	1333.892	405.272	8.016	300.523	25273.372	25522.730
2082.605	1318.391	357.609	19.160	274.113	41446.343	43876.895
2388.478	1041.098	465.329	12.523	326.371	68940.878	70621.005
1438.403	263.744	441.564	19.993	274.694	141605.258	150686.429
1654.101	459.338	509.131	21.143	285.979	83362.651	89379.460
1193.376	592.565	279.272	17.369	342.081	89520.401	93797.417
1430.927	594.165	359.646	37.447	310.791	91776.303	115599.083
1031.700	229.108	334.408	9.048	184.898	57870.708	58599.878
1009.847	423.102	321.600	21.179	358.431	40044.984	42945.791
1036.884	1939.858	463.345	58.712	150.832	33428.344	64367.878
785.499	1724.172	428.149	55.466	179.018	46042.140	81217.474
1003.242	1756.993	333.806	46.310	130.502	111000.133	160694.846
446.207	1080.970	250.662	50.893	104.425	85686.544	135845.358
128.928	1130.124	537.995	48.818	127.798	49077.668	74534.152
238.799	987.391	399.877	27.137	128.525	61832.621	69481.213
573.037	840.934	154.507	30.820	64.102	121500.109	141479.510
471.651	568.312	348.293	52.899	48.759	58568.094	97093.049
684.225	441.211	253.809	49.344	48.767	60484.931	92837.714
1590.447	1611.705	326.589	22.879	236.442	234035.376	254020.454
1688.628	1888.125	308.616	42.699	355.146	119810.979	163023.289
1809.073	1382.284	335.034	22.687	211.066	80388.027	87129.644
2092.236	1674.204	364.725	71.714	49.009	37255.894	118742.891
2197.396	1486.615	435.441	68.851	224.720	10219.621	28325.297
2012.414	1471.114	387.777	24.258	167.518	55086.163	60421.249
1423.737	1992.634	293.616	56.977	161.037	40712.590	74705.290
863.994	293.904	270.870	71.275	243.531	14073.425	43839.754
1169.635	791.195	230.369	8.483	356.370	58525.010	59172.315
1565.140	776.879	362.509	40.457	290.231	29825.813	39198.683
1527.221	989.253	270.066	40.376	289.961	32459.739	42608.595
1369.267	1005.170	218.300	2.976	290.635	58633.947	58713.135
1264.983	1213.225	164.198	18.683	320.705	116911.823	123414.958
976.015	1204.981	89.773	22.136	309.082	116849.038	126147.204
1291.915	1533.350	182.050	32.781	238.832	108083.087	128556.841
781.501	772.761	141.224	25.760	299.576	83933.057	93194.657
925.467	906.594	155.858	22.550	314.761	103150.764	111690.210
842.140	487.898	258.063	36.209	319.430	28041.829	34753.960
1677.743	1108.509	291.216	23.366	334.699	52454.292	57140.553
						
Total plan area (mm^2)	3476032.645					
Total 3D area (mm^2)	4418816.290					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 713.686 (mm)			
