Surface analysis

Generated: Tuesday 29 June 2021 14:25:24

						
Left filename	Left3_2m.jpg					
Left frame number	      0					
Plane definition points	89					
RMS plane fit (mm)	199.940					
X plane direction (unit vector)	[0.9999, 0.0000, -0.0162]					
Y plane direction (unit vector)	[0.0015, 0.9956, 0.0937]					
Z plane direction (unit vector)	[0.0161, -0.0937, 0.9955]					
Plane shift (mm)	[-929.4092, -945.1475, -2869.2968]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
416.189	1385.576	396.223				
690.323	1309.321	528.324				
1261.487	550.583	412.314				
1989.291	641.811	1038.944				
187.894	1198.303	0.000				
527.428	625.168	604.451				
1329.999	1024.078	553.795				
1597.521	229.333	384.047				
1402.576	1231.318	523.672				
1582.753	1641.222	363.826				
884.013	753.825	1044.123				
827.721	607.172	1192.256				
886.722	1421.012	476.456				
1424.725	878.002	801.882				
642.439	984.382	1030.666				
1571.885	1135.980	737.450				
1086.967	1591.006	547.627				
1150.774	231.455	388.720				
538.660	1547.120	119.570				
1793.163	1416.368	466.158				
1068.160	0.000	298.392				
1163.109	1337.041	435.981				
257.604	613.084	430.890				
183.244	143.179	474.183				
937.556	895.061	569.506				
485.227	70.231	917.556				
0.000	1217.686	436.814				
818.895	1725.399	443.565				
512.774	883.728	538.774				
2254.594	229.263	431.240				
1346.929	1619.761	493.802				
949.312	1577.255	486.137				
835.800	1533.104	484.343				
1235.479	1454.852	509.917				
386.724	608.156	532.767				
1363.540	1361.794	497.387				
790.654	1293.439	512.869				
1648.705	1348.484	382.081				
2057.063	564.304	277.892				
437.108	1264.742	498.992				
125.212	598.308	466.995				
1750.063	967.203	326.251				
1957.807	208.007	452.988				
1002.877	1188.193	591.529				
1792.722	427.364	313.131				
404.494	1155.678	522.081				
118.850	1117.581	500.847				
790.169	1045.970	1046.790				
345.796	1055.046	535.495				
621.385	182.915	422.678				
331.737	945.995	550.651				
982.168	1049.949	600.653				
1442.255	988.268	644.485				
513.911	1006.086	552.485				
1096.336	966.755	581.203				
1883.590	698.395	233.844				
1236.334	728.404	655.717				
967.055	169.208	376.967				
753.264	911.527	1040.392				
1276.729	918.722	775.741				
289.992	1349.081	413.765				
901.747	1167.519	613.967				
740.638	354.133	412.271				
635.207	744.827	673.057				
1267.664	1230.706	495.096				
134.251	1263.709	454.167				
742.603	696.021	473.104				
149.377	749.157	549.083				
1355.142	819.597	706.635				
1555.818	593.590	475.880				
1706.264	589.838	457.447				
156.843	854.164	546.571				
1178.330	924.689	679.894				
1723.864	956.942	837.218				
936.490	512.983	406.020				
1148.737	451.772	368.522				
431.305	175.779	458.829				
770.035	1183.928	552.935				
566.017	415.152	471.781				
769.435	519.218	429.939				
1672.883	1259.769	728.390				
1976.993	341.940	390.808				
1072.356	341.033	382.125				
1250.526	343.438	392.873				
1942.744	1091.703	535.890				
1356.642	593.889	569.383				
247.508	436.057	473.492				
1457.808	375.658	415.602				
1265.588	59.517	342.342				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
1825.996	165.596	408.857	58.665	173.353	14677.993	28224.919
1529.447	96.260	357.325	45.733	175.215	12675.090	18159.076
1606.972	165.619	393.126	12.271	301.957	34130.375	34928.332
1222.296	211.470	374.645	12.750	138.724	15004.170	15383.492
1324.641	259.538	383.606	11.288	204.041	29668.604	30253.856
1440.306	221.502	380.664	12.719	182.613	36147.665	37056.995
1161.508	96.991	343.151	20.184	198.661	20389.421	21723.429
1323.274	423.226	406.930	7.443	227.193	21292.189	21473.140
1358.646	506.710	465.766	58.579	222.139	12573.549	24118.335
1456.756	521.046	486.955	34.066	136.119	21718.104	26217.255
1602.116	465.537	401.538	30.191	139.909	33960.375	39289.847
1616.017	344.118	370.927	16.862	77.295	28115.163	29378.177
414.944	342.329	468.034	3.155	178.174	39529.357	39589.368
400.083	486.455	492.680	18.345	182.829	28862.686	30408.103
185.321	392.514	471.557	2.303	285.662	23122.481	23141.171
210.108	549.150	457.126	18.545	47.523	11643.973	12281.719
297.279	552.432	479.050	39.648	290.118	11453.795	14875.548
287.352	251.671	468.835	3.688	100.327	35278.415	35351.629
1316.039	713.964	643.912	31.343	176.424	13476.359	15778.968
1284.821	624.292	545.805	60.788	212.676	9004.984	18451.295
1422.534	669.025	583.966	37.423	142.243	22477.526	28303.253
1996.366	765.939	617.575	86.033	79.670	13441.276	194298.370
2084.800	628.424	415.007	69.980	247.738	32937.779	96209.804
1858.799	919.100	365.328	43.133	224.400	34209.188	46877.065
1938.542	810.636	602.893	82.343	272.693	22459.990	168559.400
1802.930	1255.947	576.813	54.682	57.319	31237.423	54033.093
1788.563	1106.225	530.177	55.031	186.859	32990.353	57561.776
1157.206	378.748	381.174	10.059	339.348	9773.292	9925.876
1157.885	305.309	387.906	3.597	285.550	9856.013	9875.462
1220.250	448.598	391.237	18.269	256.535	11136.224	11727.317
1063.395	247.232	382.604	3.940	279.688	12506.422	12536.057
1052.528	435.262	385.556	10.032	89.735	14089.689	14308.472
916.495	402.716	400.139	6.398	128.185	27629.539	27802.702
926.683	288.124	390.454	6.907	133.701	29188.459	29401.811
1942.259	444.536	327.277	30.426	344.241	23907.613	27725.889
1909.174	325.770	385.642	27.863	338.534	13159.435	14885.109
2096.217	378.502	366.647	26.181	6.160	35375.241	39419.329
2063.131	259.737	425.012	24.714	5.041	19670.807	21654.242
1549.114	1209.022	663.171	48.438	312.093	15293.729	23052.595
1574.721	1279.857	544.715	75.141	342.465	12334.154	48098.813
1704.917	1341.540	525.543	75.796	327.169	7228.438	29459.440
1664.943	1120.984	597.364	59.315	127.282	19551.247	38312.131
620.960	519.846	502.057	36.015	138.316	23368.298	28890.219
692.030	429.501	437.997	18.065	118.753	15292.256	16085.214
679.822	613.469	502.498	33.963	102.370	19972.379	24080.590
779.920	607.471	698.433	84.560	260.053	6332.597	66792.167
815.521	462.111	416.077	10.790	133.483	13878.953	14128.756
844.549	546.458	676.072	83.331	181.179	7528.308	64823.841
493.390	549.492	536.333	39.571	210.841	15103.208	19593.390
642.680	317.400	435.576	17.950	116.000	18587.469	19538.496
539.569	257.949	451.096	14.372	129.973	22269.374	22988.846
820.812	1214.962	559.924	31.056	317.322	7381.160	8616.198
820.650	1132.472	737.897	74.382	359.716	8920.198	33132.664
642.128	1058.132	712.028	79.207	325.210	14208.388	75872.707
658.089	1166.445	544.581	9.416	324.726	23146.092	23462.214
734.214	1071.426	876.797	74.810	335.802	10810.335	41256.242
750.337	1262.229	531.376	21.130	32.179	5657.408	6065.217
512.639	142.975	599.688	77.082	0.348	10223.603	45730.332
366.592	129.729	616.856	76.389	353.365	13970.032	59363.952
1107.187	564.386	476.753	45.253	186.400	32038.208	45509.969
1215.519	576.920	478.851	55.553	150.327	11267.325	19919.487
882.741	624.660	880.800	80.873	102.285	10626.661	66990.728
1018.946	665.071	701.954	69.087	159.282	41759.720	116991.327
1579.335	1027.064	739.718	34.521	267.818	22828.895	27707.597
1681.937	1020.042	633.640	87.042	48.415	3124.985	60549.912
1771.239	748.392	509.503	66.077	120.029	31593.348	77908.982
1785.839	874.180	465.771	86.856	64.554	4206.260	76694.859
1661.982	713.457	590.182	46.223	174.689	27647.731	39961.604
1568.136	809.511	704.993	47.282	171.271	47713.654	70333.966
1530.281	941.071	761.195	57.921	341.112	15800.618	29751.479
1230.464	857.272	703.784	47.296	247.278	9484.043	13983.807
1261.686	955.829	669.810	69.341	341.964	5342.395	15142.412
1201.555	971.841	604.964	60.524	349.908	7264.759	14763.796
1117.407	849.385	635.039	26.347	239.738	24489.345	27328.069
1070.741	928.835	610.201	52.798	332.778	6278.925	10384.884
202.477	972.580	532.690	10.796	326.080	24779.556	25226.039
212.652	849.772	548.768	2.621	305.478	8839.685	8848.941
102.073	940.336	510.823	29.109	276.523	9591.854	10978.489
91.898	1063.144	494.744	24.702	283.724	13751.881	15136.998
1684.935	536.931	415.486	40.040	173.047	12059.530	15751.840
1794.192	571.866	334.807	53.895	96.864	19098.212	32410.353
1445.228	763.729	661.466	52.739	192.891	13723.343	22666.390
1352.199	872.107	761.419	49.450	203.762	5738.533	8827.020
1289.402	822.241	712.698	32.948	174.130	9463.735	11277.557
246.239	769.412	510.208	34.482	133.301	23058.775	27973.653
177.398	653.517	482.322	34.534	150.437	9807.145	11904.857
91.530	855.050	484.297	58.941	260.220	16927.704	32810.477
818.113	685.673	903.161	80.675	299.907	8742.151	53954.643
710.358	784.125	728.851	69.969	166.272	11832.340	34544.791
793.293	787.124	852.540	75.661	230.605	14929.269	60281.302
635.080	688.672	583.538	62.966	144.565	9055.526	19923.347
141.414	1276.825	434.915	63.959	337.652	2146.687	4889.745
204.045	1270.364	289.311	79.555	148.867	7383.056	40726.194
84.367	1199.659	463.943	23.034	324.364	9454.468	10273.544
146.998	1193.198	318.338	82.753	93.701	4423.054	35062.459
1333.413	1162.034	524.188	17.014	315.936	13957.276	14596.114
1344.593	1274.606	505.385	14.213	302.988	8813.330	9091.616
1264.771	1309.847	476.155	22.011	304.181	11950.471	12889.962
1144.550	1251.980	507.535	39.500	16.741	16300.549	21125.037
1122.292	1128.551	555.943	19.913	73.929	31303.556	33294.166
1231.333	1073.846	543.365	16.738	8.476	25927.205	27074.301
676.970	880.245	914.705	60.923	215.658	13537.736	27855.932
596.807	870.979	747.499	71.818	242.385	15167.055	48607.883
558.470	751.241	605.428	41.610	283.347	14810.475	19808.641
776.359	235.419	403.972	7.662	103.094	30409.702	30683.643
962.264	1135.220	602.050	12.276	81.066	6776.287	6934.855
891.361	1087.812	753.803	69.789	57.599	11446.613	33133.428
859.707	1293.990	534.431	31.461	328.860	13134.684	15398.373
930.449	1258.908	560.651	29.240	11.295	12973.280	14867.725
377.198	1256.500	478.279	27.053	310.049	9397.789	10552.394
