Surface analysis

Generated: Tuesday 29 June 2021 15:34:29

						
Left filename	Left3_2m.jpg					
Left frame number	      0					
Plane definition points	34					
RMS plane fit (mm)	193.407					
X plane direction (unit vector)	[0.9512, 0.0000, -0.3084]					
Y plane direction (unit vector)	[-0.1321, 0.9036, -0.4075]					
Z plane direction (unit vector)	[0.2787, 0.4284, 0.8595]					
Plane shift (mm)	[-179.9215, 298.0248, -2048.5411]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
479.333	569.657	562.617				
1053.823	169.089	225.821				
349.350	1016.742	502.749				
143.051	331.065	448.304				
315.993	712.292	583.291				
436.193	250.736	416.357				
0.031	1363.484	43.890				
811.719	624.447	312.835				
298.937	300.866	494.877				
972.794	1041.887	153.622				
187.942	170.476	503.704				
699.411	888.820	358.629				
255.170	622.429	299.694				
37.521	826.408	0.000				
639.566	1230.509	398.202				
634.432	201.233	515.113				
112.643	965.367	279.695				
0.000	296.593	399.504				
533.516	414.390	585.458				
303.972	210.741	411.957				
1164.944	686.556	91.484				
211.515	1264.878	208.023				
139.890	136.624	428.412				
446.696	943.771	510.439				
828.323	1196.171	370.633				
463.529	4.512	65.798				
719.125	312.532	442.509				
1183.668	441.296	177.545				
638.009	0.000	233.447				
449.391	779.978	516.748				
219.152	657.085	451.872				
428.259	484.659	555.378				
323.130	526.329	534.821				
463.151	385.616	540.984				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
474.975	428.222	560.607	30.751	237.273	3986.596	4638.804
477.620	350.247	514.266	42.355	197.676	4357.657	5896.854
396.782	390.381	530.413	15.122	220.114	9610.611	9955.346
399.427	312.406	484.073	44.772	167.268	9932.305	13990.838
350.109	437.285	528.359	16.472	239.558	12355.437	12884.220
410.241	526.882	550.939	10.593	278.024	5532.035	5627.950
298.098	620.350	472.602	76.194	264.133	5976.080	25042.304
372.819	602.759	560.243	15.884	201.554	14678.609	15261.314
255.039	386.087	492.668	19.592	246.460	17938.596	19040.947
240.450	493.274	427.607	64.924	303.917	15287.846	36072.171
480.370	489.569	567.818	14.156	284.176	6267.799	6464.087
85.557	593.362	283.792	62.093	297.527	51291.892	109589.314
120.734	428.248	433.227	20.102	281.470	22006.940	23434.507
205.791	536.860	399.957	74.211	103.312	7190.003	26424.802
190.889	731.928	345.055	62.710	292.851	13212.438	28816.813
263.438	663.935	444.953	74.929	168.824	2672.281	10277.048
414.906	687.309	554.219	24.294	53.322	15041.486	16502.925
404.027	812.013	536.826	25.528	84.432	11015.992	12207.771
531.833	870.856	461.939	31.517	85.456	20622.338	24190.814
653.507	764.415	396.071	31.080	82.321	39161.193	45725.262
580.148	658.027	464.067	37.521	65.567	35774.096	45104.649
578.657	68.582	271.453	60.017	215.136	17547.449	35113.062
775.421	123.440	324.794	56.430	157.225	42140.139	76208.466
1053.444	584.099	193.955	34.307	54.786	43897.406	53142.741
904.838	459.425	310.963	29.422	61.569	66487.578	76332.334
985.539	307.639	281.958	31.403	100.300	54866.273	64281.961
802.460	227.618	394.481	35.349	80.226	24700.125	30282.918
688.120	450.456	446.934	41.134	79.385	33662.841	44694.849
629.025	309.385	514.360	38.562	86.638	14642.407	18725.811
263.787	103.871	332.638	67.539	176.811	8652.084	22646.242
318.481	128.576	327.153	53.890	127.841	15176.585	25751.646
401.232	155.330	298.037	55.102	164.443	16824.614	29407.678
511.385	152.160	332.423	60.346	209.993	23728.894	47959.806
722.433	1105.167	375.821	9.047	125.827	31220.570	31613.886
833.509	1042.293	294.295	47.970	114.615	32146.306	48013.736
595.224	1021.033	422.423	30.897	91.056	41530.533	48398.782
478.537	1063.674	470.463	18.166	25.750	20993.503	22094.753
370.680	890.935	532.160	15.403	23.593	16035.649	16633.058
94.314	254.761	425.407	18.379	253.000	13852.990	14597.583
156.961	212.722	460.140	56.557	267.057	4618.165	8379.853
224.502	1082.329	330.156	50.754	298.966	32908.328	52016.947
108.063	1197.910	177.203	35.692	306.709	36545.495	44997.522
400.144	1170.709	369.658	46.409	339.655	50738.848	73586.955
283.704	1286.290	216.705	43.168	336.418	17470.045	23953.050
983.153	784.296	185.980	31.746	75.993	68722.883	80813.420
263.617	227.361	470.179	54.210	128.276	5329.993	9114.024
346.368	254.114	441.064	43.170	165.116	6058.939	8307.526
534.714	288.786	505.643	42.596	225.736	18630.225	25307.840
608.190	536.165	486.970	38.278	60.626	27288.597	34762.014
50.065	1051.753	107.862	72.533	264.537	22778.004	75887.253
155.386	834.689	287.662	68.169	253.218	23634.517	63556.311
259.329	898.134	455.245	47.497	290.198	35175.856	52063.972
827.975	851.718	275.029	34.767	80.262	44733.037	54454.021
209.977	267.469	482.295	20.280	318.425	11838.980	12621.391
						
Total plan area (mm^2)	1248490.086					
Total 3D area (mm^2)	1822870.154					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 585.458 (mm)			
