Surface analysis

Generated: Monday 05 July 2021 15:04:17

						
Left filename	Left1_2m.jpg					
Left frame number	      0					
Plane definition points	36					
RMS plane fit (mm)	89.661					
X plane direction (unit vector)	[1.0000, 0.0000, -0.0058]					
Y plane direction (unit vector)	[0.0025, 0.9012, 0.4334]					
Z plane direction (unit vector)	[0.0052, -0.4334, 0.9012]					
Plane shift (mm)	[-1075.3055, -2187.8628, -2436.2079]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
573.065	1567.003	378.684				
1308.885	1760.263	395.049				
907.295	1978.632	331.973				
1169.771	1987.544	374.830				
1885.747	1226.615	386.579				
1073.148	0.000	284.688				
1064.721	1037.584	316.498				
1998.640	1790.747	419.369				
1237.339	1271.862	342.663				
1247.750	861.700	329.359				
1535.192	1268.752	302.985				
676.116	1320.793	356.976				
861.408	1836.221	315.135				
0.000	1267.751	265.084				
1543.095	1965.609	136.218				
2045.597	1084.804	357.803				
1688.164	416.965	281.051				
1739.708	775.165	285.786				
831.250	1563.965	358.369				
1820.778	1355.734	309.288				
628.193	699.813	351.889				
1418.490	1663.108	383.157				
1149.624	1671.469	0.000				
1753.179	2016.713	349.558				
2254.081	1396.433	348.084				
1847.484	1697.962	382.628				
1019.029	1633.356	499.154				
1349.991	2009.471	242.906				
1713.251	1266.954	304.754				
855.581	1283.204	389.574				
572.082	1794.858	359.809				
1160.054	1904.424	361.112				
1060.421	1872.108	358.379				
1264.870	1840.313	362.068				
1696.535	1737.457	360.834				
587.790	1705.853	380.094				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
673.760	1778.977	351.679	15.418	25.522	13200.599	13693.430
760.149	1702.013	351.199	12.448	50.676	35281.279	36130.612
577.646	1689.238	372.862	40.241	275.370	1745.837	2287.137
664.035	1612.274	372.382	4.609	103.248	17946.787	18005.007
1550.072	1556.439	348.992	11.748	143.132	59162.747	60428.533
1684.168	1453.981	324.369	7.438	172.367	59910.836	60419.212
1552.707	1788.724	293.403	41.789	350.007	37422.329	50190.734
1664.270	1906.593	282.204	47.965	283.511	27886.211	41646.744
1765.733	1817.377	364.340	8.153	297.503	22195.251	22421.847
1788.266	1597.051	350.917	15.621	224.633	26356.778	27367.649
1241.126	1757.348	252.372	65.542	250.647	8328.565	20115.805
1191.516	1805.402	241.060	60.576	211.703	12543.035	25532.056
1307.915	1870.016	333.341	32.182	26.187	7129.750	8423.991
1198.231	1910.760	366.004	10.443	213.872	4667.673	4746.289
1261.544	1945.776	326.602	37.811	62.525	14309.611	18112.490
943.042	1895.654	335.162	12.094	256.175	13347.514	13650.474
1130.082	1921.359	364.774	9.669	170.839	3983.727	4041.136
1045.829	1946.095	355.061	9.324	274.387	14662.409	14858.724
980.286	1780.561	390.889	36.078	332.711	23014.623	28475.991
1123.366	1816.000	239.830	58.690	162.939	11436.393	22007.311
1076.358	1725.644	285.844	75.423	91.146	14801.173	58808.698
780.262	1869.904	335.639	14.118	134.439	19652.734	20264.837
381.716	1543.204	334.526	14.276	288.752	65434.976	67520.100
787.649	1389.321	368.306	10.664	301.068	24736.050	25170.743
1052.547	1197.550	349.578	12.947	149.406	45697.596	46889.620
719.963	1101.270	366.147	10.233	271.820	56622.874	57538.167
849.498	1006.867	352.654	13.104	126.279	88930.579	91308.105
1037.316	1396.141	410.464	20.909	162.948	67763.419	72540.226
