Surface analysis

Generated: Tuesday 29 June 2021 12:26:18

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	96.020					
X plane direction (unit vector)	[0.9755, -0.0000, 0.2199]					
Y plane direction (unit vector)	[-0.0523, 0.9713, 0.2319]					
Z plane direction (unit vector)	[-0.2136, -0.2377, 0.9476]					
Plane shift (mm)	[-2328.7001, -1157.4833, -2046.1097]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1565.144	838.451	195.846				
1706.511	0.000	192.432				
2653.642	268.087	189.537				
2331.625	616.143	269.994				
0.000	54.582	200.614				
852.553	185.132	231.898				
1267.003	599.716	430.457				
1340.259	1408.877	182.872				
1822.298	1385.628	200.086				
1995.997	1175.368	240.369				
2516.658	856.862	178.565				
1764.642	765.954	177.430				
2894.428	349.897	293.519				
2796.137	1141.445	284.129				
3098.491	992.324	293.938				
1689.356	230.102	198.014				
2052.856	219.548	29.273				
1255.301	887.388	430.469				
2098.655	1141.527	197.436				
2014.751	937.225	196.400				
1528.096	1238.794	97.632				
2116.931	869.112	262.353				
2545.991	1323.843	237.563				
2593.731	535.262	0.000				
2560.182	993.500	249.927				
2310.240	1077.027	159.928				
1524.075	606.836	148.735				
2342.621	348.276	221.646				
3017.611	431.615	362.040				
2025.987	600.604	244.554				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
2140.488	389.476	165.158	35.590	214.017	56937.896	70016.650
2233.411	521.675	245.398	11.191	201.935	41020.570	41815.727
1922.733	350.085	157.280	34.876	139.923	69115.058	84246.256
1826.662	532.220	206.666	12.639	287.764	76245.287	78138.791
2158.181	695.286	258.967	5.145	244.499	40326.528	40489.664
1935.127	767.928	206.128	12.326	308.955	43058.066	44074.008
2052.556	802.314	234.435	29.950	282.455	16815.410	19406.913
2903.278	653.067	218.659	39.715	286.529	123028.083	159935.602
2835.257	438.925	218.520	40.049	292.973	23703.060	30964.354
2529.998	383.875	137.061	39.853	21.336	39146.427	50992.060
2422.659	499.894	163.880	44.908	98.073	34660.075	48937.847
2349.706	278.637	146.819	47.911	189.277	31636.683	47198.684
1348.793	697.980	336.554	47.611	87.673	37017.716	54909.310
1448.173	777.558	258.350	37.886	114.971	36886.880	46737.508
1493.478	478.885	259.069	51.043	60.754	49012.306	77954.125
1659.358	534.297	174.726	9.688	290.873	58464.573	59310.388
1617.954	737.080	174.004	11.706	175.215	24592.043	25114.342
2462.360	975.797	196.140	31.282	232.679	18893.603	22107.565
2314.609	934.334	200.282	19.935	37.043	42738.605	45462.727
2318.295	1180.799	198.309	20.808	170.452	33714.017	36066.342
2472.138	1131.457	215.806	19.460	273.615	40690.685	43156.044
2175.275	1029.222	206.573	19.850	44.968	28229.939	30013.236
2634.104	1152.929	257.207	9.469	280.496	40022.638	40575.531
2624.326	997.269	237.540	32.503	159.025	12900.544	15296.541
2480.671	669.423	149.520	44.576	109.753	39029.793	54792.660
2736.293	794.816	157.501	29.883	186.532	98779.061	113926.457
2713.934	384.416	161.019	40.216	312.314	34616.704	45332.321
2813.540	1152.537	271.877	35.474	23.913	8923.318	10957.194
2155.648	1283.666	211.695	5.515	217.185	79789.894	80160.910
2321.738	780.706	236.971	16.906	45.333	49244.182	51468.479
2076.779	982.621	218.730	28.756	291.837	13295.342	15165.675
1563.551	1344.433	160.197	29.878	186.321	38809.724	44758.748
1449.514	988.211	241.315	40.987	68.384	61115.197	80962.402
1374.552	1178.353	236.991	40.219	65.601	56202.395	73603.547
1782.131	1266.597	179.362	17.826	257.782	43682.006	45884.925
1696.413	1084.204	177.949	19.406	308.615	92485.661	98056.702
2036.468	1084.706	211.402	21.730	113.002	11906.285	12817.091
1925.130	959.515	204.733	10.598	165.136	31386.706	31931.427
1972.317	1234.174	212.631	44.745	41.869	7853.340	11057.164
1124.953	557.412	364.275	24.736	267.666	62038.528	68305.647
702.618	375.701	287.660	16.014	178.555	273065.654	284089.501
865.187	783.616	271.318	38.483	315.373	291936.070	372943.824
1816.241	149.883	139.906	24.921	88.721	41730.381	46014.840
2137.670	162.545	137.081	54.181	344.317	57545.049	98330.327
1269.638	338.317	286.790	28.958	172.733	164143.887	187598.021
1416.140	138.411	207.448	2.674	116.940	96660.643	96765.973
2803.762	996.877	252.211	15.143	212.424	63860.464	66157.748
1775.261	926.591	204.548	9.841	169.961	49225.034	49960.206
853.021	79.905	208.315	12.634	180.607	134659.501	138000.718
						
Total plan area (mm^2)	2920841.509					
Total 3D area (mm^2)	3391962.723					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 430.469 (mm)			
