Surface analysis

Generated: Friday 25 June 2021 16:39:32

						
Left filename	Left3_5m.jpg					
Left frame number	      0					
Plane definition points	33					
RMS plane fit (mm)	156.224					
X plane direction (unit vector)	[0.9266, 0.0000, -0.3759]					
Y plane direction (unit vector)	[0.1583, 0.9071, 0.3901]					
Z plane direction (unit vector)	[0.3410, -0.4210, 0.8405]					
Plane shift (mm)	[133.9538, -2065.1277, -2298.5341]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
425.218	929.833	96.817				
385.107	1423.862	246.076				
939.721	1306.230	156.055				
1193.684	1607.776	178.993				
1777.790	412.948	347.895				
1028.501	851.803	190.500				
1612.994	1605.296	182.324				
269.445	1643.454	152.721				
36.045	351.456	174.987				
440.305	232.117	246.517				
1825.453	1859.440	74.744				
421.536	1697.820	312.687				
1098.800	45.013	123.918				
1000.944	1892.978	228.147				
1068.304	1452.158	715.482				
487.503	643.398	249.810				
1370.007	731.838	130.199				
956.311	1317.567	525.360				
662.300	1767.529	231.209				
166.759	1168.095	369.129				
1726.710	114.089	0.000				
542.870	1292.525	268.370				
1586.231	780.175	181.547				
1738.666	0.000	212.151				
651.697	997.141	286.786				
2078.831	954.071	85.327				
155.530	641.199	212.283				
313.508	1863.026	100.614				
1135.499	2072.734	214.241				
824.117	1575.453	142.055				
0.000	1605.340	96.720				
52.239	1283.363	173.206				
426.824	1093.532	199.161				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
339.601	1063.820	221.703	38.226	143.095	21346.003	27172.432
501.246	1006.835	194.255	42.018	226.625	18483.062	24878.601
540.464	1127.732	251.439	23.829	257.386	27966.921	30573.216
451.601	1269.973	237.869	18.811	238.369	23317.477	24633.257
326.230	1228.496	271.456	32.573	95.544	41398.364	49125.272
29.428	1080.053	148.304	52.688	271.079	26947.936	44457.169
201.369	1291.773	262.804	51.007	327.719	27229.585	43274.912
107.228	1510.719	140.882	17.165	310.172	44373.060	46441.708
235.597	1450.226	190.668	22.434	307.874	44672.732	48330.468
124.843	1030.886	251.540	63.259	262.597	30817.413	68489.960
81.271	758.673	186.825	18.304	271.326	53328.219	56170.276
194.318	1703.940	116.685	20.794	319.134	28741.698	30744.234
906.716	1399.750	274.490	86.945	246.907	2888.525	54206.378
949.577	1448.393	460.966	65.450	280.029	23336.837	56167.781
829.120	1745.320	200.470	20.521	158.375	42672.572	45563.765
543.587	1565.712	233.606	23.880	130.559	57373.810	62744.946
635.984	1680.267	228.650	22.119	110.742	28762.479	31047.367
768.903	1391.402	188.827	18.036	58.323	54212.882	57014.561
584.031	1430.613	218.834	19.035	21.429	40786.910	43146.118
1028.702	1545.129	345.510	75.330	353.508	26729.316	105545.486
1006.248	1692.069	183.065	13.510	199.484	55815.662	57404.071
1110.042	1857.830	207.127	10.393	107.081	36510.786	37119.754
1314.059	1761.936	191.853	4.421	186.236	97408.541	97699.254
703.769	1901.097	182.021	27.150	330.547	75821.374	85210.213
932.914	1911.080	224.532	5.789	344.471	21996.837	22109.577
1524.649	1845.824	157.103	18.416	52.638	110331.851	116287.251
465.781	1776.125	214.837	51.689	358.734	23653.191	38154.461
334.830	1734.767	188.674	52.775	291.529	15499.772	25621.874
356.084	738.143	186.303	27.563	347.113	47612.954	53708.651
361.113	505.571	236.203	6.457	272.516	68215.321	68650.870
210.627	408.257	211.262	11.197	255.458	65695.253	66970.049
249.169	913.042	226.076	39.562	112.336	69428.238	90056.963
1759.352	1113.181	149.733	11.203	92.130	200900.622	204803.393
1839.093	1472.936	114.132	21.125	72.696	128374.060	137622.815
1865.096	455.673	215.125	61.369	105.704	51571.883	107627.331
1814.284	715.732	204.923	25.152	3.652	107103.904	118322.839
711.429	1198.632	237.071	17.873	59.323	59357.386	62367.127
873.306	1051.724	211.114	18.606	66.179	79163.407	83529.087
521.473	856.791	211.138	44.814	289.423	34531.826	48677.448
722.567	830.780	242.365	14.732	136.035	78577.616	81248.485
1521.392	53.034	112.023	61.720	359.780	36231.810	76474.659
1747.722	175.679	186.682	84.801	273.706	4700.326	51868.549
1578.009	641.654	219.880	22.927	314.173	44331.345	48133.756
1341.514	988.057	342.409	39.878	183.504	85166.932	110979.492
1422.510	1279.210	359.784	44.673	91.912	222668.278	313119.249
1534.433	190.683	157.271	51.673	164.801	92063.966	148455.885
1017.705	1207.176	477.114	47.358	220.325	30939.405	45672.598
974.844	1158.533	290.639	87.144	259.158	4272.709	85741.392
1155.604	1011.933	345.394	41.197	188.384	104900.160	139411.709
1415.532	396.600	200.671	23.804	290.443	183280.134	200321.896
1165.769	542.885	148.206	9.495	114.463	133545.172	135400.311
871.601	513.405	188.076	8.753	117.294	225560.842	228218.893
675.536	306.843	206.748	10.224	99.075	139828.653	142084.633
1291.661	1555.077	358.933	73.780	0.206	32781.503	117358.313
358.696	1588.378	237.162	45.534	263.890	19842.995	28327.293
						
Total plan area (mm^2)	3453070.515					
Total 3D area (mm^2)	4424488.048					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 715.482 (mm)			
