Surface analysis

Generated: Monday 28 June 2021 14:08:28

						
Left filename	Left3_5m.jpg					
Left frame number	      0					
Plane definition points	37					
RMS plane fit (mm)	148.144					
X plane direction (unit vector)	[0.9252, 0.0000, -0.3795]					
Y plane direction (unit vector)	[0.1595, 0.9074, 0.3888]					
Z plane direction (unit vector)	[0.3444, -0.4202, 0.8395]					
Plane shift (mm)	[142.3964, -2060.2960, -2293.6795]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
426.311	927.803	92.962				
384.877	1421.638	242.502				
939.992	1304.982	154.321				
1193.384	1606.920	178.404				
1778.833	412.894	348.327				
1029.388	850.670	188.688				
1612.683	1605.116	183.199				
269.185	1641.122	148.931				
37.806	348.730	169.276				
442.007	229.984	242.117				
1825.104	1859.696	76.581				
420.628	1695.597	309.474				
1101.229	44.053	121.662				
1000.010	1891.766	227.127				
1066.382	1450.637	714.318				
488.526	641.338	245.927				
1371.297	731.310	129.478				
955.272	1316.029	523.691				
661.562	1765.766	228.898				
166.515	1165.412	364.572				
1729.455	114.252	0.000				
542.774	1290.537	265.236				
1587.261	779.953	181.624				
1740.854	0.000	212.094				
652.014	995.314	283.779				
2079.913	954.730	87.276				
156.689	638.633	207.237				
313.074	1860.811	97.165				
1134.321	2071.752	213.846				
824.001	1574.029	140.147				
0.000	1602.621	91.955				
963.053	1030.516	195.683				
69.613	1347.728	187.462				
811.668	1248.580	245.543				
1116.101	534.726	175.813				
662.176	576.399	269.841				
427.293	1091.416	195.451				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
540.694	1125.756	248.155	24.036	257.284	27922.278	30573.216
501.873	1004.845	190.731	42.198	226.644	18430.833	24878.601
340.040	1061.544	217.662	38.145	143.244	21369.683	27172.432
326.228	1226.155	267.508	32.378	95.559	41487.975	49125.272
451.648	1267.864	234.396	19.008	238.460	23290.112	24633.257
781.193	807.461	247.436	13.659	96.477	78308.855	80588.187
600.905	737.684	266.515	8.865	256.296	36042.522	36478.281
935.888	653.932	211.447	11.822	85.474	69900.531	71415.342
530.903	482.574	252.628	7.721	272.560	37226.402	37567.005
959.835	385.059	189.105	12.861	120.628	111674.163	114547.846
735.137	283.479	211.206	12.120	140.771	134650.443	137720.067
1172.262	705.569	164.660	9.979	87.558	48837.070	49587.273
1422.077	559.643	217.873	26.341	339.280	80686.907	90035.536
1315.595	231.010	99.158	13.351	119.434	153604.931	157871.428
1541.463	353.957	174.714	49.805	202.909	101967.597	157993.586
668.819	1178.144	264.853	7.401	42.724	37400.184	37714.354
858.553	1375.864	180.004	33.115	62.425	20533.649	24515.513
726.148	1371.049	216.975	18.885	21.081	44014.488	46518.513
904.904	1194.692	198.516	33.183	71.922	18260.615	21818.716
808.912	1091.470	241.668	16.073	95.915	36577.768	38065.784
35.806	1099.693	149.564	52.188	271.015	38825.570	63328.900
112.933	1530.490	142.783	21.689	320.069	35646.844	38362.669
241.225	1470.163	192.965	21.057	320.607	38873.042	41654.538
207.002	1311.593	264.845	40.673	335.397	32319.795	42613.313
88.036	778.364	187.992	16.604	268.325	54771.438	57154.718
130.939	1050.591	253.090	66.707	263.682	26418.683	66809.286
881.485	958.833	222.717	15.812	77.157	29137.068	30282.906
1133.577	1070.821	346.493	51.333	210.230	101214.219	161996.938
1121.246	870.832	171.283	10.504	81.104	26786.630	27243.173
994.902	1265.727	477.897	50.173	195.156	16385.370	25583.325
952.772	1217.175	291.232	87.506	265.572	2224.331	51119.161
194.086	1701.518	112.684	20.889	318.560	28723.592	30744.234
1005.798	1690.905	181.893	13.624	200.103	55788.851	57404.071
1027.922	1543.862	344.290	75.304	353.361	26775.483	105545.486
948.551	1446.898	459.385	65.639	279.899	23168.340	56167.781
828.524	1743.854	198.724	20.493	158.829	42680.190	45563.765
635.397	1678.464	226.173	21.949	110.939	28796.989	31047.367
543.168	1563.755	230.708	23.760	130.847	57426.811	62744.946
583.884	1428.735	215.962	18.917	20.844	40815.823	43146.118
906.421	1398.347	272.720	87.149	246.816	2696.218	54206.378
1524.036	1845.521	157.875	18.227	52.294	110452.312	116287.251
1313.463	1761.263	191.817	4.496	188.609	97398.649	97699.254
1109.239	1856.813	206.459	10.216	107.574	36531.254	37119.754
702.986	1899.443	179.970	27.206	330.068	75782.958	85210.213
931.964	1909.761	223.290	5.799	342.348	21996.443	22109.577
334.296	1732.510	185.190	52.944	291.346	15439.696	25621.874
465.088	1774.058	211.846	51.645	358.482	23676.308	38154.461
357.175	735.925	182.042	27.560	346.625	47613.968	53708.651
362.407	503.318	231.760	6.656	271.929	68188.192	68650.870
212.167	405.783	206.210	11.403	255.380	65648.011	66970.049
249.838	910.616	221.590	39.395	112.391	69594.708	90056.963
1866.533	455.875	215.899	61.189	105.666	51867.746	107627.331
1759.952	1113.266	150.700	11.005	92.327	201037.125	204803.393
1839.233	1473.180	115.686	20.919	72.569	128551.455	137622.815
1815.336	715.859	205.743	25.091	3.139	107157.313	118322.839
522.284	854.819	207.556	44.987	289.217	34428.194	48677.448
1523.846	52.768	111.252	61.672	359.579	36288.237	76474.659
1749.714	175.715	186.807	84.998	273.607	4522.870	51868.549
1341.647	987.300	341.807	39.940	183.646	85090.465	110979.492
1422.109	1278.569	359.714	44.475	91.876	223430.044	313119.249
1579.131	641.386	219.810	23.037	313.669	44295.191	48133.756
1290.816	1554.224	358.641	73.730	0.055	32879.031	117358.313
358.230	1586.119	233.636	45.738	263.770	19770.726	28327.293
						
Total plan area (mm^2)	3453303.189					
Total 3D area (mm^2)	4416443.334					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 714.318 (mm)			
