Surface analysis

Generated: Monday 05 July 2021 17:23:20

						
Left filename	Left3_2m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	74.625					
X plane direction (unit vector)	[0.9998, -0.0000, 0.0220]					
Y plane direction (unit vector)	[0.0037, 0.9858, -0.1680]					
Z plane direction (unit vector)	[-0.0216, 0.1680, 0.9855]					
Plane shift (mm)	[-804.9725, -120.3913, -2090.8352]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
400.764	896.160	118.151				
735.511	495.915	304.692				
1093.612	885.095	91.612				
1523.464	452.591	146.746				
1566.273	315.763	142.899				
647.442	268.653	20.621				
957.912	267.337	242.664				
703.975	881.958	227.878				
1390.251	1062.641	106.762				
442.743	1226.656	82.268				
442.222	414.167	124.973				
1187.397	224.588	10.306				
1002.603	1066.928	140.163				
0.000	965.036	117.705				
1143.182	1296.533	179.191				
748.811	105.496	94.135				
358.630	720.654	98.670				
1224.121	0.000	50.786				
988.197	586.227	299.130				
1701.396	877.642	94.627				
1475.109	1280.400	119.018				
1392.240	789.211	0.000				
105.126	1216.897	82.171				
1518.917	660.805	109.390				
1749.681	554.861	109.034				
726.334	1235.876	7.180				
199.658	609.603	69.708				
511.294	95.426	100.875				
590.117	404.486	145.210				
853.483	800.348	85.166				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
978.430	757.223	158.636	40.754	338.878	31416.653	41473.246
859.064	627.497	229.663	41.063	341.696	33135.693	43947.002
764.323	726.074	205.912	48.989	75.399	27571.363	42016.401
983.233	917.457	105.647	13.773	166.488	25688.090	26448.603
853.354	916.411	151.069	40.657	131.323	26012.824	34289.735
561.419	540.352	182.858	42.926	241.126	33566.884	45841.399
463.656	513.103	122.951	8.107	290.283	22259.159	22483.836
657.690	389.685	156.841	49.372	200.649	12495.346	19189.809
559.927	362.435	96.935	45.649	191.417	9766.995	13971.782
635.849	156.525	71.877	24.526	1.135	19886.674	21858.970
533.653	259.415	82.156	28.325	85.652	27680.641	31445.744
828.075	66.974	81.932	13.536	170.809	14921.719	15348.044
384.392	373.065	98.519	20.866	246.596	31908.148	34147.736
186.096	765.098	95.361	10.303	200.309	39337.958	39982.633
333.504	581.475	97.784	11.620	278.486	29002.827	29609.688
957.373	1199.779	108.845	23.529	282.031	43591.638	47544.588
810.971	1061.587	125.074	32.497	351.306	50777.193	60203.703
624.351	1114.830	105.775	33.249	21.944	50080.820	59884.202
1613.139	441.072	132.893	9.011	82.366	17665.497	17886.262
1656.665	697.769	104.350	3.072	26.158	34685.372	34735.294
1597.354	556.086	121.723	11.315	25.062	23783.338	24254.802
1537.518	775.886	68.006	31.236	315.010	25449.843	29764.443
1478.207	634.203	85.379	35.610	283.253	12896.118	15862.305
316.211	1113.238	94.196	6.224	358.194	55585.775	55915.390
168.630	1026.031	106.009	7.623	9.283	54088.828	54571.048
1301.300	609.343	148.625	36.739	35.736	81322.786	101479.455
1158.016	753.511	130.247	35.362	42.105	49679.002	60917.728
1494.629	909.831	67.130	23.618	206.337	42354.181	46226.098
1292.034	912.316	66.125	23.244	154.954	40731.437	44329.716
1522.252	1073.561	106.802	3.331	175.569	41726.839	41797.469
1336.181	1213.191	134.990	12.133	125.408	36824.626	37666.064
1044.502	359.384	184.034	44.979	105.586	37237.566	52642.127
893.873	449.826	282.162	11.607	154.541	38921.864	39734.428
1233.019	421.135	152.061	36.896	172.430	83476.629	104381.861
976.948	124.278	129.195	38.991	186.200	49492.012	63676.456
1123.143	163.975	101.252	48.653	71.708	24984.793	37820.161
1325.930	180.117	67.997	21.629	287.366	44219.688	47569.132
253.131	860.617	111.509	6.169	190.332	36619.266	36832.579
599.372	699.509	210.414	25.560	289.828	69202.488	76709.899
487.790	832.924	148.233	19.991	266.241	26906.815	28631.934
784.722	213.828	119.140	35.572	270.501	25260.917	31056.498
1178.679	1142.034	142.039	13.308	159.273	44804.119	46040.524
1162.155	1004.888	112.846	13.505	159.612	35048.411	36045.121
1425.711	330.981	99.984	18.976	248.152	27872.044	29473.873
515.828	1001.591	142.765	21.133	293.419	50403.097	54037.334
780.289	343.968	189.326	50.395	216.524	35336.931	55431.453
						
Total plan area (mm^2)	1675680.904					
Total 3D area (mm^2)	1935176.576					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 304.692 (mm)			
