Surface analysis

Generated: Monday 05 July 2021 18:09:11

						
Left filename	Left3_5m.jpg					
Left frame number	      0					
Plane definition points	43					
RMS plane fit (mm)	18.978					
X plane direction (unit vector)	[0.9992, -0.0000, 0.0398]					
Y plane direction (unit vector)	[0.0105, 0.9643, -0.2647]					
Z plane direction (unit vector)	[-0.0384, 0.2649, 0.9635]					
Plane shift (mm)	[-661.1839, 43.9425, -1270.9587]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
712.316	301.900	11.762				
655.622	501.770	22.404				
219.929	729.214	54.011				
328.115	222.286	25.076				
928.238	663.224	22.740				
415.458	686.103	44.404				
119.955	349.572	25.792				
473.432	232.931	26.131				
618.015	776.643	51.427				
915.191	479.779	39.441				
822.581	102.031	1.923				
490.161	29.741	24.245				
766.488	799.290	47.949				
264.179	30.493	42.574				
378.159	402.475	40.639				
1030.662	359.926	54.895				
964.452	145.347	31.902				
570.739	587.537	29.212				
226.279	302.540	38.063				
689.947	635.718	36.453				
999.656	874.970	6.723				
672.224	130.848	48.582				
378.068	564.402	30.204				
40.876	528.861	49.401				
0.000	756.758	0.000				
481.773	861.547	66.582				
508.227	395.348	12.478				
675.774	0.000	48.263				
778.416	432.199	41.833				
1076.817	701.602	64.085				
692.341	837.054	56.653				
871.765	854.653	37.760				
551.887	702.701	42.507				
313.244	142.273	56.836				
289.416	494.350	45.849				
554.835	223.073	56.130				
190.694	459.285	58.215				
623.715	216.542	64.660				
837.129	657.091	22.106				
444.459	325.397	55.244				
729.307	203.277	88.749				
679.216	71.255	42.417				
554.371	41.755	38.378				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
593.810	131.892	47.696	5.636	187.334	10663.729	10715.525
533.122	98.190	39.584	12.633	244.245	5818.501	5962.858
635.271	81.286	43.125	5.974	184.218	3823.083	3843.957
636.454	37.670	43.019	5.680	328.247	4397.163	4418.855
573.435	23.832	36.962	17.341	213.255	2069.844	2168.407
724.674	101.378	30.974	16.961	102.996	4379.372	4578.523
725.857	57.762	30.868	15.451	75.520	5054.792	5244.320
741.371	145.385	46.418	35.623	165.678	6267.565	7710.480
675.082	183.556	67.330	23.536	218.471	4202.549	4583.894
688.446	240.573	55.057	37.571	350.048	5094.223	6427.231
838.780	150.218	40.858	39.427	177.251	9202.019	11912.986
802.025	216.841	44.137	44.158	27.829	11103.194	15476.457
502.507	314.606	41.284	24.314	42.086	7122.953	7816.225
490.909	260.467	45.835	31.608	223.380	3620.745	4251.431
443.615	374.407	36.120	24.732	31.127	4776.444	5258.793
383.578	316.719	40.320	13.667	265.508	7901.959	8132.226
