Surface analysis

Generated: Tuesday 06 July 2021 16:19:56

						
Left filename	Left1_2m.jpg					
Left frame number	      0					
Plane definition points	64					
RMS plane fit (mm)	77.579					
X plane direction (unit vector)	[0.9702, -0.0000, 0.2422]					
Y plane direction (unit vector)	[0.0154, 0.9980, -0.0617]					
Z plane direction (unit vector)	[-0.2417, 0.0635, 0.9683]					
Plane shift (mm)	[-1365.6879, -706.3431, -2071.7783]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
359.481	1028.401	106.884				
407.047	774.176	172.408				
15.394	788.349	234.898				
1051.478	274.402	9.771				
1019.308	1071.840	301.577				
0.000	1237.011	189.242				
507.294	287.604	258.448				
722.683	0.000	230.702				
667.852	398.989	168.783				
1247.570	693.965	201.933				
588.797	757.483	76.004				
375.693	1167.568	94.687				
581.571	1403.847	174.120				
725.331	1054.214	205.867				
100.603	498.195	294.384				
302.502	228.467	373.572				
323.862	468.220	286.314				
1067.126	834.353	239.740				
1228.578	981.818	218.709				
813.647	535.111	58.638				
873.413	1417.660	235.928				
1237.344	1368.760	234.665				
117.593	1477.934	119.625				
424.523	1445.229	155.243				
1322.497	886.405	228.408				
1013.738	1479.564	220.879				
527.041	573.707	197.442				
928.926	93.662	174.698				
211.374	753.317	252.840				
153.576	1231.158	149.660				
1016.262	1362.316	218.107				
759.735	1331.379	252.817				
129.416	857.646	260.769				
664.501	613.897	65.917				
1209.156	829.906	207.877				
918.759	1262.757	268.489				
444.953	1298.593	188.826				
664.645	1251.956	212.634				
141.093	1387.511	79.078				
791.708	1207.556	253.467				
1141.505	1171.399	267.773				
728.825	893.977	130.819				
813.024	198.478	158.972				
1131.918	1087.117	274.489				
249.648	1148.606	130.900				
958.654	432.934	0.000				
550.142	1080.292	156.505				
271.335	846.941	258.871				
202.424	589.252	279.540				
799.254	362.768	137.048				
277.910	1009.701	207.712				
318.290	688.481	231.043				
523.395	454.466	217.503				
1140.358	1274.010	229.876				
1255.290	1267.222	226.662				
391.919	568.149	234.450				
668.838	493.761	128.458				
445.991	674.429	225.912				
933.458	1156.726	292.547				
1035.713	1179.543	287.811				
326.752	328.114	310.081				
694.181	275.936	180.165				
241.839	1300.268	68.528				
650.247	121.416	266.774				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
486.681	212.496	299.598	31.489	45.743	21243.913	24912.527
558.477	116.628	290.349	16.633	117.836	17233.686	17986.265
617.241	228.319	235.129	31.885	45.798	14695.290	17306.646
719.151	198.610	201.970	32.160	46.840	10883.311	12855.883
728.651	106.631	218.816	32.241	83.040	12672.916	14983.158
178.836	1306.313	99.089	35.990	47.149	7331.437	9061.010
269.151	1377.670	100.950	21.860	209.511	15271.072	16454.219
370.438	1348.030	137.532	31.341	283.937	14874.858	17416.072
215.021	1226.678	116.363	35.896	52.479	6962.916	8595.316
289.060	1205.481	98.039	25.563	27.884	9632.149	10677.299
354.162	1255.476	117.347	35.735	235.874	13364.523	16464.265
623.109	320.843	202.465	25.094	66.786	11344.890	12527.345
720.429	345.898	161.999	17.873	61.632	7607.853	7993.611
768.820	279.061	158.728	17.825	60.780	9229.001	9694.380
452.480	356.728	262.011	21.607	57.439	15388.915	16552.028
391.336	416.933	271.299	21.728	63.632	13957.928	15025.494
250.406	431.510	296.926	10.247	19.077	15596.629	15849.444
243.285	351.592	326.012	33.121	32.068	13329.782	15915.787
378.849	281.395	314.033	34.003	37.081	9486.453	11443.165
996.160	1136.036	293.978	7.202	8.380	5319.426	5361.723
962.643	1199.675	282.949	12.754	358.939	5588.814	5730.197
1105.859	1208.317	261.820	23.315	30.390	5422.999	5905.211
1064.111	1271.956	245.265	23.979	25.431	10481.874	11472.008
990.245	1268.205	258.136	22.294	16.265	9878.721	10676.796
1062.313	1112.833	287.959	13.831	67.783	5938.868	6116.214
1103.045	1146.020	276.691	11.433	73.444	4497.209	4588.250
881.308	1209.013	271.501	15.909	314.154	7141.380	7425.793
816.832	1139.498	250.627	20.486	243.722	12555.077	13402.730
892.699	1094.260	266.664	20.655	236.121	13233.842	14142.949
454.984	605.428	219.268	15.794	102.303	7030.135	7305.958
385.400	643.686	230.468	4.192	39.301	7165.952	7185.171
390.442	712.362	209.788	30.375	10.187	6095.296	7065.087
520.610	668.540	166.453	42.346	65.159	10557.620	14284.499
480.611	735.363	158.108	44.358	37.943	8739.471	12223.276
620.028	449.072	171.581	33.112	49.875	6872.585	8205.025
711.981	418.506	144.763	28.946	40.306	6244.501	7135.943
760.580	463.880	108.048	29.135	40.344	12180.824	13945.228
573.091	507.311	181.134	30.586	75.222	8599.752	9989.603
620.127	560.455	130.606	44.049	55.397	8344.119	11609.194
715.662	547.590	84.338	32.068	31.795	8788.073	10370.356
413.059	496.945	246.089	24.404	53.259	10437.584	11461.589
480.785	532.107	216.465	17.305	59.085	8045.904	8427.368
306.069	541.873	266.768	23.310	39.643	10186.132	11091.448
304.211	615.294	248.344	17.693	54.197	10624.249	11151.766
1210.997	1303.330	230.401	4.476	162.487	5774.092	5791.760
1179.051	1237.544	241.437	20.467	7.670	5892.755	6289.800
1268.788	1045.148	224.593	6.916	262.125	14676.831	14784.394
1208.458	1140.146	237.715	22.930	99.107	14957.534	16240.831
1131.321	1335.028	227.550	4.593	289.582	10161.239	10193.968
566.180	380.353	214.911	24.889	63.746	12498.773	13778.417
244.029	677.017	254.474	18.138	63.384	9060.745	9534.519
332.224	769.866	220.774	32.850	88.610	9044.133	10765.657
266.999	762.913	247.585	10.420	139.795	6948.737	7065.244
295.680	1062.236	148.499	52.627	54.051	5929.585	9768.728
218.991	1005.318	199.794	28.630	341.534	12461.913	14197.899
302.908	961.681	191.156	50.307	77.203	6576.811	10297.709
226.220	904.763	242.451	17.485	6.740	11584.543	12145.715
936.462	356.701	48.940	38.662	55.838	15891.547	20351.734
887.918	278.549	101.931	30.804	72.321	20110.516	23413.543
857.185	443.604	65.229	38.374	59.844	13230.789	16876.455
208.963	518.556	286.746	6.726	25.331	11690.697	11771.725
106.140	625.265	269.607	11.228	351.384	18651.333	19015.316
143.064	710.306	255.759	10.052	339.575	16233.518	16486.567
345.954	883.173	179.388	43.777	64.071	15520.100	21494.965
204.042	819.301	257.494	4.009	173.347	6964.397	6981.483
456.929	1182.151	146.673	35.133	233.346	14450.900	17670.032
553.247	1210.280	185.988	15.220	214.916	21526.647	22309.167
668.099	1009.494	164.397	30.643	216.529	13990.346	16261.106
622.588	910.584	121.109	16.526	206.604	25239.197	26326.671
428.439	1092.087	119.359	17.625	292.547	12846.220	13478.937
515.329	870.650	134.972	28.656	110.114	29012.646	33062.281
438.890	960.956	145.265	20.407	302.321	25469.443	27175.005
646.706	1128.820	191.669	18.062	247.181	16529.840	17386.609
946.475	600.799	99.459	30.696	181.334	34645.909	40291.135
1091.116	653.751	147.224	30.111	201.316	43830.828	50668.306
1085.900	467.100	70.568	28.519	245.268	35016.182	39851.764
328.274	1114.858	110.824	15.876	78.822	8616.951	8958.672
177.547	1079.137	180.443	26.804	57.717	18939.349	21219.293
1142.540	967.763	244.313	21.885	123.739	15627.346	16840.955
1072.784	997.770	271.935	18.708	127.534	13736.957	14503.251
1167.333	1080.112	253.657	30.575	88.789	4578.116	5317.414
821.544	97.380	188.124	18.208	24.310	16236.643	17092.451
931.143	188.847	114.481	37.063	34.468	16896.829	21174.603
869.866	754.480	143.066	25.267	232.200	58173.550	64327.919
735.658	680.995	85.125	12.756	196.857	23420.272	24012.888
660.707	755.119	90.913	15.690	229.418	15219.566	15808.604
824.488	1006.677	212.754	29.254	212.034	23583.761	27031.301
938.419	933.390	224.045	26.979	228.521	38745.556	43477.004
727.228	1171.242	223.990	21.896	248.270	11215.606	12087.601
738.696	1263.630	239.640	19.873	256.327	7156.854	7610.045
823.400	1267.230	258.258	6.318	258.153	8748.404	8801.858
227.736	1436.892	117.982	27.486	198.897	13492.479	15209.182
98.223	1285.227	139.327	28.719	30.221	11969.496	13648.393
86.229	1367.486	129.315	45.125	101.033	8147.417	11547.453
563.723	1318.132	191.860	12.861	344.319	14747.485	15126.963
668.650	1329.060	213.191	23.544	272.026	10520.651	11475.961
483.682	1382.556	172.730	12.896	344.254	11091.770	11378.786
850.635	1337.265	252.412	11.737	357.524	10760.770	10990.569
936.144	1347.577	240.841	19.934	39.887	9809.016	10434.188
1259.741	803.425	212.739	9.234	239.220	8789.002	8904.381
1174.617	786.075	216.517	12.726	84.959	9568.454	9809.414
1168.286	882.026	222.109	13.637	114.236	10831.251	11145.431
1253.410	899.376	218.331	9.302	251.702	8060.299	8167.695
593.446	648.362	113.121	42.819	66.045	11389.900	15528.178
118.728	799.771	249.502	11.921	215.404	8787.589	8981.294
94.331	1108.605	199.890	21.204	43.779	28751.938	30839.831
48.270	961.002	228.303	16.565	288.028	26112.013	27242.643
