Surface analysis

Generated: Tuesday 06 July 2021 16:32:17

						
Left filename	left2_2m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	70.804					
X plane direction (unit vector)	[0.9989, -0.0000, 0.0470]					
Y plane direction (unit vector)	[-0.0081, 0.9851, 0.1719]					
Z plane direction (unit vector)	[-0.0463, -0.1721, 0.9840]					
Plane shift (mm)	[-817.4479, -812.5650, -1636.6332]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1293.598	33.530	233.746				
136.508	1088.014	221.323				
255.218	764.257	288.079				
849.135	750.583	39.595				
751.451	444.224	117.822				
448.154	188.578	147.399				
490.730	366.726	54.720				
1060.596	680.293	203.326				
1062.122	407.291	100.480				
1402.165	332.275	154.763				
1292.215	846.525	172.761				
1180.759	1082.876	81.717				
972.706	1011.261	96.777				
648.329	1002.574	126.777				
748.673	173.948	148.115				
907.611	318.342	128.722				
1507.875	628.000	52.651				
502.978	826.287	162.681				
167.591	263.801	46.632				
0.000	0.000	105.860				
434.506	656.534	27.615				
641.999	1103.983	61.038				
569.144	50.973	85.677				
1055.423	28.432	18.387				
1171.624	305.537	173.153				
848.704	949.795	0.000				
686.422	592.084	30.217				
437.331	1085.355	146.931				
302.922	373.212	42.270				
873.063	622.790	62.132				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
802.873	655.152	43.982	13.457	305.816	12293.022	12640.047
770.312	553.033	70.057	28.523	332.571	14796.674	16840.713
998.593	570.124	121.979	36.548	239.135	25642.244	31919.015
927.598	684.555	101.684	37.376	272.511	12670.666	15944.573
947.599	449.474	97.111	13.009	13.360	25056.667	25716.692
844.042	461.785	102.892	14.572	26.806	21596.847	22314.694
413.935	309.505	81.463	28.095	354.849	16866.917	19119.924
306.222	275.197	78.767	24.129	324.253	20438.427	22395.229
409.386	465.491	41.535	5.885	321.983	27031.897	27175.135
241.910	467.090	125.660	36.938	139.135	29069.957	36369.702
330.882	598.001	119.321	51.523	112.775	32485.470	52210.872
575.887	1063.971	111.582	37.254	28.136	10436.505	13111.763
529.546	971.405	145.463	9.242	54.546	24614.280	24937.992
398.509	891.966	199.230	26.320	68.938	34129.448	38076.825
276.352	979.209	218.778	21.246	40.002	48538.981	52078.701
642.868	467.678	67.586	29.554	319.294	21794.836	25054.780
537.220	538.448	37.517	5.561	8.450	34691.927	34855.963
541.302	691.635	73.504	36.620	195.122	23588.199	29389.240
679.512	722.985	77.498	24.004	141.071	33591.600	36771.778
821.136	1021.680	52.605	43.070	202.053	15912.401	21782.239
713.011	1018.784	62.605	47.078	49.437	9992.819	14673.660
782.056	900.984	55.458	35.530	73.715	19947.231	24511.010
890.182	903.879	45.457	41.982	282.637	12364.558	16633.393
1211.970	348.368	142.798	35.423	359.781	13193.226	16190.125
1289.129	223.781	187.221	14.093	11.783	32984.968	34008.503
1173.549	122.500	141.762	42.563	258.635	32703.489	44401.528
1044.886	217.437	106.754	27.254	201.822	37323.579	41984.539
1047.119	343.723	134.118	30.108	345.926	12731.145	14716.653
903.902	173.574	98.408	21.142	124.240	33710.522	36143.397
541.523	26.468	69.975	37.387	172.233	18808.039	23671.336
791.080	84.451	84.059	33.957	170.809	31923.331	38486.875
339.100	79.850	112.979	21.465	169.728	42242.138	45390.325
588.657	137.833	127.064	25.243	183.076	19791.361	21880.776
931.821	1066.040	79.844	16.181	354.648	21487.462	22373.813
397.568	749.026	159.458	53.694	144.799	18905.310	31929.115
205.248	150.793	99.964	24.870	326.559	43309.876	47736.700
101.366	450.605	124.605	34.023	106.125	73165.029	88276.947
186.439	705.357	185.345	52.376	258.445	43889.601	71894.649
666.814	859.815	109.685	19.156	102.610	36013.399	38124.365
1326.949	852.467	102.377	65.534	55.631	13307.713	32132.950
1286.895	718.273	142.913	21.505	128.544	43232.157	46466.902
1323.545	546.856	136.913	22.858	59.201	68899.741	74771.703
802.578	312.171	131.553	6.487	10.325	21278.125	21415.254
663.618	328.299	106.886	16.654	292.592	35125.662	36663.636
562.519	243.084	116.745	27.263	2.523	27079.828	30463.916
1148.560	980.221	117.085	20.026	351.829	28577.800	30416.830
1108.505	846.026	157.621	17.284	344.486	45634.398	47792.620
960.812	814.045	113.233	36.609	279.888	31904.538	39745.392
1174.961	473.286	152.856	24.202	212.734	46358.885	50826.251
						
Total plan area (mm^2)	1401132.895					
Total 3D area (mm^2)	1642429.039					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 288.079 (mm)			
