Surface analysis

Generated: Tuesday 06 July 2021 16:55:52

						
Left filename	Left1_2m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	84.151					
X plane direction (unit vector)	[0.9964, 0.0000, -0.0842]					
Y plane direction (unit vector)	[0.0101, 0.9927, 0.1201]					
Z plane direction (unit vector)	[0.0836, -0.1205, 0.9892]					
Plane shift (mm)	[-776.6796, -930.9677, -2171.6544]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
748.228	946.018	384.103				
992.387	872.750	317.294				
166.084	924.270	400.932				
1143.292	1411.738	337.647				
1131.511	83.504	313.635				
892.719	693.484	353.704				
1172.595	1226.359	318.340				
1687.380	1033.037	298.774				
1787.538	1497.955	391.267				
1467.564	767.834	254.674				
652.363	1273.984	294.217				
178.395	1131.973	304.816				
0.000	319.492	320.074				
318.844	836.129	339.050				
902.835	371.158	365.718				
1613.860	1274.905	303.480				
553.654	0.000	455.256				
1465.221	650.623	349.873				
2153.688	160.227	418.000				
2046.966	645.945	267.486				
1874.712	880.871	345.023				
435.647	970.215	526.994				
522.915	210.258	266.619				
1260.757	1013.258	324.157				
1763.547	251.735	294.996				
1114.931	543.316	349.476				
1311.966	1384.561	278.153				
504.648	471.346	0.000				
1009.969	1189.345	337.708				
1368.668	481.580	345.432				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
1421.242	272.273	318.021	7.439	152.489	105850.581	106749.174
1532.479	461.313	330.101	6.421	131.429	44472.002	44752.753
1205.037	369.466	336.181	4.467	182.243	57823.804	57999.961
1316.273	558.506	348.261	1.842	164.902	24426.654	24439.288
916.861	1002.704	346.368	14.687	107.398	39293.851	40621.137
803.520	1136.449	338.676	14.757	346.617	54584.308	56446.112
935.208	1291.689	323.191	7.083	301.050	45406.757	45755.913
1108.619	1275.814	331.232	9.122	120.859	15616.055	15816.095
1147.774	1142.987	326.735	7.106	55.850	18959.495	19106.251
1087.704	1025.117	326.386	3.747	172.604	41247.184	41335.548
715.198	703.616	245.936	38.585	232.699	65048.998	83216.783
766.734	511.996	239.807	42.501	270.532	63666.216	86354.209
643.466	350.921	210.779	49.820	325.344	51065.714	79147.708
419.713	759.230	288.681	49.126	197.220	33760.638	51590.217
562.841	795.860	303.699	47.022	159.296	77133.807	113146.847
342.521	333.699	195.564	47.508	17.059	67265.629	99580.993
274.498	542.322	219.708	43.563	123.564	106151.138	146491.822
1414.265	1431.418	335.689	55.998	175.568	16025.772	28657.509
1571.121	1385.807	324.300	17.278	214.648	43191.259	45232.291
1209.284	1340.886	311.380	19.202	98.198	15236.136	16133.737
1395.528	1224.241	301.930	7.644	343.982	58854.732	59382.492
1248.439	1208.059	306.883	11.395	60.334	21823.779	22262.571
970.162	535.986	356.299	3.404	49.420	35052.855	35114.806
1049.759	332.659	342.943	8.770	118.263	50189.353	50783.030
1000.012	703.183	340.158	10.218	39.068	27401.050	27842.613
1349.239	653.924	318.008	40.532	342.895	20403.293	26844.928
1281.084	774.803	309.436	16.415	97.180	66488.154	69313.238
1122.692	809.774	330.309	5.587	318.974	52814.347	53066.459
1988.067	352.636	326.827	19.811	314.764	89866.244	95519.696
1758.578	516.101	304.118	8.245	102.697	115327.670	116532.239
1682.915	165.155	342.210	35.203	347.410	61735.189	75552.990
1471.900	938.043	292.535	13.217	162.687	54396.989	55877.103
1520.666	1107.067	308.804	3.409	91.303	52320.234	52413.003
659.802	193.805	362.531	45.263	323.279	42413.576	60259.172
358.856	176.583	347.316	44.629	17.617	53294.848	74887.281
422.135	1125.391	375.342	44.714	344.560	56600.324	79648.430
306.858	910.205	422.325	50.151	192.956	15389.064	24016.749
260.042	1008.819	410.914	36.569	311.906	27711.601	34504.247
612.079	1063.406	401.771	32.744	49.559	50098.192	59562.708
1676.552	893.914	299.490	12.921	275.733	41564.880	42644.682
1795.633	725.813	320.794	14.952	148.436	67930.536	70311.267
1602.499	766.443	316.524	43.118	331.284	23728.786	32507.279
1783.210	1137.288	345.021	20.260	250.362	51167.363	54541.816
1903.072	1008.257	334.592	23.325	91.868	42907.914	46726.808
862.667	151.554	378.203	13.691	87.094	92659.035	95368.845
1696.259	1268.632	331.174	20.169	250.187	29202.983	31110.609
161.643	693.297	353.352	19.460	126.756	53512.486	56754.750
114.826	791.912	341.940	70.601	282.754	13525.377	40721.164
877.778	837.417	351.700	16.175	81.338	25535.948	26588.394
						
Total plan area (mm^2)	2380142.799					
Total 3D area (mm^2)	2773233.719					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 526.994 (mm)			
