Surface analysis

Generated: Tuesday 06 July 2021 18:06:48

						
Left filename	Left2+2m.jpg					
Left frame number	      0					
Plane definition points	128					
RMS plane fit (mm)	41.703					
X plane direction (unit vector)	[0.9930, -0.0000, 0.1178]					
Y plane direction (unit vector)	[0.0032, 0.9996, -0.0273]					
Z plane direction (unit vector)	[-0.1177, 0.0275, 0.9927]					
Plane shift (mm)	[-1365.5418, -780.1992, -2029.8057]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
938.556	736.606	160.295				
1245.607	1243.386	180.692				
1983.659	173.760	72.809				
138.725	1672.289	176.686				
0.000	0.000	80.273				
2044.740	1578.124	234.770				
1789.061	1007.799	77.541				
1452.967	608.084	156.954				
1456.690	1310.184	136.443				
708.692	1011.518	136.399				
871.140	1398.594	189.320				
88.785	1103.309	138.619				
233.127	1531.345	0.000				
340.403	648.346	196.567				
1197.859	1592.603	178.853				
1306.039	983.308	155.844				
1173.173	278.375	192.057				
1566.654	1087.886	102.337				
1832.859	1615.957	111.138				
1939.124	621.056	54.356				
2138.381	1083.452	109.466				
917.004	1112.332	202.771				
306.597	1160.704	89.907				
488.590	1637.860	84.072				
508.906	428.855	118.900				
1596.661	1576.222	113.921				
1367.594	399.229	122.447				
767.384	308.167	112.088				
1634.195	428.477	140.407				
1077.690	886.905	135.487				
1075.549	1223.559	240.398				
1690.413	565.394	107.337				
1866.398	1171.806	115.628				
793.133	854.594	161.186				
1043.622	1551.585	189.752				
1078.205	1326.644	230.865				
628.947	1391.431	104.089				
1429.089	1495.857	141.938				
1114.120	628.706	136.244				
1494.270	750.504	119.690				
416.366	386.691	143.351				
385.847	1470.310	89.568				
1523.429	1458.310	131.230				
857.750	943.607	190.496				
1315.895	1396.153	161.205				
633.213	1546.925	101.832				
474.959	266.374	126.730				
411.670	139.738	141.807				
320.708	509.698	148.313				
986.346	1245.686	231.073				
645.440	1266.450	111.415				
49.743	759.314	78.052				
843.824	747.525	178.920				
209.348	1237.092	104.298				
1333.086	1166.798	141.974				
1371.465	1263.404	145.927				
949.756	1579.676	174.061				
679.874	1121.127	129.525				
206.399	447.517	148.158				
1441.818	923.263	124.469				
1528.077	518.271	186.674				
221.381	190.353	149.064				
70.201	1018.422	105.284				
954.533	1437.715	208.592				
433.644	960.136	149.213				
960.309	955.978	206.364				
1215.982	1423.597	176.771				
1062.709	1443.846	211.684				
540.561	687.810	143.131				
695.559	903.932	143.262				
82.374	890.771	119.617				
199.993	997.114	113.928				
1828.474	889.251	92.446				
586.777	1120.063	143.476				
186.538	594.514	145.519				
643.750	783.125	191.454				
139.144	1512.172	52.679				
297.563	749.389	142.449				
865.905	302.182	164.158				
765.770	232.003	167.703				
1300.186	1624.416	166.870				
1890.792	1073.475	100.332				
171.316	906.488	117.864				
2030.072	756.073	94.232				
1848.041	746.987	78.657				
1432.157	256.820	130.714				
1125.418	530.377	138.832				
1694.616	340.732	116.910				
622.664	1639.580	101.394				
1003.441	625.366	172.170				
385.501	829.321	143.280				
182.177	739.488	136.906				
1040.263	1052.188	220.685				
1246.504	490.750	145.875				
1638.593	246.205	120.109				
164.445	1095.997	106.725				
859.453	559.997	117.942				
1553.339	420.184	122.164				
