Surface analysis

Generated: Tuesday 06 July 2021 18:18:21

						
Left filename	Left2_5m.jpg					
Left frame number	      0					
Plane definition points	93					
RMS plane fit (mm)	173.019					
X plane direction (unit vector)	[0.9967, -0.0000, 0.0814]					
Y plane direction (unit vector)	[-0.0117, 0.9897, 0.1426]					
Z plane direction (unit vector)	[-0.0806, -0.1431, 0.9864]					
Plane shift (mm)	[-1364.3043, -1307.4387, -2731.2232]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1248.480	1062.929	423.477				
51.912	1987.377	90.700				
371.011	460.215	567.369				
660.426	1413.439	1175.317				
2224.036	1850.092	434.775				
2499.485	0.000	444.062				
616.063	1926.591	0.000				
1137.985	1793.952	250.021				
1635.401	1638.591	406.843				
573.274	264.125	301.121				
1383.105	706.371	250.872				
1978.629	506.650	151.260				
2432.906	196.358	317.132				
2479.233	774.034	221.505				
1269.558	1619.615	368.297				
831.255	849.494	232.818				
1276.455	57.918	161.131				
116.593	1164.275	229.089				
937.675	1418.318	365.391				
1807.699	1871.604	430.426				
571.580	864.916	507.226				
1609.550	1174.934	756.991				
1642.164	1391.631	550.858				
2022.194	928.819	254.359				
661.565	1242.748	410.885				
879.269	1866.901	199.339				
0.000	815.060	430.127				
385.756	1433.261	986.106				
1533.501	1923.506	371.278				
1518.004	299.056	41.384				
2266.213	291.549	315.924				
217.251	1945.759	104.174				
1619.980	1859.050	448.714				
994.193	1847.420	225.409				
1594.848	1256.570	447.239				
1901.024	1611.655	509.252				
1041.153	1412.371	415.896				
865.107	671.905	173.414				
79.561	1680.067	185.355				
1439.770	1231.093	443.040				
324.036	697.937	427.312				
2015.013	1731.402	503.460				
204.053	1312.519	280.799				
1055.491	1562.319	305.686				
699.530	1540.519	225.050				
310.718	574.320	452.476				
190.843	1485.348	209.918				
1758.750	1592.056	496.023				
1234.077	1174.358	444.115				
1902.686	1438.697	498.343				
2403.358	997.593	306.568				
1799.792	1388.353	489.728				
178.295	751.601	400.800				
561.461	1033.876	410.943				
38.831	1123.627	312.685				
1305.731	1306.441	441.260				
1339.737	1432.677	418.451				
905.361	1297.288	363.203				
1417.207	1037.488	351.294				
1441.187	1759.663	324.462				
172.212	645.822	440.891				
402.321	1668.197	143.156				
488.770	1529.914	184.454				
829.946	1185.892	373.415				
707.655	1422.906	272.471				
2033.933	1347.550	472.050				
622.438	1135.014	386.287				
996.159	1139.810	402.651				
1962.323	1153.873	375.356				
796.044	287.797	262.167				
248.389	1055.639	347.376				
1031.514	1738.153	223.556				
120.174	1276.299	374.726				
753.506	1008.958	421.691				
356.053	985.441	353.785				
364.092	1221.421	279.204				
978.819	976.166	393.926				
224.303	866.463	420.228				
1154.743	1324.696	427.107				
350.223	858.612	400.318				
521.098	1350.743	714.308				
623.881	734.393	441.348				
1206.713	1960.357	188.626				
703.534	1652.589	186.652				
1843.070	896.595	297.541				
352.352	1103.109	332.105				
2130.081	399.613	225.413				
1848.860	276.889	168.351				
1357.571	1929.886	260.763				
910.617	1712.824	208.558				
626.858	470.639	295.704				
1656.122	37.953	146.202				
1974.815	42.389	301.577				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
2043.474	26.781	297.280	66.730	191.304	7918.376	20043.456
1984.585	239.631	231.781	27.532	315.523	40701.867	45900.110
2123.703	244.517	280.971	27.681	315.377	32704.115	36930.851
1826.599	119.077	205.377	30.034	301.722	37646.128	43484.868
2224.645	176.766	311.544	2.177	219.260	34635.946	34660.973
2302.402	79.583	354.257	31.506	338.412	50100.499	58763.109
1483.527	131.642	116.239	23.689	8.145	48187.170	52621.227
1674.329	204.633	118.646	22.944	299.078	41662.912	45242.282
436.196	501.724	438.516	61.366	33.065	14910.937	31115.694
520.486	593.117	396.509	32.338	150.062	41537.237	49162.059
523.714	398.326	388.065	47.760	103.225	26138.584	38882.930
665.392	340.854	286.331	10.096	96.347	22368.254	22720.036
705.282	625.646	303.489	48.016	119.148	31719.170	47418.227
762.669	476.780	243.761	22.254	66.430	38806.532	41929.827
849.274	1557.221	266.333	31.036	326.549	33414.199	38997.013
967.927	1564.487	293.212	28.214	346.024	19296.923	21898.718
928.026	1809.048	211.102	12.674	273.612	8548.266	8761.757
978.775	1766.132	219.174	7.144	243.786	7077.748	7133.131
831.140	1744.105	198.183	6.944	287.275	16897.438	17022.315
999.207	1671.098	245.933	26.011	333.759	10932.603	12164.723
771.227	1635.311	206.753	22.145	329.329	11483.211	12397.777
1234.090	1894.732	233.137	32.700	324.526	13598.981	16160.233
1312.248	1827.833	278.415	18.988	321.298	24372.285	25774.703
1365.928	1937.916	273.556	48.259	216.141	2199.215	3303.312
1444.086	1871.018	318.834	32.183	276.096	14706.828	17376.671
1985.857	394.384	181.675	21.831	308.763	24343.787	26224.416
1781.831	360.865	120.332	24.717	307.547	39447.044	43425.570
2291.842	488.399	254.281	27.612	313.836	44350.723	50051.372
2195.981	560.099	199.393	22.030	314.081	47039.401	50744.381
423.289	1040.808	365.611	19.990	298.613	12174.542	12955.040
446.294	1153.181	332.532	28.265	331.514	15789.969	17927.573
512.084	1090.666	376.445	24.888	327.831	12685.305	13983.945
321.611	1126.723	319.562	24.562	352.458	5871.409	6455.547
318.931	1048.063	344.422	11.101	18.382	6204.401	6322.700
1547.794	880.152	299.903	17.060	175.322	72907.567	76263.416
1623.276	1036.339	468.609	65.711	195.206	42816.404	104090.701
1947.964	777.355	234.387	21.771	133.354	37108.395	39958.448
1734.935	703.205	233.225	19.894	172.548	102573.948	109083.541
1942.529	993.096	309.086	29.034	144.496	21120.910	24156.587
1804.981	1075.134	476.630	52.377	127.079	46636.116	76394.594
573.973	1749.125	109.936	33.235	350.252	40583.867	48520.250
732.955	1815.360	128.664	38.808	306.088	33448.939	42924.407
531.542	1616.900	171.421	14.211	328.254	20151.597	20787.737
630.611	1574.341	198.719	22.215	329.018	11788.682	12733.933
1112.964	1867.243	221.352	20.919	355.581	13801.307	14775.231
1026.725	1891.560	204.458	30.336	347.152	8559.632	9917.598
900.681	1917.950	129.322	57.921	345.201	22071.680	41559.649
419.545	668.883	440.379	12.596	341.066	18290.253	18741.349
773.414	751.931	282.527	47.334	96.837	20361.930	30044.563
675.572	816.268	393.797	46.535	94.526	16543.582	24049.135
506.499	765.749	458.629	26.535	178.407	20521.732	22938.059
556.764	1431.365	691.360	78.266	296.964	13495.217	66358.991
465.208	1437.973	628.290	80.013	48.944	10790.816	62224.038
601.700	1242.835	503.827	60.138	117.038	9679.316	19439.881
502.543	1235.726	459.933	66.600	208.287	23488.081	59143.072
423.649	1335.142	659.873	73.306	180.426	15229.235	53016.510
614.363	1335.643	766.837	77.910	196.036	11926.715	56945.720
299.520	807.671	415.953	12.317	49.846	10218.930	10459.705
310.193	903.505	391.444	21.873	26.714	8008.101	8629.322
425.952	902.990	420.443	32.178	308.259	14018.860	16563.010
415.280	807.155	444.952	28.773	296.832	17700.632	20193.981
1183.323	1439.897	383.748	25.269	334.639	27338.075	30230.630
1083.795	1433.129	382.897	39.324	32.190	9144.789	11821.410
1266.737	1354.605	428.940	11.928	340.757	9840.489	10057.643
1231.517	1268.498	437.494	6.235	308.494	10625.482	10688.710
1018.754	1253.931	397.654	15.845	289.904	20880.414	21705.144
1033.752	1344.785	402.069	16.515	232.942	12488.954	13026.347
1128.326	1212.954	424.624	10.105	276.332	19254.518	19557.909
170.508	1015.243	360.096	21.406	354.292	20640.447	22169.726
87.711	935.050	387.680	21.243	353.446	33608.090	36058.050
276.248	969.181	373.796	21.970	26.005	11029.210	11892.902
242.211	772.000	416.113	12.885	248.482	9604.493	9852.579
134.199	811.041	417.052	12.683	156.072	11699.469	11992.067
1074.486	1059.635	406.684	5.993	245.714	21311.956	21429.080
1075.677	784.814	272.737	34.751	188.613	76843.847	93524.867
1203.468	915.155	356.091	25.190	174.979	53915.156	59581.158
891.727	832.522	266.719	39.829	236.006	15246.850	19853.783
854.090	1057.005	396.344	14.428	36.574	21186.009	21875.964
934.975	1100.623	389.997	10.663	259.692	13999.401	14245.364
854.527	944.873	349.478	50.460	182.503	16689.789	26216.479
317.967	1322.401	515.370	74.576	209.513	17938.150	67448.945
243.025	1147.112	285.223	36.798	331.706	17209.443	21491.675
228.246	1232.738	263.031	16.737	207.999	15846.245	16547.273
496.365	961.411	423.985	34.237	323.280	17597.785	21286.224
645.802	1059.283	406.307	14.487	354.989	10471.310	10815.200
735.297	1109.955	393.798	15.390	358.867	16413.071	17023.494
718.780	907.789	387.245	50.832	124.154	20104.878	31831.825
628.849	969.250	446.620	29.736	1.817	16097.855	18539.156
79.522	1359.997	290.922	54.863	283.429	19522.049	33920.154
130.193	1480.571	256.666	42.234	53.323	18511.969	25002.346
91.866	1188.067	305.500	65.960	127.254	4282.772	10513.250
146.940	1251.031	294.871	65.332	128.470	4633.369	11101.593
171.690	1358.055	288.481	45.876	62.262	7487.580	10754.664
1074.997	1698.141	259.754	31.499	311.285	10029.574	11762.791
1054.564	1793.175	232.995	12.456	246.976	6858.177	7023.500
134.604	1114.514	296.383	56.253	11.936	6902.423	12424.943
1014.752	555.358	228.818	17.216	327.409	98293.426	102904.193
1151.868	350.695	224.723	11.789	140.207	168020.682	171641.076
881.924	203.280	241.473	10.823	108.486	31291.343	31858.003
1932.016	1296.592	445.711	26.353	181.250	24134.844	26933.825
2133.205	1166.338	384.658	26.232	182.153	48304.684	53850.641
2129.292	1026.761	312.095	28.772	183.982	44950.096	51280.951
1790.555	1239.053	540.692	48.534	76.019	39647.615	59875.200
910.489	1207.663	379.756	12.300	324.472	10995.419	11253.740
1159.572	1125.699	423.414	14.037	215.354	13504.281	13919.957
704.650	1187.885	390.196	16.926	154.805	10182.495	10643.568
1945.881	1465.967	493.215	9.603	111.336	11274.359	11434.574
1983.323	1563.535	494.921	8.549	120.113	23010.240	23268.782
2090.994	1643.015	470.095	20.325	99.926	41239.688	43977.771
1912.137	1391.533	486.707	13.622	172.010	7992.984	8224.316
2220.442	1398.412	404.464	21.201	100.418	126089.708	135243.239
758.194	1320.981	348.853	37.317	1.890	20703.975	26033.289
676.549	1359.698	619.558	87.201	102.265	4036.166	82654.948
850.230	1379.504	333.688	22.391	282.520	13993.750	15134.792
781.620	1460.581	287.637	28.647	313.467	13508.084	15392.201
689.204	1458.955	557.612	86.964	84.826	2815.851	53159.937
798.957	1241.976	382.501	11.960	103.100	11522.446	11778.134
425.616	1543.791	437.906	80.118	55.460	11300.222	65842.423
616.242	1494.624	528.274	82.579	355.684	13184.466	102075.358
326.307	1528.935	446.393	78.277	321.993	23327.379	114815.217
224.242	1611.204	179.476	13.898	33.980	30763.369	31691.082
233.045	1764.674	144.228	15.204	30.841	43694.539	45279.412
411.878	1846.849	82.443	23.120	40.422	53573.743	58252.151
284.647	560.119	486.912	55.470	24.373	5746.621	10137.944
224.847	698.453	423.001	20.989	353.793	7871.367	8430.755
268.989	639.360	440.226	11.442	5.761	9037.034	9220.266
116.836	737.495	423.939	24.989	39.012	9622.955	10616.763
1350.160	1603.985	370.403	15.651	5.720	20956.189	21763.152
1472.108	1610.310	383.252	22.133	329.688	37894.088	40908.669
1565.523	1752.435	393.339	31.467	247.965	20474.693	24004.910
1531.556	1847.406	381.484	38.508	281.166	10059.589	12855.294
1282.910	1724.410	314.260	29.677	341.105	24173.848	27823.520
1299.921	1091.592	406.295	23.210	107.999	9217.331	10029.035
1363.685	1147.646	412.816	27.020	164.014	19271.457	21632.786
1488.842	1147.838	517.108	62.819	262.660	17068.673	37365.993
1349.598	935.596	341.881	26.952	132.273	28367.998	31824.520
961.396	1375.993	381.497	26.301	282.924	6358.028	7092.208
1539.101	1487.633	458.717	34.096	327.873	37204.773	44928.080
1473.890	1351.801	470.783	24.848	257.255	28429.329	31329.719
1361.746	1323.404	434.250	10.062	25.601	9741.461	9893.639
1221.595	1538.204	364.145	19.850	293.512	22019.114	23409.983
1326.526	1237.297	442.805	1.266	357.752	11551.593	11554.414
56.768	1597.024	196.246	28.925	298.579	13950.815	15939.200
1668.063	1273.286	564.653	76.354	324.832	9334.100	39563.257
1678.934	1345.518	495.942	44.114	157.619	10722.306	14934.608
1820.409	1473.035	494.698	4.352	235.151	11513.034	11546.323
1733.569	1457.347	512.203	21.389	83.045	15987.320	17169.925
2368.876	1207.240	320.949	60.908	82.818	12297.262	25291.837
2301.595	900.148	260.811	22.169	189.091	45215.474	48824.929
1854.154	1547.469	501.206	6.032	232.808	12319.987	12388.585
1678.772	1540.759	484.575	37.348	318.240	15073.751	18961.423
1822.491	1691.771	478.567	16.035	333.465	19406.543	20192.187
1733.950	1700.750	444.431	34.406	299.656	18379.935	22277.151
260.217	1410.376	492.275	75.810	271.564	16499.213	67305.636
1011.440	1464.336	362.324	41.827	330.301	7800.725	10468.502
1154.345	1658.628	308.002	28.732	313.993	22429.184	25578.534
1907.912	1738.220	481.046	16.898	320.210	20403.364	21324.109
2015.583	1817.699	456.220	28.704	1.866	26955.792	30732.462
1558.927	1293.098	480.379	39.035	172.559	9869.841	12706.480
1548.056	1220.866	549.090	75.009	350.261	6517.207	25195.217
116.241	1871.068	126.743	17.102	359.244	24829.848	25978.511
1653.727	1884.720	416.806	50.717	0.734	6592.598	10412.426
1687.694	1789.748	428.661	12.007	148.978	20789.028	21254.000
295.075	1953.242	64.958	59.787	11.491	6714.350	13342.679
2392.784	420.647	284.854	10.173	27.718	50352.322	51156.509
1392.522	354.448	151.129	38.757	109.134	65457.779	83940.648
1626.580	504.025	147.839	27.307	180.651	107811.928	121333.125
2160.019	736.501	209.041	13.678	182.463	99845.536	102759.588
2470.541	323.464	327.566	49.613	282.654	23778.610	36698.204
						
Total plan area (mm^2)	4125838.378					
Total 3D area (mm^2)	5541653.304					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 1175.317 (mm)			
