Surface analysis

Generated: Tuesday 06 July 2021 18:45:18

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	164					
RMS plane fit (mm)	175.950					
X plane direction (unit vector)	[0.9883, 0.0000, -0.1525]					
Y plane direction (unit vector)	[-0.0267, 0.9846, -0.1728]					
Z plane direction (unit vector)	[0.1501, 0.1748, 0.9731]					
Plane shift (mm)	[-1043.2594, -520.2734, -2972.9172]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
2102.739	352.311	401.523				
1958.257	38.934	455.733				
378.960	2030.109	551.507				
536.020	34.239	78.845				
707.609	1304.508	229.210				
553.335	1847.633	261.602				
1445.758	1995.028	454.857				
2338.875	1492.439	435.329				
1306.990	1468.844	272.503				
2485.832	2194.229	416.451				
2005.151	2217.555	244.564				
1110.178	2128.042	400.422				
1866.483	909.595	676.173				
1183.489	408.341	339.359				
1252.058	779.250	0.000				
1359.056	852.531	285.520				
1475.344	672.481	47.315				
1723.516	680.140	576.159				
0.000	1333.108	353.696				
278.936	923.053	745.194				
488.928	940.054	640.402				
429.248	495.804	322.787				
921.006	1107.667	227.462				
2508.497	0.000	72.707				
2052.255	674.651	652.276				
2010.870	1789.352	369.333				
1067.950	73.412	255.081				
893.100	1500.331	236.338				
1395.340	1744.481	274.569				
1440.396	1172.626	433.070				
580.360	2082.684	463.396				
887.294	1996.405	559.115				
1254.655	2083.986	459.121				
1026.791	1274.333	284.695				
402.263	682.668	716.999				
580.146	2081.697	245.596				
1805.926	2111.361	280.261				
378.145	1906.605	442.798				
837.857	92.791	303.641				
567.682	426.929	265.420				
1094.835	1957.843	327.746				
1063.977	1544.232	262.461				
1181.701	1586.523	309.949				
1583.996	1649.001	343.283				
1234.517	1873.036	349.771				
569.041	1142.255	459.720				
1053.604	1415.535	260.049				
1968.889	1431.996	543.123				
893.488	1811.762	265.662				
1926.248	1223.368	307.029				
218.351	1686.114	454.085				
1653.741	1811.220	335.486				
1618.104	240.184	417.142				
2094.373	957.709	794.286				
1848.106	1844.859	198.982				
1038.720	1697.710	328.410				
506.583	1649.313	393.319				
624.664	1694.659	285.857				
1639.534	2214.918	284.908				
903.605	1638.015	322.908				
1585.957	1423.303	372.371				
193.782	1563.522	416.197				
1900.576	1613.679	428.861				
901.690	384.970	303.547				
747.392	1597.504	330.958				
320.829	1753.241	475.331				
1335.764	1638.246	187.127				
2215.205	1865.781	312.409				
2083.424	1451.585	637.989				
1245.407	619.380	275.892				
1720.266	1508.427	373.132				
624.405	1502.940	301.819				
1878.350	1475.085	413.011				
1841.541	1969.597	264.159				
1800.447	1186.152	221.629				
448.631	1771.327	398.370				
1805.657	784.942	633.686				
399.800	1362.226	533.340				
314.892	1339.048	625.704				
774.640	1416.413	289.759				
2459.778	1939.699	372.413				
2310.054	515.796	383.112				
1387.723	403.647	476.339				
1810.476	941.610	457.846				
1795.512	315.494	524.751				
771.485	1804.604	246.034				
410.782	1218.695	574.040				
960.227	630.452	8.296				
462.231	360.034	369.426				
406.752	1603.423	470.309				
1319.516	1277.017	255.256				
2071.820	1080.723	754.649				
878.043	1223.701	266.875				
1476.793	1067.661	366.907				
2084.812	1215.139	692.662				
764.260	1953.951	212.336				
480.310	1083.074	563.803				
227.888	1303.977	673.839				
2432.139	1683.697	330.769				
2006.809	2009.087	261.271				
1641.717	1143.583	242.046				
1618.683	117.466	358.976				
525.723	619.632	644.551				
1181.043	1206.721	167.546				
756.937	2117.416	315.609				
1354.445	1036.097	357.718				
1245.464	1048.212	260.256				
598.334	868.509	551.214				
281.235	1063.301	720.339				
679.525	992.348	507.132				
1446.985	1356.814	266.412				
2070.565	873.923	663.878				
728.340	596.759	514.617				
571.876	994.507	509.229				
1558.552	896.895	367.507				
973.138	957.104	11.011				
483.025	714.356	677.440				
1566.247	379.937	524.881				
1958.989	799.116	619.994				
818.171	897.568	76.296				
392.963	1104.181	610.887				
1627.086	483.085	540.655				
704.920	203.624	302.682				
570.082	749.737	615.098				
1931.734	671.831	595.249				
392.476	855.335	689.480				
722.050	699.553	548.735				
1511.348	1775.691	372.286				
710.425	802.692	448.198				
1124.013	642.723	148.586				
1057.696	1139.630	51.129				
2224.298	2136.606	275.556				
1768.274	151.026	505.948				
1983.767	1283.236	623.910				
1632.124	1308.285	270.837				
1583.411	795.300	97.540				
1793.839	514.244	619.711				
1349.049	514.110	425.165				
1472.004	1530.043	162.408				
840.474	501.923	232.381				
1086.763	475.772	94.335				
526.642	1294.388	445.918				
1058.354	196.878	250.553				
687.973	424.894	298.543				
956.411	1889.171	448.808				
1232.723	930.059	230.277				
622.595	652.631	575.273				
290.588	1174.714	675.489				
1278.827	290.050	390.673				
1161.086	284.268	361.706				
778.336	303.301	300.959				
1752.371	1317.031	316.162				
577.705	308.608	311.065				
935.545	260.894	338.814				
367.044	973.878	681.726				
1418.253	177.432	435.266				
2138.541	503.557	428.169				
1910.260	1030.842	697.711				
1297.692	168.592	445.125				
517.002	1528.379	397.841				
517.517	197.580	213.146				
1197.958	155.925	373.221				
1103.300	979.656	110.745				
704.139	76.513	266.539				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
642.192	159.239	260.789	28.666	239.014	11908.077	13571.548
585.892	102.777	186.177	51.957	223.798	14121.411	22914.853
748.972	124.309	290.954	20.452	220.670	8492.132	9063.417
869.982	80.906	275.087	67.140	179.728	3168.318	8155.818
769.370	61.388	200.155	77.239	180.080	7950.594	35994.905
1135.487	1055.833	140.710	47.320	273.387	12934.473	19080.241
1044.711	1025.463	57.628	38.842	280.517	10925.453	14027.164
1066.817	859.828	90.114	37.957	274.744	22161.470	28106.951
1159.790	800.543	86.444	44.763	79.992	22985.259	32372.175
1193.829	985.976	200.426	44.753	261.414	7961.843	11211.487
1196.027	896.322	113.674	66.929	222.520	9279.571	23679.804
1212.624	243.414	375.200	13.910	274.348	7662.216	7893.711
1258.159	204.856	403.007	39.730	293.382	6176.242	8030.822
1139.133	212.357	328.493	43.460	259.192	8203.566	11301.876
1187.867	132.643	357.809	37.553	241.244	3291.299	4151.534
1108.088	142.072	292.951	41.630	267.914	8421.609	11267.088
600.047	236.604	275.631	38.016	215.804	10221.611	12974.262
519.151	288.740	297.879	43.092	174.434	7958.039	10897.587
505.256	197.284	220.472	44.194	140.711	3012.271	4201.284
441.185	1498.010	467.163	40.461	73.817	13556.813	17818.086
476.779	1593.705	420.490	36.209	82.159	6275.593	7777.731
549.330	1560.211	364.327	42.894	82.778	6361.869	8683.799
481.148	1394.998	459.033	40.410	73.688	14512.870	19060.276
556.016	1441.902	381.860	44.507	75.585	12443.108	17447.648
1444.876	154.497	413.122	39.162	170.059	4500.796	5804.737
1328.108	119.823	353.060	62.371	181.075	21148.719	45604.663
1331.591	212.025	423.688	24.626	6.055	7404.930	8145.810
1840.394	1052.868	459.062	72.953	284.866	12648.246	43143.929
1878.985	1146.787	408.790	68.264	328.478	11812.500	31896.695
2025.066	954.158	718.625	58.456	219.076	8583.659	16407.637
1949.103	938.120	679.254	10.733	171.670	13153.035	13387.249
1969.443	1111.644	586.463	66.855	334.566	15153.410	38553.054
2025.484	1023.091	748.882	26.212	299.685	10499.470	11702.882
1862.406	960.682	610.577	73.918	287.092	4096.112	14786.681
2040.843	616.680	558.565	57.860	195.949	10431.825	19609.231
2183.778	457.221	404.268	20.324	130.889	12751.266	13597.815
2166.950	564.668	487.852	49.895	163.169	15200.385	23596.123
1954.705	563.211	547.710	32.364	120.565	27897.103	33027.464
2011.706	456.704	483.134	32.039	119.216	26258.677	30976.868
1457.407	320.339	478.829	20.531	233.598	19830.437	21175.455
1534.201	265.851	459.096	35.923	155.709	15591.971	19253.861
1551.680	178.361	403.794	27.919	153.171	12280.909	13898.520
1361.601	290.376	434.093	30.163	244.277	14050.933	16251.358
346.152	917.422	705.466	32.545	72.140	5868.582	6961.834
416.149	923.089	670.536	22.157	68.855	6794.139	7335.877
347.080	1047.120	670.984	42.682	65.927	6749.466	9181.379
309.071	986.744	715.753	32.861	75.018	6120.071	7285.899
413.439	1053.711	618.805	37.353	56.937	5964.370	7503.185
445.427	999.002	628.644	36.949	41.253	8570.196	10723.823
943.919	183.521	297.669	33.867	135.800	13449.120	16197.181
850.579	218.995	314.471	14.780	256.875	15284.984	15808.064
871.857	316.388	314.440	16.437	323.093	9035.042	9420.008
1051.662	247.347	317.024	52.706	178.493	8654.406	14283.309
974.666	373.879	245.566	45.521	59.117	13018.630	18580.874
1061.131	340.311	264.952	52.970	349.715	22464.592	37302.242
535.873	365.190	315.303	39.789	57.672	6573.783	8555.108
611.120	386.810	291.676	24.319	323.435	7106.249	7798.187
681.338	345.601	303.522	4.470	41.609	11957.859	11994.347
686.987	271.844	304.902	3.063	111.297	10193.976	10208.559
1826.355	1242.183	281.607	44.177	205.582	9126.931	12725.906
1656.817	1349.540	319.790	46.388	196.827	7117.184	10318.235
1686.198	1416.254	353.888	17.566	148.500	14219.531	14915.002
1675.404	1256.300	276.348	22.402	241.621	9944.504	10756.273
1731.512	1215.588	259.946	34.254	154.475	11410.420	13804.792
1783.662	1433.514	367.435	25.664	222.821	14593.161	16190.417
1887.462	1274.545	415.700	75.878	207.644	7898.589	32373.996
1866.537	1408.037	424.099	52.674	287.126	9869.213	16276.278
1901.676	1344.088	494.398	53.178	288.153	16959.811	28298.067
773.704	199.905	302.428	0.842	17.670	10693.879	10695.033
768.928	410.039	277.294	21.608	51.073	12751.837	13715.709
840.166	396.731	278.962	28.548	324.650	9713.031	11057.465
1143.779	389.460	265.133	65.674	284.831	6755.911	16400.854
1207.801	327.553	363.913	18.917	311.379	7239.443	7652.787
1283.346	367.346	402.124	34.291	260.822	11855.690	14349.972
321.595	1114.065	668.905	42.617	68.952	6032.813	8197.954
364.778	1165.863	620.139	38.526	75.308	6490.105	8295.959
190.608	1190.374	583.175	44.198	299.163	16928.365	23611.937
172.825	1270.599	567.675	58.891	244.521	13815.425	26739.231
277.789	1272.579	658.344	27.260	62.846	6722.624	7562.525
338.754	1244.152	625.078	38.579	76.345	9341.495	11949.451
690.995	649.648	546.208	27.170	126.698	5259.216	5911.539
572.800	674.000	611.641	35.835	91.567	5569.852	6870.370
638.242	700.640	579.702	22.953	120.005	6060.816	6581.957
639.539	558.773	451.770	53.407	185.730	13467.373	22591.585
572.000	566.397	495.081	64.780	142.596	10026.073	23530.285
1277.544	1004.789	282.751	42.761	260.324	6515.449	8874.267
1315.408	939.562	291.172	38.740	239.216	11416.531	14636.787
1281.279	853.947	171.932	66.275	220.964	8776.583	21813.606
912.397	1899.113	424.528	61.760	209.526	6048.884	12783.922
979.513	1947.806	445.223	47.905	108.559	9795.092	14611.611
962.873	1799.548	347.626	61.758	228.659	9209.375	19462.208
1029.989	1848.242	368.321	44.998	102.030	16077.595	22736.228
752.262	507.859	348.513	62.991	141.817	11550.108	25433.287
661.332	482.861	359.526	50.752	193.968	10377.992	16403.240
988.054	121.027	269.758	12.520	76.079	14111.325	14455.085
619.552	1367.279	325.649	50.135	83.619	18375.879	28668.428
502.155	1218.446	493.226	43.456	69.135	10417.700	14351.297
601.097	1247.050	378.283	51.257	70.406	13980.111	22338.697
445.741	1291.770	517.766	43.358	68.202	8730.371	12007.499
1152.061	579.292	172.938	46.911	265.320	10568.115	15470.084
1171.886	501.164	236.529	64.692	294.194	12294.155	28758.866
942.975	454.222	210.088	49.283	34.727	13601.794	20851.355
962.488	536.049	111.671	52.475	31.406	17393.468	28555.570
1057.001	582.982	83.739	40.604	260.864	13443.585	17706.898
843.013	576.378	251.765	66.109	98.572	12884.672	31814.182
1547.319	1534.116	292.687	60.109	273.751	12754.857	25593.887
1371.586	1545.711	207.346	33.453	50.875	13096.391	15696.752
1401.036	1637.590	208.035	35.696	207.051	10459.846	12879.552
1483.780	1641.175	260.086	47.911	223.914	16567.546	24717.111
1501.649	1436.720	267.064	53.706	304.093	11205.275	18930.093
1408.660	1451.900	233.774	35.378	41.410	13527.048	16590.385
1356.600	601.990	249.457	63.739	15.543	14854.463	33572.929
1454.619	466.947	480.719	26.686	311.152	14756.494	16515.693
1483.826	556.558	337.712	68.189	356.858	23975.581	64530.184
1306.754	442.032	413.621	35.151	289.091	11189.388	13685.006
1259.315	513.943	346.805	46.034	302.512	14195.324	20447.593
1897.363	394.017	515.328	33.385	135.986	30561.414	36600.701
1738.812	437.608	561.706	31.617	218.616	16597.129	19490.089
1714.814	559.156	578.841	26.017	276.711	14927.503	16610.715
1816.363	622.072	597.040	13.606	340.044	16979.152	17469.426
1650.813	877.935	307.631	69.203	177.642	13352.970	37608.426
1733.181	840.617	396.358	69.270	296.885	17434.379	49255.667
1472.603	773.437	143.458	48.019	147.381	16869.912	25221.056
1500.340	848.242	250.189	69.117	176.266	10685.414	29976.269
1704.195	753.461	435.795	69.571	298.828	12071.301	34584.054
1594.090	715.973	240.338	69.312	304.687	14826.243	41967.378
1571.412	1208.165	315.318	43.205	97.374	16439.776	22553.947
1506.502	1279.242	323.440	42.670	13.251	17210.047	23406.463
1555.022	1362.801	303.207	46.049	195.965	9526.940	13726.680
2050.667	1316.654	651.520	29.854	293.421	11898.573	13719.085
2012.027	1388.939	601.674	45.353	296.548	8664.784	12330.159
1998.276	1240.581	541.200	75.323	222.476	4983.138	19667.069
1840.681	168.485	495.477	12.953	128.770	17149.649	17597.445
1781.738	102.475	440.219	58.920	202.654	11572.014	22416.073
1668.354	169.559	427.355	44.923	241.354	9188.560	12977.051
1727.297	235.568	482.614	30.981	268.575	13563.363	15820.357
2299.760	1980.695	320.126	17.955	296.738	32782.212	34460.493
2389.969	2090.178	354.806	27.752	256.750	32533.575	36762.189
2148.770	2003.825	283.079	11.571	313.550	28871.020	29469.896
2078.752	2121.083	260.464	7.819	305.248	22775.514	22989.249
2238.427	2182.797	312.190	37.905	210.083	16899.359	21417.886
1088.510	1206.895	167.790	60.029	180.020	9344.349	18705.053
1001.831	1173.877	187.762	64.642	130.302	9700.246	22649.326
983.947	1068.134	96.534	60.419	121.357	11123.426	22532.939
1161.401	1131.521	159.644	46.303	279.063	11936.843	17278.705
1207.159	680.451	141.492	62.166	337.945	9781.214	20948.428
1019.126	743.426	55.964	40.657	271.710	26671.368	35157.764
750.215	799.938	357.743	69.436	62.260	6107.886	17388.616
736.040	897.536	343.875	72.973	86.136	11683.193	39898.059
662.761	887.849	502.181	39.819	102.330	9612.470	12515.086
667.519	750.661	537.344	52.929	36.532	7545.162	12516.835
626.280	806.979	538.170	48.218	75.504	7586.335	11385.869
1450.815	1838.400	367.237	41.963	229.705	13745.899	18486.237
1536.949	1860.646	387.543	23.275	130.332	16781.237	18267.896
1583.028	1745.304	350.351	15.905	104.351	10310.439	10720.870
1496.895	1723.058	330.046	42.471	227.638	8482.148	11499.338
833.482	742.525	211.109	70.535	66.552	26902.393	80730.535
803.539	642.255	357.216	65.758	95.078	12024.255	29285.263
520.297	824.527	618.597	36.959	59.317	12038.978	15066.256
493.246	887.966	627.032	35.491	106.284	8084.709	9929.570
425.921	750.786	694.640	24.528	66.348	7127.499	7834.511
357.892	820.352	717.224	32.475	72.278	9470.999	11226.484
481.861	773.143	660.673	33.638	63.488	7738.534	9294.974
1898.793	751.963	616.310	13.700	153.326	9565.304	9845.424
1980.993	715.199	622.506	25.649	258.765	7631.844	8466.085
1820.302	712.304	601.698	25.432	193.393	11252.082	12459.462
526.277	694.575	645.697	35.934	91.631	4878.553	6025.178
1662.948	392.839	530.096	7.767	195.471	13784.336	13911.977
1527.018	422.223	513.958	15.167	271.462	9928.355	10286.678
1608.648	611.902	388.043	66.762	292.091	24082.540	61038.748
