Surface analysis

Generated: Wednesday 07 July 2021 13:11:56

						
Left filename	left1_2m.jpg					
Left frame number	      0					
Plane definition points	161					
RMS plane fit (mm)	55.466					
X plane direction (unit vector)	[0.9989, -0.0000, 0.0462]					
Y plane direction (unit vector)	[0.0073, 0.9873, -0.1588]					
Z plane direction (unit vector)	[-0.0456, 0.1590, 0.9862]					
Plane shift (mm)	[-818.5782, -294.6250, -1553.4170]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1186.050	0.000	201.938				
816.820	164.328	116.820				
977.982	213.025	217.812				
1121.190	1013.929	73.950				
889.528	992.999	41.844				
556.766	470.430	108.799				
372.727	294.119	0.000				
1413.677	761.531	154.684				
1135.002	799.743	59.915				
942.509	591.248	39.023				
280.997	856.434	76.808				
144.772	484.014	44.786				
123.964	22.480	71.203				
0.000	1053.286	146.844				
468.194	896.524	98.198				
1301.519	453.728	89.361				
433.266	752.097	151.168				
796.082	44.287	262.503				
625.631	772.480	104.003				
1105.944	330.950	26.624				
357.869	1141.629	112.653				
828.153	1147.847	119.167				
724.939	251.081	1.699				
827.696	775.264	90.392				
1080.324	531.400	45.675				
414.244	120.522	15.216				
29.192	917.889	82.158				
339.611	539.177	129.065				
845.045	471.029	24.773				
1336.253	1076.823	95.070				
200.666	33.285	107.529				
107.236	857.280	88.100				
856.759	869.707	75.504				
219.133	1098.478	122.045				
530.239	1090.726	143.658				
117.344	1071.743	139.890				
254.728	93.270	92.018				
317.052	1038.252	140.506				
1023.566	1085.340	91.588				
1205.715	606.067	105.395				
197.061	290.757	100.334				
177.219	957.676	142.829				
523.211	697.530	170.677				
323.223	106.164	82.995				
976.184	672.002	58.671				
1225.687	1033.883	66.789				
359.282	945.489	139.362				
775.042	948.794	80.097				
683.295	971.930	86.375				
172.628	204.297	112.203				
591.959	941.950	85.034				
1010.668	970.864	81.370				
278.746	898.015	142.346				
523.495	544.945	146.047				
703.701	903.481	71.479				
1302.926	928.260	65.589				
193.180	853.194	146.384				
529.662	237.969	7.424				
278.395	639.845	117.966				
440.872	1097.101	148.746				
518.305	798.824	94.702				
748.193	1093.212	162.216				
302.528	773.652	84.014				
1170.359	65.428	154.941				
1002.137	828.890	103.346				
1210.433	776.159	55.549				
201.108	353.853	108.820				
1257.852	809.148	125.264				
113.424	956.269	170.940				
155.037	745.033	168.646				
454.839	980.389	156.308				
744.206	805.925	129.781				
231.620	223.592	103.784				
709.141	94.991	199.989				
892.850	736.751	98.625				
362.861	459.198	120.217				
600.713	1115.707	158.678				
632.507	840.807	138.526				
212.024	676.847	155.828				
853.381	590.779	62.113				
120.518	650.390	129.566				
575.091	72.954	137.442				
894.485	662.775	96.047				
501.542	628.234	189.946				
123.795	134.547	39.505				
621.600	425.526	108.749				
1334.952	671.139	73.912				
429.588	640.110	103.981				
1251.119	131.907	101.511				
676.833	1095.964	164.468				
783.585	620.946	78.500				
681.134	601.758	85.693				
834.438	1081.450	72.203				
95.480	567.763	53.938				
1054.593	598.901	72.556				
222.703	553.656	123.360				
450.272	558.927	108.506				
612.891	549.353	150.156				
1225.821	959.654	58.705				
995.745	431.777	61.900				
1141.013	545.804	77.624				
973.183	512.444	74.171				
369.108	385.659	28.560				
1165.556	327.823	64.261				
909.517	474.319	52.103				
51.632	789.458	79.217				
649.139	491.988	121.848				
372.696	870.512	104.202				
646.563	317.081	42.315				
1129.819	255.185	125.256				
1068.796	423.825	88.800				
933.268	135.041	243.397				
439.189	401.705	31.576				
1170.454	400.943	80.301				
853.009	396.396	20.452				
113.335	362.117	27.641				
406.934	34.728	62.800				
522.309	948.415	145.849				
359.683	606.920	147.249				
987.250	127.697	260.664				
319.714	282.417	95.818				
713.376	351.411	32.282				
295.325	219.657	91.707				
275.575	358.355	100.146				
861.143	49.470	260.923				
761.531	544.326	94.542				
604.642	1013.847	121.271				
