Surface analysis

Generated: Wednesday 07 July 2021 13:23:44

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	98					
RMS plane fit (mm)	194.945					
X plane direction (unit vector)	[0.9739, -0.0000, 0.2271]					
Y plane direction (unit vector)	[-0.1449, 0.7702, 0.6211]					
Z plane direction (unit vector)	[-0.1749, -0.6378, 0.7501]					
Plane shift (mm)	[-1744.3758, -2521.2234, -1911.4263]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1394.267	2051.343	422.685				
1392.189	2018.580	444.258				
1284.949	1547.669	399.664				
1971.409	902.846	242.433				
2097.013	2120.996	818.043				
2276.381	1360.289	124.665				
774.359	1586.298	204.599				
483.465	1933.363	0.000				
1193.568	2127.839	464.406				
1643.123	2098.538	519.498				
1824.057	2065.619	573.806				
1965.829	2094.192	590.587				
376.678	893.962	474.179				
1242.078	0.000	309.496				
2235.821	296.610	426.904				
741.933	1010.715	365.045				
1881.391	1665.191	465.771				
1573.082	1272.641	493.878				
1007.331	2146.361	409.453				
1509.734	1796.179	274.227				
0.000	1461.921	302.096				
1127.118	1728.880	287.967				
1853.820	542.990	288.201				
2005.259	675.404	282.424				
2081.345	2040.443	699.709				
2021.162	2123.146	622.671				
2219.224	2027.655	756.212				
974.141	321.875	386.862				
1512.754	1522.668	336.045				
1890.860	1986.851	542.135				
1094.014	2136.901	430.502				
1553.326	2099.494	504.801				
560.914	1559.498	348.786				
562.527	1838.964	130.682				
1387.954	1572.172	392.035				
522.683	1621.337	268.918				
2024.506	458.606	298.556				
1266.808	1763.111	247.271				
1382.168	773.026	421.987				
1244.324	380.379	350.049				
393.011	1822.907	130.695				
2219.106	533.686	311.709				
1868.774	1893.140	598.989				
947.444	1764.360	248.627				
2215.269	1597.373	83.019				
1347.879	1419.159	380.774				
1438.169	1650.213	327.105				
2388.617	909.938	185.146				
1635.479	1658.738	360.325				
1291.351	1643.660	343.443				
1447.604	1456.998	387.374				
945.806	1609.588	357.066				
1989.704	1605.606	358.549				
2533.275	1388.495	4.089				
1694.545	1629.458	459.971				
2066.905	1105.420	215.535				
1764.922	2073.319	574.471				
1199.801	1585.786	398.896				
663.618	1540.856	327.681				
1924.146	1249.839	285.943				
1962.828	1379.378	270.060				
1103.991	1396.919	451.206				
486.740	1435.388	381.072				
1596.451	1410.507	480.250				
2412.835	1312.507	78.502				
987.611	1401.627	444.889				
469.734	1722.936	189.538				
928.146	1108.640	417.971				
1203.188	1464.157	422.255				
1060.114	1100.186	453.741				
2528.118	1260.663	84.444				
155.997	1542.482	313.942				
939.468	1487.681	411.611				
656.412	1310.018	382.294				
2194.770	1179.290	185.689				
1516.422	1732.941	324.166				
271.314	1287.132	376.190				
288.802	1605.583	288.537				
1211.630	1286.892	396.385				
1759.306	1219.548	325.075				
877.487	1261.048	422.579				
767.995	1280.761	389.720				
1377.398	1161.994	389.073				
1107.154	1573.549	383.712				
2294.239	886.577	187.413				
627.907	1644.317	254.904				
297.021	1467.822	339.220				
1781.714	1089.311	506.565				
2279.447	796.279	242.387				
1720.848	1868.427	557.267				
672.800	882.259	531.982				
1696.416	846.056	493.571				
334.882	1729.485	213.889				
730.876	596.329	437.816				
755.896	1487.932	313.130				
1580.710	1933.573	522.134				
2103.063	360.322	392.366				
1519.589	156.212	366.506				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
1335.330	178.864	342.017	10.215	234.066	52604.249	53451.482
1539.244	359.860	334.919	9.169	22.467	90694.992	91868.745
1952.824	271.048	395.259	16.342	332.517	32135.660	33488.707
1665.829	150.941	367.635	18.298	183.402	36460.929	38402.602
1799.305	385.936	317.754	10.243	8.793	47110.501	47873.524
1882.386	325.047	352.476	37.835	337.631	36690.316	46456.622
2185.997	396.873	376.993	25.861	356.699	15204.290	16896.413
2115.559	450.872	334.210	37.402	334.172	12512.092	15750.408
1603.764	1866.060	451.209	58.173	213.044	11938.861	22638.932
1592.387	2043.868	515.478	10.225	295.477	7436.523	7556.529
1688.827	1958.440	551.291	14.832	264.082	15792.165	16336.492
