Surface analysis

Generated: Wednesday 07 July 2021 14:52:42

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	124					
RMS plane fit (mm)	133.650					
X plane direction (unit vector)	[1.0000, -0.0000, 0.0097]					
Y plane direction (unit vector)	[0.0015, 0.9879, -0.1548]					
Z plane direction (unit vector)	[-0.0096, 0.1548, 0.9879]					
Plane shift (mm)	[-1249.4264, -453.5291, -2179.4514]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
553.111	890.010	154.118				
1702.058	1151.140	291.346				
1597.190	468.527	195.455				
20.759	1601.020	97.320				
136.683	180.955	253.561				
2471.532	1469.436	206.295				
2500.286	661.088	120.645				
1546.885	1029.058	254.836				
1799.830	0.000	315.361				
960.587	979.965	454.174				
1244.286	143.131	356.587				
1287.083	759.043	264.722				
1316.396	1419.328	382.844				
490.906	218.520	0.000				
1452.751	273.846	280.025				
1795.605	733.434	117.690				
520.486	1361.584	120.379				
969.451	644.539	286.828				
829.478	175.779	460.598				
2007.740	1427.602	253.670				
1918.341	411.010	211.909				
980.601	388.353	520.003				
882.191	1308.871	407.101				
271.864	712.197	174.102				
688.064	736.900	318.449				
2133.170	664.816	62.175				
2444.731	1088.912	232.414				
2237.399	226.374	222.964				
0.000	1059.627	105.067				
702.915	1110.607	323.967				
923.146	1415.424	373.256				
779.115	799.613	416.151				
599.680	1553.188	35.490				
469.540	1523.542	71.717				
599.011	1096.929	215.173				
1191.157	1031.882	486.381				
2287.306	395.923	155.861				
1980.451	211.320	298.458				
1966.109	115.603	289.861				
670.163	1262.579	355.686				
1032.303	806.120	417.240				
227.780	1488.161	109.116				
60.813	371.439	73.343				
810.795	1456.905	287.277				
2406.867	1312.412	174.596				
1346.243	263.982	310.849				
1895.072	1324.951	223.993				
754.510	1195.037	361.805				
1171.222	1188.581	469.453				
1447.545	1187.585	392.671				
1532.856	1110.760	406.815				
1043.628	1333.436	427.019				
56.049	871.193	55.246				
2168.587	1157.966	180.798				
813.514	972.556	431.026				
1074.157	986.976	472.436				
405.223	1062.084	234.402				
1231.185	332.117	418.685				
1257.931	885.113	310.036				
18.088	1221.046	117.139				
169.650	1025.693	207.314				
834.352	361.172	456.825				
396.670	944.192	214.703				
1039.620	1081.761	459.859				
852.693	1173.331	433.551				
1257.761	1239.495	481.036				
1082.641	492.284	447.182				
2354.456	883.236	145.909				
2388.555	703.773	130.821				
1357.065	429.835	255.845				
1831.533	812.513	241.453				
2206.955	937.031	155.790				
1883.761	321.230	236.792				
1557.485	726.163	117.546				
1531.955	614.207	120.523				
1390.750	695.491	284.045				
2260.906	668.289	135.282				
797.521	669.594	381.816				
1653.778	1047.046	263.381				
1734.362	302.965	347.134				
1843.063	559.843	196.017				
564.826	598.996	72.371				
362.981	1387.789	181.880				
771.054	558.212	411.288				
2198.628	499.908	166.716				
971.295	518.469	484.720				
304.816	929.851	208.877				
1250.424	512.571	322.151				
1755.788	426.453	267.079				
812.384	453.269	456.127				
343.406	170.966	136.764				
342.096	592.294	132.348				
1236.784	433.243	380.755				
1281.488	979.529	470.983				
580.608	443.842	68.588				
424.168	415.238	135.784				
933.313	1162.964	430.256				
2247.131	1358.918	138.652				
590.328	987.375	194.866				
1651.468	189.809	222.362				
723.188	333.863	366.284				
248.724	336.305	98.695				
115.573	751.806	62.347				
677.501	189.137	315.482				
1658.398	272.559	206.211				
919.250	306.910	460.519				
821.278	870.243	443.736				
404.519	325.616	144.518				
757.765	1292.658	372.160				
1053.348	257.876	477.897				
839.998	261.148	456.402				
1727.422	152.275	265.164				
238.460	177.866	131.134				
915.729	233.510	475.934				
1531.471	172.753	246.296				
2038.612	408.049	231.609				
1088.219	1211.866	459.778				
1857.830	238.584	287.479				
1661.135	617.217	98.981				
2063.033	764.719	205.506				
1137.785	178.629	475.658				
1401.231	117.811	379.886				
1710.381	50.520	278.645				
1618.644	49.989	260.171				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
1230.803	122.966	359.119	14.080	99.176	13206.901	13615.956
1517.115	113.518	295.451	44.792	49.296	10389.152	14639.409
1253.960	73.652	237.432	48.944	0.606	20914.252	31842.986
930.510	132.245	285.844	79.640	186.428	32470.281	180551.342
1600.528	137.517	242.943	15.910	35.760	8109.093	8432.082
1685.483	84.262	267.993	14.680	309.427	4662.819	4820.162
1665.845	130.691	249.232	27.826	313.129	5926.014	6700.809
1709.619	33.503	284.726	22.741	330.952	2341.054	2538.378
1421.387	103.644	332.214	78.055	190.941	2569.848	12416.777
1745.878	67.599	286.390	19.673	300.944	4981.375	5290.165
1330.587	174.975	349.107	24.227	350.157	10774.280	11814.873
1461.818	188.137	302.069	43.388	68.263	8745.637	12034.430
1400.075	218.547	323.586	31.371	22.914	8055.375	9434.622
1070.516	165.846	430.948	73.640	180.292	5623.994	19965.923
960.997	195.973	470.730	11.362	193.538	8776.610	8952.056
1035.621	223.338	476.497	2.140	192.031	6481.635	6486.160
1140.773	256.207	457.414	18.193	46.557	10180.832	10716.537
1204.419	217.959	416.977	46.773	103.980	9831.050	14354.136
2033.840	838.088	200.916	12.837	53.526	23384.455	23983.954
1896.724	770.222	188.216	56.366	185.859	10011.903	18075.878
2152.369	699.275	134.321	61.947	196.193	6502.370	13826.455
2176.965	790.013	165.526	19.402	90.914	23987.235	25431.524
1900.567	685.999	173.071	26.976	313.479	23953.849	26878.359
2013.088	663.126	154.566	49.756	138.566	18172.393	28128.734
1583.525	652.529	112.350	9.505	93.939	7192.814	7292.930
1671.408	692.271	111.406	9.437	178.459	13347.895	13531.032
1671.371	504.065	187.172	38.562	341.659	13136.204	16799.686
1753.329	534.504	187.359	38.350	337.491	14637.417	18664.595
1596.760	566.650	138.320	31.079	14.722	9507.691	11101.220
1766.601	636.832	137.563	28.503	307.986	14429.092	16419.178
1773.205	231.275	299.926	30.382	160.589	9526.064	11042.461
1825.318	287.593	290.469	38.520	60.101	5936.737	7587.950
1934.797	188.502	291.932	7.363	235.096	6063.905	6114.324
1850.454	168.821	280.835	8.126	234.480	12691.609	12820.327
1907.347	257.045	274.243	31.013	4.176	5420.478	6324.556
1021.720	1236.088	439.018	16.961	305.903	10506.257	10984.035
1101.023	1244.628	452.084	14.403	349.757	4526.248	4673.117
1020.384	1152.197	449.964	13.013	290.626	8888.634	9122.903
1099.687	1160.736	463.030	6.429	290.777	5965.344	6003.091
2123.470	524.258	153.500	32.954	2.997	16200.470	19306.854
2085.487	281.914	251.010	20.777	47.278	24836.871	26564.341
2174.849	434.627	184.728	19.393	62.583	12392.586	13138.027
2187.772	343.449	203.478	23.718	46.615	21385.475	23358.472
1933.339	459.634	213.178	9.369	278.446	8838.707	8958.194
2004.948	544.236	163.267	31.836	24.431	32281.929	37998.351
1946.905	380.096	226.770	20.364	335.234	5450.218	5813.565
1967.608	313.533	255.620	23.652	334.545	12707.102	13872.402
1547.540	239.720	244.177	19.936	98.628	10344.047	11003.411
1613.779	211.707	224.957	14.071	43.893	4905.748	5057.500
861.735	223.479	464.312	13.624	288.638	3377.925	3475.717
891.659	267.189	464.285	15.747	320.816	2827.972	2938.246
962.776	266.099	471.450	12.339	346.279	5007.724	5126.137
207.955	231.709	161.130	50.506	84.012	8078.547	12702.201
276.863	228.379	122.198	11.924	349.079	8349.264	8533.379
239.516	176.596	173.820	88.390	3.675	189.058	6727.122
1706.728	242.600	272.837	60.004	254.356	5617.970	11237.274
1679.096	204.881	231.246	26.807	297.426	3272.689	3666.761
1831.121	89.293	290.128	17.112	349.334	16845.410	17625.664
864.533	309.743	457.915	2.774	261.775	4092.739	4097.539
782.326	208.688	410.828	43.673	279.954	6557.377	9066.019
746.896	261.383	379.390	39.770	263.804	10113.762	13158.299
799.179	318.728	426.504	38.794	266.468	5636.580	7231.894
984.400	317.713	486.140	30.350	212.083	6964.825	8070.883
1038.864	379.504	481.694	33.685	85.874	10437.314	12543.321
1122.392	360.759	447.921	17.138	72.183	19755.797	20673.705
830.883	1258.287	404.271	22.342	309.921	8193.203	8858.159
788.323	1220.342	389.172	36.982	263.817	4827.671	6043.444
727.479	1250.091	363.217	10.405	236.646	4226.953	4297.623
816.917	1352.811	355.513	36.164	330.181	9788.420	12124.370
746.241	1337.381	338.374	37.548	327.672	6396.747	8068.079
332.216	277.629	126.659	16.529	282.522	12373.462	12906.846
359.137	359.053	126.332	18.006	299.396	7086.344	7451.257
412.944	238.367	93.760	49.764	113.823	9952.310	15407.402
469.765	394.899	116.297	23.216	89.544	6729.197	7322.083
492.011	329.326	71.035	47.302	126.834	14535.852	21435.218
730.240	885.744	351.584	44.950	281.206	10625.236	15013.135
741.707	943.391	356.543	46.564	272.396	11359.905	16522.327
865.126	940.921	442.979	11.183	304.454	7552.485	7698.671
938.056	885.443	438.383	11.116	159.209	16043.523	16350.265
877.565	825.325	425.709	21.508	179.153	8804.139	9463.096
911.401	352.145	479.116	30.261	216.188	5121.699	5929.656
1670.459	389.179	222.915	25.906	258.847	14252.374	15844.567
1716.183	333.992	273.475	68.200	294.645	4364.585	11752.702
1569.447	338.311	227.231	21.651	65.070	20110.673	21637.282
503.938	192.874	150.749	79.729	351.332	6603.630	37036.063
616.795	178.627	304.281	71.747	346.740	3612.324	11533.047
630.532	247.173	227.255	59.123	275.974	14173.798	27618.657
77.478	664.813	63.645	3.406	306.925	14589.298	14615.120
230.751	797.951	148.442	36.103	266.099	17661.296	21859.258
158.813	850.950	108.823	31.270	248.529	16595.511	19416.124
243.178	685.433	122.932	52.523	226.322	7978.987	13113.854
172.827	571.847	89.346	15.133	284.266	47448.333	49152.777
148.740	296.233	141.866	43.987	2.694	16564.193	23021.761
217.211	433.346	101.462	9.536	242.719	25691.741	26051.765
338.329	447.946	122.275	10.946	250.354	18770.830	19118.684
705.393	410.325	297.000	60.516	286.832	13417.334	27261.008
789.975	382.768	426.412	38.346	257.118	5418.878	6909.404
598.234	332.075	144.957	61.242	282.779	20995.994	43640.763
531.521	1048.796	214.813	13.372	145.550	10463.933	10755.511
513.370	940.526	187.896	28.553	156.842	8624.135	9818.268
464.074	997.884	214.657	12.801	141.325	11230.750	11517.015
640.852	892.333	255.045	49.017	271.065	12684.487	19340.973
702.253	1023.513	316.620	46.828	265.897	14586.062	21318.652
630.752	1064.970	244.668	46.085	264.284	5632.187	8120.338
2141.153	1314.829	191.040	25.944	87.676	26750.460	29748.386
2274.195	1276.432	164.682	16.969	331.154	17875.946	18689.591
2375.177	1380.255	173.181	15.191	248.953	14044.751	14553.289
2242.134	1418.652	199.539	45.610	169.130	20934.969	29926.668
889.399	1215.055	423.636	10.880	19.505	5616.573	5719.379
953.044	1268.424	421.459	10.085	308.048	12405.311	12599.989
977.840	1074.897	448.096	12.698	296.535	8619.651	8835.739
902.472	1038.495	438.485	11.005	303.187	13558.085	13812.080
866.507	1102.950	431.611	2.475	117.630	8296.397	8304.146
523.201	486.025	92.248	23.098	87.453	12361.807	13439.131
443.697	535.509	113.501	16.739	61.774	19992.919	20877.596
638.829	533.684	184.082	59.437	263.371	15676.623	30829.850
721.348	485.108	312.001	59.212	262.206	12356.455	24139.875
1243.469	1083.635	479.467	8.990	98.872	11120.383	11258.697
1328.931	1135.537	448.230	25.018	89.518	24052.907	26543.411
1362.101	964.567	345.285	66.745	149.305	11945.524	30255.826
1243.525	965.508	422.467	59.316	205.075	4880.965	9564.943
1453.743	1039.783	377.545	63.564	145.972	11189.213	25132.959
1420.629	1092.625	423.490	17.363	18.798	15253.362	15981.557
