Surface analysis

Generated: Wednesday 07 July 2021 15:42:27

						
Left filename	Left1_2m.jpg					
Left frame number	      0					
Plane definition points	23					
RMS plane fit (mm)	178.012					
X plane direction (unit vector)	[0.9932, -0.0000, 0.1168]					
Y plane direction (unit vector)	[-0.0022, 0.9998, 0.0186]					
Z plane direction (unit vector)	[-0.1168, -0.0187, 0.9930]					
Plane shift (mm)	[-1729.0982, -960.2860, -2874.1417]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1782.463	1430.005	152.653				
873.572	1680.910	330.564				
2562.361	1922.991	426.284				
2612.163	1572.260	154.920				
2668.796	56.426	129.407				
1262.379	1429.885	18.860				
2144.272	1513.773	327.892				
2322.868	1653.328	140.861				
865.698	0.000	220.509				
2806.997	1185.368	307.891				
1844.338	1812.613	316.335				
18.809	1831.751	409.853				
121.931	724.108	568.010				
1192.201	1985.598	182.690				
2020.391	1714.778	289.901				
1050.910	1657.932	88.568				
1392.604	1729.491	142.975				
2398.377	1798.674	265.078				
1267.999	996.349	0.000				
2127.277	950.155	477.308				
0.000	1481.671	371.457				
2886.123	1283.356	782.866				
378.843	1734.123	312.991				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
132.551	1682.515	364.767	14.880	117.418	63938.521	66157.040
814.872	1800.210	275.415	25.168	1.829	83846.496	92641.615
529.951	1850.491	301.845	16.051	130.680	84972.948	88419.806
458.116	1379.714	403.855	14.289	358.169	256677.264	264871.450
166.925	1313.301	417.486	14.429	356.264	158889.825	164065.127
2768.428	1346.995	415.225	76.948	247.966	24852.322	110049.421
2686.882	1592.869	454.690	75.538	250.523	40849.169	163565.352
2787.306	841.717	406.721	81.728	275.672	37893.735	263381.381
2018.004	1297.978	319.284	31.697	297.137	101249.121	118999.035
1887.257	335.527	275.742	19.663	170.083	821018.377	871857.457
1420.325	648.835	232.606	34.526	309.344	437362.303	530863.382
1725.913	1125.503	209.987	31.476	298.121	198198.214	232393.719
2359.515	1216.432	371.030	16.968	31.445	189552.377	198179.056
2534.357	730.650	304.869	20.483	121.820	367428.864	392226.451
1437.614	1285.413	57.171	14.653	259.681	112737.799	116527.840
754.501	1133.789	299.524	29.432	107.917	445966.245	512051.823
1134.650	1369.048	116.475	37.984	92.451	83575.543	106036.376
751.876	573.486	262.840	26.133	87.260	516180.271	574955.057
2444.469	1674.754	186.953	37.467	199.155	24084.581	30344.640
2524.300	1764.642	282.094	41.952	203.468	31852.812	42829.956
2247.212	1722.260	231.946	46.267	163.969	24301.803	35153.822
2087.702	1775.355	290.438	8.022	140.426	25875.099	26130.796
2268.359	1844.759	335.899	53.961	177.583	35581.400	60477.887
1476.381	1842.567	214.000	26.787	217.958	66175.118	74129.982
1673.135	1657.370	203.988	26.145	219.829	83846.975	93403.771
1479.149	1529.793	104.829	21.655	220.373	77902.292	83817.724
1211.905	1791.007	138.078	14.779	204.381	50925.337	52667.709
1235.297	1605.769	83.468	21.201	191.861	46527.484	49905.088
1038.894	1774.813	200.607	56.417	123.413	30676.934	55458.464
1062.287	1589.576	145.998	61.729	54.083	17791.183	37562.866
1982.375	1552.852	256.815	25.267	258.286	41551.349	45947.049
1882.397	1652.465	252.963	22.905	190.965	36706.487	39848.551
2162.510	1627.293	252.884	39.630	47.151	26593.460	34528.682
1866.300	1907.067	308.436	11.966	305.691	98094.440	100273.433
2521.144	1423.800	263.567	31.988	28.841	96209.347	113433.680
2359.767	1579.787	207.891	46.666	13.124	27425.564	39964.036
						
Total plan area (mm^2)	4867311.057					
Total 3D area (mm^2)	5883119.525					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 782.866 (mm)			
