Surface analysis

Generated: Wednesday 07 July 2021 15:50:05

						
Left filename	Left2_5m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	126.225					
X plane direction (unit vector)	[0.9994, -0.0000, 0.0349]					
Y plane direction (unit vector)	[-0.0005, 0.9999, 0.0149]					
Z plane direction (unit vector)	[-0.0349, -0.0149, 0.9993]					
Plane shift (mm)	[-1299.1345, -910.9028, -2513.0189]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1259.446	1375.743	298.038				
1117.013	941.430	207.569				
656.731	669.604	22.637				
0.000	679.123	287.683				
2447.526	768.773	292.320				
1742.848	1220.989	306.493				
1944.215	476.624	88.211				
1440.892	1019.874	117.929				
1667.524	0.000	236.713				
2199.163	1039.709	206.505				
3.125	1359.489	325.413				
636.065	1609.302	275.906				
315.351	703.007	217.007				
1244.185	1116.000	273.597				
2240.723	1538.102	415.152				
2254.826	304.556	99.110				
1670.684	962.338	254.646				
467.880	1484.955	0.000				
1072.303	311.078	363.852				
465.588	421.649	301.700				
1509.459	1568.432	288.732				
734.480	1198.789	61.766				
855.922	454.745	527.728				
622.904	235.601	137.653				
2666.422	1117.304	250.915				
321.322	1269.589	116.475				
1005.128	1514.147	429.661				
1334.941	596.432	328.990				
2154.439	1776.891	103.079				
907.977	936.317	424.643				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
766.396	934.904	169.682	61.117	276.045	56109.486	116164.888
962.214	1083.702	253.336	51.549	350.216	59709.711	96020.664
1089.725	997.916	301.936	57.546	137.284	17920.593	33395.145
806.877	686.889	325.003	64.641	281.958	53554.860	125045.627
960.304	777.497	386.647	46.150	84.373	50199.867	72462.563
2046.003	1511.994	274.908	52.723	319.451	73124.508	120733.631
1802.249	1522.104	232.768	16.703	47.980	136372.990	142380.251
2353.861	1477.432	256.382	73.817	49.235	32672.299	117226.307
1433.321	1651.542	222.573	39.283	1.652	104213.614	134637.771
1297.615	852.579	218.162	25.926	19.980	64416.334	71624.821
1102.625	664.202	354.762	30.107	26.846	98068.994	113363.232
1087.722	454.085	406.857	32.252	124.436	49738.746	58813.305
1482.172	859.548	233.855	36.975	324.008	51699.806	64713.873
1648.893	357.685	217.971	22.601	79.797	161772.341	175228.868
1358.256	302.503	309.852	10.977	105.016	125774.871	128118.881
1649.947	678.465	223.949	21.435	110.123	131580.753	141357.877
791.891	1440.746	255.778	41.521	221.564	71070.367	94923.698
994.598	1276.312	255.008	41.583	216.763	91573.214	122424.036
1169.587	1335.297	333.765	25.067	104.948	34084.816	37628.837
1050.217	1563.961	331.433	62.316	2.238	34012.204	73207.521
1258.011	1486.108	338.810	25.865	138.892	41803.466	46457.211
457.051	1057.128	131.749	13.461	42.766	117255.465	120567.679
507.894	1317.778	59.414	24.284	26.538	49678.289	54500.614
212.224	883.907	207.055	15.331	50.274	89264.690	92558.361
108.149	1102.734	243.190	32.733	95.212	108385.398	128845.543
264.109	1371.344	147.296	34.351	83.377	40852.081	49481.988
2456.258	730.211	214.115	71.007	120.147	17226.704	52931.641
2437.704	975.262	249.914	13.329	327.259	72934.564	74953.488
2368.769	1231.705	290.858	22.650	183.556	114826.626	124422.848
648.138	370.665	322.360	53.742	200.190	38913.679	65796.346
850.376	333.808	343.078	56.929	189.324	40447.732	74124.356
1120.910	182.226	246.073	47.441	197.582	92361.865	136558.828
362.831	445.458	242.345	62.992	209.712	23058.494	50777.156
659.414	515.333	284.022	61.346	336.775	45229.710	94324.418
568.854	857.133	100.470	29.922	105.661	91625.115	105716.215
612.808	1431.015	112.558	52.835	233.903	40639.979	67272.601
1503.918	1388.388	297.754	2.872	358.362	65918.294	66001.217
479.223	598.087	180.448	41.930	44.704	45515.892	61180.488
260.313	601.260	268.797	24.144	25.573	46157.378	50582.465
369.023	1484.582	200.440	79.490	157.688	18344.615	100569.617
1938.021	826.224	183.121	16.654	154.135	138926.487	145009.065
1870.899	1074.346	255.881	14.942	151.932	65554.317	67848.571
1618.141	1067.734	226.356	31.127	266.943	31794.102	37141.635
1955.522	260.393	141.345	15.209	22.502	97827.367	101378.214
2215.522	516.651	159.880	21.381	213.482	88674.247	95228.244
2060.911	1266.267	309.383	23.073	173.109	117479.038	127693.756
1267.363	1025.768	199.698	39.833	147.573	23281.810	30318.428
1314.841	1170.539	229.855	36.404	100.681	26280.122	32651.968
2196.968	761.702	195.679	21.125	264.668	104461.999	111987.799
1481.062	1205.535	240.820	33.097	199.216	71974.273	85913.710
						
Total plan area (mm^2)	3464364.173					
Total 3D area (mm^2)	4492266.265					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 527.728 (mm)			
