Surface analysis

Generated: Wednesday 07 July 2021 16:32:08

						
Left filename	Left3_2m.jpg					
Left frame number	      0					
Plane definition points	45					
RMS plane fit (mm)	451.479					
X plane direction (unit vector)	[0.9382, -0.0000, 0.3461]					
Y plane direction (unit vector)	[0.0473, 0.9906, -0.1281]					
Z plane direction (unit vector)	[-0.3429, 0.1365, 0.9294]					
Plane shift (mm)	[-3589.1412, -702.7726, -3616.0074]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
2977.672	751.741	1312.780				
2119.910	1755.302	1199.107				
2045.928	313.195	1309.022				
1960.226	836.763	746.376				
600.923	1759.389	306.178				
2733.710	1694.882	1280.129				
3000.696	1339.287	1141.708				
3068.209	2374.340	759.230				
3814.048	1249.472	792.326				
3250.969	1831.423	564.226				
2780.331	1072.575	1396.552				
1293.069	1013.233	802.867				
2633.604	1415.177	1441.081				
3513.435	522.766	980.410				
3987.900	839.856	46.406				
3515.182	2309.932	78.989				
1530.423	1283.521	730.956				
1030.750	1894.650	197.528				
2814.854	184.713	789.531				
2310.326	1150.540	1157.517				
946.742	2352.672	484.542				
3305.818	1224.616	775.071				
795.165	765.980	969.620				
2534.640	1923.540	1496.371				
0.000	1659.657	226.176				
3002.541	187.283	0.000				
2055.205	0.000	962.013				
2520.686	782.147	1355.536				
3319.963	913.632	906.365				
3382.781	393.088	920.553				
2390.299	1732.467	1344.604				
2616.398	1099.035	1355.823				
2610.286	1743.254	1375.945				
2886.571	2140.652	941.626				
2830.944	1591.115	1201.253				
2888.355	1040.045	1340.787				
2520.060	1418.764	1476.113				
2822.078	1344.688	1303.397				
2676.091	677.744	1099.641				
2870.334	883.253	1322.247				
2643.981	1598.175	1375.347				
2752.609	1461.909	1343.138				
2639.651	1213.429	1411.054				
2327.024	1299.867	1222.832				
3096.592	639.687	1254.492				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
3330.936	518.514	1051.818	44.076	154.837	34665.849	48253.441
3309.997	692.028	1047.089	45.541	54.075	70154.501	100163.792
2916.785	689.724	1222.305	47.922	204.509	21296.556	31779.386
2862.512	500.715	1047.888	40.998	210.129	101019.553	133847.257
3131.409	768.353	1157.879	47.043	62.697	28803.629	42268.326
2971.329	337.227	681.341	79.897	130.673	42334.365	241341.924
3160.638	406.686	725.015	70.081	202.068	76332.794	224050.223
2412.461	1483.699	1347.850	51.459	265.502	37992.289	60975.222
2279.077	1595.879	1255.515	30.543	250.155	59207.563	68746.372
2425.667	1221.279	1263.801	38.233	242.894	24063.496	30634.547
2495.578	1310.687	1370.000	48.843	225.936	26928.028	40916.064
2055.924	1244.642	1037.102	35.486	238.811	59340.522	72877.275
1992.452	1446.230	1050.965	33.159	249.708	183092.568	218708.733
2522.125	1154.334	1308.132	38.044	244.288	18105.320	22989.732
2597.772	1349.123	1442.749	18.504	114.675	11442.747	12066.589
2747.353	1210.231	1370.334	25.596	53.782	22080.530	24483.324
2678.793	1128.346	1387.810	27.675	217.051	9684.106	10935.170
2698.444	1324.432	1385.178	34.779	100.653	18799.086	22887.774
2801.877	1465.904	1282.596	51.450	72.786	9079.158	14568.684
2736.097	1407.258	1362.539	38.131	81.159	8598.148	10930.714
2742.511	1550.400	1306.579	47.323	61.251	12354.951	18226.212
2676.731	1491.754	1386.522	37.497	65.379	10646.412	13419.015
2599.215	1477.372	1430.847	25.043	43.110	10407.707	11487.695
2736.212	1628.058	1285.576	43.314	82.900	9357.062	12860.001
2662.659	1678.771	1343.807	41.155	77.188	8138.190	10808.583
2518.113	1583.135	1398.688	26.098	15.266	31077.514	34605.735
2548.188	1691.299	1365.299	8.272	255.345	16139.508	16309.196
2846.340	998.624	1353.195	26.346	110.279	8761.778	9777.343
2841.366	770.913	1244.889	38.257	226.724	23802.101	30311.971
2912.120	891.679	1325.271	7.013	203.825	9599.905	9672.277
2689.037	781.048	1259.141	59.673	160.805	26108.331	51706.627
2723.783	912.659	1358.111	19.603	148.992	37648.014	39964.476
2512.291	391.884	1066.065	37.063	127.568	180638.013	226371.340
2414.235	591.029	1254.733	54.664	138.185	61222.004	105852.601
2903.710	1241.340	1261.964	44.124	70.623	27028.369	37652.939
2830.255	1152.436	1346.912	32.748	66.980	15376.442	18282.351
2884.573	1425.030	1215.453	44.798	67.405	22032.052	31048.931
3061.997	901.806	1186.644	47.759	77.620	56571.695	84153.371
3171.379	1059.431	1007.408	51.110	67.507	66217.465	105470.240
3064.956	1201.316	1085.855	52.129	81.607	52093.805	84859.839
2938.541	1705.807	1015.203	53.295	71.288	33475.291	56006.858
3027.536	1587.275	969.062	52.857	64.558	73283.528	121369.940
2829.807	2146.177	1065.742	66.228	112.107	21402.889	53095.450
2718.307	1919.692	1239.375	55.077	78.826	61846.112	108031.672
3068.583	2115.472	755.027	45.659	90.826	70661.574	101099.497
2957.083	1888.986	928.660	53.237	76.472	104853.326	175190.853
2511.742	1799.754	1405.640	35.797	188.573	20238.345	24951.831
2626.212	1787.226	1384.148	36.485	123.631	9296.256	11562.378
2639.138	984.586	1369.304	13.893	286.605	27240.235	28061.193
2482.470	1010.574	1289.625	32.780	286.729	50959.993	60612.336
2348.283	1803.770	1346.694	34.045	237.349	27479.932	33164.528
3628.039	585.237	649.123	84.416	137.037	10049.269	103273.693
3479.943	1129.240	824.587	22.940	352.605	79201.388	86002.826
3707.304	1000.987	581.699	60.355	139.558	130385.885	263604.493
3607.099	758.751	644.394	58.584	57.713	123400.053	236738.192
2263.746	923.150	1086.476	47.700	265.406	97490.025	144857.329
2175.613	644.035	1136.978	53.502	312.396	144379.011	242736.787
1632.099	359.725	1080.218	52.792	211.071	193765.981	320426.345
2624.200	123.999	583.848	86.803	165.627	16358.067	293319.356
2305.329	165.969	1020.188	50.179	155.733	119815.740	187097.286
515.888	1923.906	338.965	14.765	200.465	161014.130	166512.571
465.363	1395.009	500.658	33.625	339.187	308167.394	370092.820
2183.197	2216.851	913.381	61.165	355.327	472397.521	979489.931
1867.097	2010.505	1060.007	34.188	260.022	222559.861	269052.810
1378.054	697.469	1027.170	35.233	358.723	267349.670	327309.059
896.386	1179.534	692.888	33.760	0.255	271324.684	326357.762
3185.827	1465.109	827.002	55.548	71.101	89430.285	158082.699
3456.945	1435.170	710.541	19.117	351.586	154880.444	163920.330
859.472	2002.237	329.416	34.769	142.208	104116.459	126746.681
1365.800	2000.875	627.059	52.606	231.498	243576.449	401081.659
1933.659	1090.274	878.283	41.171	227.738	145636.183	193472.679
1560.361	1644.491	709.197	42.376	278.516	297994.592	403384.331
1284.747	1397.135	577.117	34.284	328.340	140054.796	169505.341
974.914	1555.758	435.524	34.898	2.754	207168.863	252592.275
1594.573	1044.506	760.066	11.314	38.967	111105.163	113307.106
3772.377	1466.420	305.907	86.883	72.240	30971.571	569551.379
3278.120	2171.898	467.482	57.229	84.054	115449.062	213288.774
3526.733	1796.942	478.514	41.605	27.450	211598.781	282986.382
1766.408	721.064	952.755	50.226	18.723	167089.347	261173.195
						
Total plan area (mm^2)	6685710.277					
Total 3D area (mm^2)	10785375.919					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 1496.371 (mm)			
