Surface analysis

Generated: Wednesday 07 July 2021 16:46:51

						
Left filename	Left1_2m.jpg					
Left frame number	      0					
Plane definition points	122					
RMS plane fit (mm)	190.430					
X plane direction (unit vector)	[0.7863, -0.0000, 0.6178]					
Y plane direction (unit vector)	[-0.0464, 0.9972, 0.0590]					
Z plane direction (unit vector)	[-0.6161, -0.0751, 0.7841]					
Plane shift (mm)	[-3571.8883, -900.5728, -2102.1980]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1840.781	1449.336	88.765				
1590.046	440.013	506.910				
2899.259	1080.465	506.123				
2829.101	431.565	321.082				
2053.004	184.282	285.908				
2458.774	1019.076	619.828				
2428.232	1281.646	458.316				
2746.625	1378.743	488.667				
1031.306	945.772	499.406				
1340.182	1171.654	336.465				
441.224	640.424	331.574				
3247.135	844.911	431.724				
2879.262	935.210	477.972				
2641.050	0.000	155.704				
3097.228	523.990	303.935				
1975.634	873.639	570.065				
665.583	1160.315	557.199				
941.549	1734.209	176.155				
2496.282	803.695	556.718				
1996.274	524.621	530.997				
2988.698	1252.074	500.070				
2489.108	588.725	423.472				
0.000	43.683	630.677				
373.948	467.822	629.058				
1530.861	171.356	477.687				
3164.638	1180.373	491.993				
3026.600	308.636	202.595				
1705.207	1186.011	389.798				
2116.248	1585.869	83.966				
2445.435	309.054	210.412				
2637.771	1406.199	449.367				
2380.603	568.531	418.613				
2995.441	910.069	494.304				
2641.250	700.313	513.909				
2127.784	1036.646	530.613				
159.140	685.721	442.265				
2847.299	1240.671	535.787				
3066.501	933.116	479.613				
2594.572	1263.742	512.342				
2614.002	407.842	288.840				
2594.536	839.408	567.535				
1805.485	1378.916	263.835				
587.758	560.092	251.071				
2995.933	756.654	425.524				
2150.984	369.283	299.879				
2228.752	819.525	588.413				
2819.429	803.720	502.379				
2672.206	1156.031	558.493				
2526.068	484.783	347.294				
2795.995	1135.418	558.396				
2476.540	1106.066	574.390				
2701.570	1288.355	507.825				
2829.829	1046.390	544.084				
2567.434	1173.885	551.197				
3071.248	1026.502	495.958				
2890.222	564.138	316.959				
2690.205	873.146	566.507				
2274.488	1082.902	566.939				
2781.264	255.988	227.316				
3174.957	953.379	462.784				
2155.767	668.211	527.765				
2002.200	656.135	554.119				
2590.200	957.263	577.418				
2475.818	141.126	217.229				
1327.071	1009.437	409.709				
2220.806	200.160	271.445				
2584.407	1065.002	588.358				
1866.924	1297.927	123.854				
1191.843	1482.380	225.060				
2513.037	901.748	614.967				
2885.340	655.466	363.527				
2793.524	903.353	534.347				
1717.744	889.871	442.092				
2225.307	569.844	455.198				
3096.401	801.707	459.066				
1717.860	1323.968	332.783				
