Surface analysis

Generated: Wednesday 07 July 2021 17:08:49

						
Left filename	Left1_2m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	106.665					
X plane direction (unit vector)	[0.9995, -0.0000, 0.0328]					
Y plane direction (unit vector)	[-0.0021, 0.9980, 0.0631]					
Z plane direction (unit vector)	[-0.0328, -0.0631, 0.9975]					
Plane shift (mm)	[-1180.3228, -968.3162, -2075.9778]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
965.816	1437.916	162.132				
1357.050	1477.041	322.007				
463.999	988.352	267.879				
1973.732	779.937	140.530				
1458.190	795.657	218.070				
433.934	382.476	371.820				
884.051	404.948	307.767				
1684.518	398.560	214.703				
2189.037	887.835	316.130				
2013.434	538.554	314.005				
1689.153	1104.201	125.892				
46.354	1022.811	177.405				
803.362	670.541	96.314				
1043.909	1039.053	83.415				
616.045	1362.313	344.090				
1159.568	0.000	129.375				
1131.144	683.185	66.989				
1999.095	1176.420	245.795				
0.000	607.608	194.586				
614.279	953.865	204.380				
970.592	763.719	0.000				
316.897	752.461	329.576				
1648.039	1497.298	356.769				
766.257	1009.360	2.881				
175.677	341.929	346.884				
1484.713	607.912	95.924				
2256.951	479.962	265.590				
1185.231	1329.819	101.875				
1823.148	1169.046	269.562				
517.850	810.456	257.034				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
432.915	850.423	284.829	19.340	82.727	19435.867	20598.281
532.043	917.558	243.098	23.984	80.694	12438.470	13613.929
645.164	811.621	185.909	29.196	90.876	27218.434	31179.762
585.049	621.158	241.723	33.009	77.194	66967.406	79858.062
422.894	648.464	319.477	20.116	55.155	40568.613	43204.107
1823.427	1280.921	290.708	13.350	142.940	29523.145	30343.093
1720.113	1256.848	250.741	45.083	228.405	27669.449	39186.989
1931.992	1041.801	218.629	17.303	151.927	34786.604	36435.499
1828.678	1017.728	178.661	44.784	230.688	30951.601	43608.440
1064.985	1268.930	115.807	14.176	128.987	39537.409	40779.154
1169.365	1414.926	195.338	49.949	194.276	25437.943	39532.611
1229.110	1054.843	134.454	16.240	284.616	77427.936	80645.661
1444.191	1076.559	148.613	14.502	14.437	103796.042	107211.775
1410.478	1303.687	183.258	46.570	206.479	56477.018	82152.034
1700.346	292.841	203.223	7.933	211.071	92708.140	93604.011
1984.968	472.359	264.766	36.936	178.629	26681.440	33380.491
2153.141	635.451	298.575	11.302	118.249	47672.385	48615.178
1258.475	430.366	97.429	6.208	324.635	119706.586	120412.597
1442.933	335.490	146.667	22.730	304.792	94766.908	102746.270
1358.016	695.585	126.994	35.735	198.406	32192.137	39658.841
1638.878	727.835	151.508	32.844	168.280	48186.774	57354.690
1714.321	595.469	150.386	22.800	328.807	68374.376	74169.655
589.726	241.468	282.693	32.193	179.792	64099.530	75744.254
164.191	567.333	290.349	29.847	292.967	54820.190	63203.810
308.836	492.288	349.427	7.692	306.150	50148.220	50603.603
782.706	1269.863	169.701	43.677	135.627	67404.711	93197.981
925.327	1162.110	82.809	19.923	226.621	56532.100	60130.675
846.737	814.540	33.065	27.034	51.257	30059.005	33746.319
727.966	877.922	101.192	51.243	71.037	26776.110	42771.622
665.527	1108.512	183.784	56.207	103.481	30988.593	55716.150
926.920	937.377	28.765	19.422	228.779	37135.022	39375.673
1564.747	1359.513	268.222	30.988	187.463	57609.726	67200.973
121.084	794.293	233.856	25.552	281.305	62431.033	69199.025
275.750	921.208	258.286	22.801	333.814	51793.918	56184.196
995.263	617.284	124.919	40.534	0.780	32285.517	42479.782
886.002	613.069	134.694	39.970	7.760	25966.820	33882.481
1048.549	828.652	50.135	27.919	251.373	25054.988	28355.177
564.774	1101.510	272.117	25.917	134.987	30721.118	34156.387
2053.955	948.064	234.152	36.456	252.644	41314.006	51365.761
1211.081	839.298	122.825	23.600	250.337	63098.251	68857.044
1058.254	362.711	168.044	40.100	81.398	88359.528	115514.853
825.851	262.474	269.654	20.226	154.452	94232.672	100425.340
375.466	1124.492	263.125	14.149	243.632	80711.301	83236.458
707.116	485.988	258.634	39.794	6.966	60680.754	78975.503
1707.025	893.265	161.497	13.479	40.592	81349.289	83653.426
2058.734	735.442	256.888	50.499	296.434	28127.203	44218.680
1890.562	572.350	223.080	40.189	317.745	42476.263	55603.192
						
Total plan area (mm^2)	2406700.552					
Total 3D area (mm^2)	2786089.495					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 371.820 (mm)			
