Surface analysis

Generated: Wednesday 07 July 2021 18:03:11

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	213					
RMS plane fit (mm)	83.259					
X plane direction (unit vector)	[0.9965, -0.0000, 0.0839]					
Y plane direction (unit vector)	[-0.0049, 0.9983, 0.0579]					
Z plane direction (unit vector)	[-0.0838, -0.0581, 0.9948]					
Plane shift (mm)	[-1402.1682, -839.5778, -2016.5303]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
2212.861	936.931	190.148				
579.602	546.968	303.808				
604.314	1391.715	419.411				
1306.814	704.168	181.127				
1614.537	1279.407	88.122				
1155.988	203.335	182.103				
1761.379	194.361	286.046				
451.277	1018.998	143.317				
302.076	805.793	254.853				
0.000	427.784	183.823				
1673.627	722.020	227.465				
715.200	1203.533	134.251				
578.070	133.875	33.300				
1395.751	1482.913	75.076				
1085.830	872.348	300.100				
740.935	837.722	227.422				
45.777	1089.200	47.904				
1973.085	1319.915	51.410				
1397.017	274.957	224.790				
1938.364	394.105	303.696				
1030.563	554.525	189.170				
1410.211	1073.207	168.039				
1819.793	748.188	226.169				
357.781	599.660	364.058				
48.980	18.083	176.870				
987.833	1255.761	282.247				
1651.757	1047.866	161.135				
2014.333	0.000	261.603				
2010.636	1114.789	277.832				
1501.084	919.984	156.072				
581.487	325.240	121.676				
844.091	1415.629	315.799				
269.732	300.709	118.814				
1171.020	1423.700	211.524				
192.028	757.911	291.380				
1078.257	1390.989	237.136				
668.027	1340.306	382.212				
574.693	1311.650	386.317				
759.103	1402.280	370.760				
1808.801	292.198	353.175				
1237.374	1349.377	180.728				
500.525	703.317	281.644				
2026.039	918.112	130.799				
1672.902	1156.608	88.922				
1174.301	891.922	220.798				
303.630	404.354	194.931				
1707.609	1357.833	64.768				
1829.234	1347.340	62.051				
1070.839	1275.477	228.024				
739.554	1288.415	273.342				
1493.214	377.701	226.358				
1451.132	1287.033	146.399				
2119.075	538.505	174.502				
1574.708	1191.287	118.076				
1221.372	527.685	199.427				
1083.841	1126.208	326.680				
1757.388	125.182	323.642				
625.944	1202.476	172.843				
1767.419	1235.483	68.909				
428.026	1147.222	155.570				
1137.841	310.783	157.237				
983.186	642.286	231.101				
1491.495	1191.244	92.915				
662.339	692.311	266.782				
161.976	860.788	251.561				
1163.608	1125.937	341.733				
1461.834	766.880	179.004				
1121.283	471.976	154.858				
1246.240	222.600	223.754				
1286.089	1445.103	135.409				
1876.278	1155.361	124.906				
697.051	206.380	65.043				
1221.189	773.292	222.709				
1521.527	598.546	201.662				
2184.314	811.274	187.185				
859.865	1292.488	317.340				
1899.824	1070.662	127.088				
902.882	1027.237	280.472				
2167.860	726.311	177.948				
1803.014	455.223	310.087				
1601.602	462.873	261.567				
350.349	1007.615	101.882				
1266.059	995.897	258.940				
122.257	984.256	166.437				
270.640	987.879	119.917				
992.935	974.142	322.046				
1096.775	983.054	252.058				
1841.083	979.650	132.923				
446.694	434.988	321.501				
1959.059	253.671	231.821				
2100.573	951.256	239.236				
404.803	308.111	202.267				
444.438	916.886	187.066				
638.080	914.409	221.507				
1894.148	930.182	235.026				
1975.025	1177.762	98.584				
1262.938	913.466	260.446				
367.331	901.428	207.506				
917.783	147.574	0.000				
1444.199	506.433	222.511				
1157.326	1322.922	245.031				
270.680	1214.491	41.563				
1559.403	733.082	170.960				
1797.851	869.635	175.368				
1715.368	853.485	172.665				
180.857	1198.876	59.210				
525.555	824.220	192.337				
1620.202	829.208	164.147				
1753.132	284.569	265.713				
445.977	799.970	220.267				
865.716	333.971	55.253				
1181.173	1034.011	336.443				
1136.812	792.298	295.166				
1287.482	1072.339	297.410				
851.332	783.010	337.948				
305.475	1113.177	88.589				
1962.225	771.554	176.352				
882.573	469.657	178.601				
1025.755	364.466	192.153				
633.101	812.408	186.188				
1279.773	1233.163	120.115				
418.082	715.345	291.355				
1233.181	295.497	150.061				
1081.540	693.306	227.562				
567.174	700.483	236.143				
1360.188	1174.498	156.103				
1792.137	1075.931	110.283				
747.070	683.553	192.413				
