Surface analysis

Generated: Wednesday 07 July 2021 19:09:53

						
Left filename	Left2_2m.jpg					
Left frame number	      0					
Plane definition points	212					
RMS plane fit (mm)	145.331					
X plane direction (unit vector)	[0.9993, 0.0000, -0.0373]					
Y plane direction (unit vector)	[0.0089, 0.9708, 0.2396]					
Z plane direction (unit vector)	[0.0362, -0.2398, 0.9701]					
Plane shift (mm)	[-1563.8775, -1167.1707, -2522.9110]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
918.873	950.226	396.301				
2324.325	771.872	243.607				
1768.316	199.174	474.420				
1604.095	1268.879	364.801				
2669.361	1460.149	311.619				
2357.805	925.786	400.515				
2297.111	167.245	426.478				
1812.888	0.000	742.889				
737.926	1376.556	655.623				
620.435	324.641	350.151				
1613.825	610.154	249.176				
2048.131	1310.113	301.062				
2619.220	1043.796	294.227				
1206.740	99.385	424.501				
946.437	298.095	425.429				
2345.729	427.390	389.694				
2769.400	621.667	25.098				
1747.794	1071.514	253.735				
1965.142	295.454	263.670				
1076.180	1301.744	434.579				
1238.657	867.700	663.601				
2000.618	1096.782	437.330				
0.000	224.332	125.828				
2857.239	1188.191	313.824				
2743.890	437.303	394.051				
595.345	943.139	283.116				
211.026	1347.962	462.809				
2268.233	1509.441	526.090				
1853.508	803.525	269.389				
305.392	755.713	201.404				
604.716	782.837	182.942				
1271.719	1131.685	492.360				
2239.887	919.162	336.732				
1731.034	489.895	210.328				
1287.248	1434.562	466.994				
836.795	525.893	201.016				
695.758	905.814	221.491				
1754.357	964.442	224.771				
983.065	1396.672	482.966				
1614.285	1445.260	407.196				
1313.697	1028.883	495.042				
43.477	336.523	30.336				
2196.682	1465.466	410.897				
1481.586	1437.091	354.150				
2028.350	1200.517	377.100				
454.499	1251.642	402.895				
596.357	1333.908	669.663				
1388.499	1462.864	326.008				
874.919	1321.303	539.571				
2103.236	1415.179	369.815				
245.801	152.211	83.362				
257.754	1293.284	438.519				
2623.877	896.856	314.647				
2050.328	505.391	317.050				
841.487	1228.432	467.021				
1730.103	1355.063	366.682				
786.089	1253.793	574.169				
941.158	1295.147	477.199				
2057.835	284.005	494.172				
1577.958	1096.963	500.435				
674.204	1246.379	629.225				
2063.356	62.850	578.932				
2154.418	1084.191	429.814				
1407.645	1014.294	527.547				
2731.843	1371.914	271.929				
2167.556	1327.364	275.628				
1381.483	934.654	585.417				
1092.859	913.377	592.902				
2546.333	1337.536	310.377				
363.257	1286.795	394.847				
336.116	1207.082	350.428				
1701.735	1252.775	366.806				
1092.852	1214.809	546.611				
1184.012	498.004	524.272				
2485.923	1457.059	281.547				
925.141	1189.384	400.430				
1119.341	1118.973	523.660				
2730.713	1118.586	303.618				
1942.325	1230.232	327.571				
1419.826	1274.209	508.660				
642.015	1155.636	662.645				
2103.914	812.585	307.207				
1305.106	400.348	461.408				
264.241	627.402	462.984				
1922.153	684.690	213.486				
1074.755	1381.843	450.466				
2688.821	1239.461	293.035				
1482.788	1162.659	524.836				
2191.260	1248.125	483.747				
956.423	1106.001	459.661				
680.053	1087.828	476.580				
223.722	776.132	246.258				
1944.440	502.742	290.473				
1238.744	270.989	403.825				
1891.655	1111.570	356.924				
1376.318	217.181	442.523				
127.339	1034.298	330.598				
1843.357	129.900	605.645				
2148.737	114.832	410.817				
2382.521	1419.699	279.570				
1121.250	1041.134	631.839				
1827.321	57.022	658.766				
190.582	973.816	270.407				
1912.355	1367.524	394.019				
2281.528	1041.347	443.651				
1701.703	860.645	214.545				
1878.866	981.194	331.933				
421.597	716.805	253.239				
914.126	216.888	489.426				
2725.429	999.207	331.974				
1564.375	947.687	371.016				
903.061	1408.471	489.503				
2219.600	389.041	434.910				
1571.701	64.639	660.731				
1267.277	1256.116	491.710				
1605.844	1352.757	402.321				
1566.656	819.294	217.602				
2496.455	732.350	272.073				
486.109	842.363	276.603				
966.187	854.076	473.559				
1606.079	718.758	244.908				
2155.653	689.575	372.116				
751.434	1086.613	376.492				
366.393	863.676	238.433				
213.509	1130.432	386.047				
1483.070	138.374	565.021				
838.222	1391.115	578.134				
