Surface analysis

Generated: Wednesday 07 July 2021 19:41:14

						
Left filename	Left3_2m.jpg					
Left frame number	      0					
Plane definition points	65					
RMS plane fit (mm)	62.654					
X plane direction (unit vector)	[0.9998, 0.0000, -0.0198]					
Y plane direction (unit vector)	[-0.0029, 0.9890, -0.1482]					
Z plane direction (unit vector)	[0.0196, 0.1482, 0.9888]					
Plane shift (mm)	[-1029.0481, -385.8065, -1859.3057]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
854.525	284.778	246.638				
1149.799	539.986	92.046				
870.085	1277.436	183.324				
1051.608	796.525	187.802				
1538.276	1523.308	71.556				
1610.294	590.313	92.465				
1905.823	997.575	144.439				
398.715	951.378	53.137				
0.000	1028.709	157.572				
69.236	533.197	170.667				
275.756	368.831	16.990				
1888.568	127.185	40.029				
778.537	680.453	153.522				
786.355	0.000	88.012				
1290.597	420.274	155.783				
1280.510	989.552	115.120				
270.638	1279.681	112.730				
1914.396	876.876	123.081				
697.569	1016.788	99.796				
1022.409	1073.906	134.541				
524.986	456.002	78.900				
1096.864	136.247	121.887				
1459.821	1023.018	147.904				
1434.843	1210.222	103.152				
1183.553	1428.667	43.029				
2199.051	587.053	97.765				
1834.385	1294.063	48.526				
166.895	1180.917	0.000				
1535.988	334.301	55.074				
1370.447	18.319	10.501				
1132.738	741.850	68.834				
1609.627	224.702	85.465				
605.910	988.608	66.678				
1131.888	641.035	78.855				
371.008	1055.904	45.859				
507.829	1042.662	38.631				
1036.631	862.690	215.146				
41.359	927.128	223.801				
48.418	1087.785	22.876				
865.685	357.222	247.323				
909.023	858.292	111.846				
246.848	582.322	26.941				
666.802	839.818	59.711				
1342.004	308.981	56.200				
956.096	1374.610	112.922				
937.670	727.167	56.456				
1913.791	703.038	91.438				
1194.609	353.213	118.121				
410.820	518.828	42.705				
964.988	589.006	88.617				
1294.957	573.904	142.623				
430.717	857.570	47.664				
1508.991	535.722	65.734				
1599.000	1013.531	81.261				
444.178	1220.475	212.382				
1180.918	456.344	135.613				
213.836	704.917	24.910				
735.006	294.024	239.394				
417.943	419.867	39.559				
966.861	303.932	228.760				
509.079	606.476	98.234				
1302.538	1337.995	61.370				
1284.020	226.776	42.730				
1004.946	175.451	63.328				
