site,transect,distance,number.seeded,plane.area,3D.area,ratio
ansell,2,2,30,2431327.248,2715857.304,1.117026639
ansell,2,5,30,2561894.392,3039999.845,1.186621843
ansell,3,5,30,2629457.238,3682054.219,1.400309602
bird islets,2,2,30,3476032.645,4418816.29,1.271224048
bird islets,1,2,30,2079916.314,2868314.763,1.379052967
bird islets,3,2,30,1754776.437,3235206.602,1.843657422
boot sponge,1,2,30,3016132.156,3634947.364,1.205168466
boot sponge,3,2,30,2880314.487,5372510.007,1.865251184
boot sponge,2,2,30,2436278.899,5232826.936,2.147876804
christie buoy,2,2,30,2949649.006,3657354.406,1.239928683
christie buoy,3,2,30,1248490.086,1822870.154,1.460059775
christie buoy,1,2,30,1277375.602,1866603.064,1.461279722
defence,2,2,30,2920841.509,3391962.723,1.161296398
defence,1,2,30,4791594.185,6039850.097,1.260509522
defence,3,5,30,3453070.515,4424488.048,1.281319923
cliffcove,1,2,30,2739689.606,3114628.007,1.136854336
cliffcove,2,2,30,1978197.222,2533769.797,1.28084792
cliffcove,3,2,30,1334016.818,1838199.667,1.377943398
defenceoffshore,1,2,30,2355944.918,4091020.217,1.736466836
defenceoffshore,2,2,30,1928623.669,3286404.912,1.704015648
defenceoffshore,3,2,30,1675680.904,1935176.576,1.154859837
defencesouthside,1,2,30,2862277.803,3579220.73,1.250479854
defencesouthside,3,5,30,739011.979,770810.412,1.043028305
halkettbay,1,2,30,1506252.426,1678862.336,1.114595606
halkettbay,2,2,30,1401132.895,1642429.039,1.17221503
halkettbay,3,2,30,2521266.843,3220465.797,1.277320489
halkettbioherm,1,2,30,2380142.799,2773233.719,1.165154343
halkettbioherm,2,2,30,3425066.581,4231985.147,1.235592082
halkettbioherm,3,2,30,3955225.718,5714198.195,1.444721137
halkettsign,1,2,30,2419048.166,2824592.855,1.167646389
halkettsign,2,2,30,3090164.893,3347559.426,1.083294757
halkettsign,2,5,30,4125838.378,5541653.304,1.343158116
helipad,1,2,30,4602362.591,7766683.469,1.687542716
helipad,2,2,30,4752311.863,7579845.984,1.594980759
helipad,3,2,30,5055793.76,8729412.364,1.726615598
huttpair,1,2,30,1393240.819,1764121.675,1.266200108
huttpair,2,2,30,3753221.243,4469490.815,1.190841287
huttpair,3,2,30,2109608.782,2646765.11,1.254623669
NEBowyer,1,2,30,2664337.295,2898557.671,1.087909431
NEBowyer,2,2,30,1385481.931,1619182.447,1.168678141
NEBowyer,3,2,30,1744937.405,1972773.082,1.130569542
NEChristie,1,2,30,2069846.383,2395152.289,1.157164275
NEChristie,2,2,30,2413055.333,3327266.445,1.378860401
NEChristie,3,2,30,3763102.026,3903008.826,1.037178583
northpamrocks,1,2,30,3300884.085,4247750.648,1.286852412
northpamrocks,3,2,30,1861828.332,2018748.736,1.084282961
Nwpassage,1,2,30,2837296.364,3742678.171,1.319100189
Nwpassage,2,2,30,3761865.951,5709809.085,1.517813011
Nwpassage,3,2,30,4997322.394,6892491.122,1.379236835
passagebioherm,1,2,30,4867311.057,5883119.525,1.208700134
passagebioherm,2,5,30,2703959.83,3169411.365,1.172137001
passagebioherm,3,5,30,3464364.173,4492266.265,1.296707286
porteaurockpile,1,2,30,13157596.8,19000168.26,1.444045486
porteaurockpile,2,2,30,8187061.57,13359869.88,1.631827214
porteaurockpile,3,2,30,6685710.277,10785375.92,1.61319822
porteauslide,1,2,30,4218958.146,5315359.671,1.259874947
porteauslide,1,5,30,4154681.508,5837371.904,1.405010683
southpassage,1,2,30,2406700.552,2786089.495,1.157638616
southpassage,2,2,30,2220337.196,2366855.769,1.065989334
southpassage,3,2,30,1803685.994,2259963.749,1.252969617
tennisboatramp,1,2,30,2735529.152,3214296.497,1.175018184
tennisboatramp,2,2,30,2832480.351,3706252.751,1.308483128
tennisboatramp,3,2,30,2467580.477,3113722.951,1.261852645
tenniscourts,1,2,30,3116449.555,3767881.287,1.20903009
tenniscourts,2,2,30,3584056.075,5300991.756,1.479048219
tenniscourts,3,2,30,3665274.971,3997312.455,1.090590061
westbowen,1,2,30,3241400.822,4001128.793,1.234382606
westbowen,2,2,30,3665567.236,3918718.484,1.069061957
westbowen,3,2,30,2431183.911,2763081.597,1.136516898
